name,DecisionTreeClassifier,RandomGuesser,AdaBoostClassifier,AdaBoostRegressor,GradientBoostingClassifier,GradientBoostingRegressor,BaggingClassifier,BernoulliNB,CalibratedClassifierCV,CategoricalNB,ComplementNB,DummyClassifier,ExtraTreeClassifier,ExtraTreesClassifier,GaussianNB,GaussianProcessClassifier,HistGradientBoostingClassifier,KNeighborsClassifier,LabelPropagation,LabelSpreading,LinearDiscriminantAnalysis,LinearSVC,LogisticRegression,LogisticRegressionCV,MLPClassifier,MultinomialNB,NearestCentroid,NuSVC,PassiveAggressiveClassifier,Perceptron,QuadraticDiscriminantAnalysis,RadiusNeighborsClassifier,RandomForestClassifier,RidgeClassifier,RidgeClassifierCV,SGDClassifier,SVC,XGBoostClassifier
arrhythmia_R,0.6373626373626373,0.3406593406593406,0.5274725274725275,0.0,0.7252747252747253,0.0,0.7692307692307693,0.6153846153846154,0.6593406593406593,,0.6373626373626373,0.4835164835164835,0.5274725274725275,0.6813186813186813,0.1428571428571428,0.5384615384615384,0.7252747252747253,0.5604395604395604,0.4835164835164835,0.4835164835164835,0.5274725274725275,0.7142857142857143,0.6703296703296703,,0.6593406593406593,0.5714285714285714,0.5604395604395604,,0.6813186813186813,0.6043956043956044,,,0.6703296703296703,0.6923076923076923,0.6483516483516484,0.6043956043956044,0.5604395604395604,0.7252747252747253
audiology-std,0.85,0.1,0.25,0.025,0.875,0.0,0.85,0.2,0.8,,0.575,0.175,0.65,0.9,0.6,0.65,0.825,0.6,0.6,0.6,0.875,0.9,0.825,,0.85,0.65,0.85,,0.825,0.825,,,0.85,0.75,0.75,0.8,0.75,0.775
autos,0.7804878048780488,0.2195121951219512,0.5365853658536586,0.048780487804878,0.8292682926829268,0.0,0.7804878048780488,0.5853658536585366,0.6341463414634146,,0.4634146341463415,0.4390243902439024,0.7073170731707317,0.8536585365853658,0.3902439024390244,0.6097560975609756,0.8292682926829268,0.5121951219512195,0.6097560975609756,0.6097560975609756,0.6585365853658537,0.5609756097560976,0.5609756097560976,0.6341463414634146,0.5609756097560976,0.5365853658536586,0.5365853658536586,,0.5609756097560976,0.5121951219512195,0.5121951219512195,,0.8292682926829268,0.6341463414634146,0.6341463414634146,0.5609756097560976,0.6341463414634146,
balance-scale_R,0.768,0.352,0.936,0.016,0.888,0.0,0.784,0.648,0.84,0.592,0.864,0.44,0.792,0.816,0.888,0.896,0.856,0.808,0.904,0.904,0.84,0.84,0.84,0.84,0.912,0.856,0.696,,0.824,0.84,0.888,0.848,0.824,0.848,0.848,0.888,0.904,0.848
bank_R,0.8740331491712707,0.7889502762430939,0.9005524861878453,0.0,0.8972375690607735,0.0,0.8883977900552487,0.8022099447513812,0.8928176795580111,,0.7535911602209945,0.8917127071823204,0.8342541436464088,0.9027624309392264,0.8055248618784531,0.8895027624309392,0.8972375690607735,0.8961325966850828,0.881767955801105,0.8839779005524862,0.8972375690607735,0.8917127071823204,0.8917127071823204,0.8928176795580111,0.8972375690607735,0.8917127071823204,0.6187845303867403,,0.8906077348066298,0.8154696132596685,0.850828729281768,,0.9005524861878453,0.8883977900552487,0.8883977900552487,0.8917127071823204,0.8917127071823204,0.8906077348066298
baseball,0.9253731343283582,0.8246268656716418,0.9216417910447762,0.5298507462686567,0.9440298507462688,0.0,0.9402985074626866,0.9291044776119404,0.9514925373134328,,0.7350746268656716,0.9291044776119404,0.9067164179104478,0.9477611940298508,0.7798507462686567,0.9440298507462688,0.9440298507462688,0.9328358208955224,0.9477611940298508,0.9477611940298508,0.9477611940298508,0.9440298507462688,0.9440298507462688,0.9514925373134328,0.9440298507462688,0.9291044776119404,0.8283582089552238,,0.9402985074626866,0.9328358208955224,0.6455223880597015,0.9328358208955224,0.9552238805970148,0.9477611940298508,0.9477611940298508,0.9291044776119404,0.9440298507462688,0.9402985074626866
blood_R,0.6666666666666666,0.3,0.8066666666666666,0.0,0.7733333333333333,0.0,0.7066666666666667,0.7533333333333333,0.76,0.7533333333333333,0.7066666666666667,0.7533333333333333,0.7333333333333333,0.7266666666666667,0.7533333333333333,0.7666666666666667,0.7,0.7133333333333334,0.7666666666666667,0.7666666666666667,0.76,0.7666666666666667,0.76,0.76,0.76,0.7533333333333333,0.72,,0.7533333333333333,0.7533333333333333,0.76,0.7533333333333333,0.7266666666666667,0.7666666666666667,0.7666666666666667,0.7533333333333333,0.7466666666666667,0.7066666666666667
braziltourism,0.7469879518072289,0.6024096385542169,0.7590361445783133,0.0,0.7590361445783133,0.0,0.7590361445783133,0.7469879518072289,0.7710843373493976,0.7469879518072289,0.6024096385542169,0.7590361445783133,0.7710843373493976,0.7831325301204819,0.0963855421686747,0.7590361445783133,0.7710843373493976,0.7590361445783133,0.7831325301204819,0.7831325301204819,0.7108433734939759,0.7469879518072289,0.7590361445783133,,0.7710843373493976,0.7469879518072289,0.3132530120481928,,0.7469879518072289,0.7710843373493976,,,0.7831325301204819,0.7469879518072289,0.7469879518072289,0.6987951807228916,0.7590361445783133,0.7831325301204819
breast-cancer-wisc-diag_R,0.9385964912280702,0.5087719298245614,0.9736842105263158,0.0175438596491228,0.956140350877193,0.0,0.956140350877193,0.6228070175438597,0.9824561403508772,,0.8596491228070176,0.6228070175438597,0.9210526315789472,0.9736842105263158,0.9649122807017544,0.9649122807017544,0.9736842105263158,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.956140350877193,0.9736842105263158,0.9824561403508772,0.9736842105263158,0.9824561403508772,0.8508771929824561,0.956140350877193,0.956140350877193,0.9649122807017544,0.956140350877193,0.956140350877193,,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.956140350877193,0.9736842105263158,0.9385964912280702
breast-cancer-wisc-prog_R,0.75,0.625,0.725,0.0,0.8,0.0,0.8,0.725,0.825,,0.6,0.8,0.7,0.85,0.55,0.85,0.825,0.825,0.775,0.8,0.775,0.8,0.8,0.825,0.825,0.825,0.625,,0.825,0.65,0.8,,0.85,0.825,0.825,0.8,0.825,0.7
