	f1	f2	f3	f4	f5	f6	clase
1	-1.77236	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	0
2	-1.55248	-0.562162	-1.17828	0.704154	1.01256	1.17828	1
3	-1.55248	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	0
4	-1.49751	-0.562162	-1.17828	0.704154	1.01256	1.17828	1
5	-1.49751	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	0
6	-1.49751	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	0
7	-1.38757	-0.562162	-1.17828	0.704154	1.01256	1.17828	1
8	-1.38757	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	0
9	-1.33259	-0.562162	-1.17828	0.704154	1.01256	1.17828	1
10	-1.16768	-0.562162	-1.17828	0.704154	1.01256	1.17828	1
11	-1.16768	-0.562162	-1.17828	0.704154	1.01256	1.17828	1
12	-1.16768	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	0
13	-1.16768	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	0
14	-1.11271	-0.562162	-1.17828	0.704154	1.01256	1.17828	1
15	-1.11271	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	0
16	-1.11271	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	0
17	-1.05774	-0.562162	-1.17828	0.704154	1.01256	1.17828	1
18	-1.05774	-0.562162	-1.17828	0.704154	1.01256	1.17828	1
19	-1.00277	-0.562162	-1.17828	0.704154	1.01256	1.17828	1
20	-1.00277	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	0
21	-0.947796	-0.562162	-1.17828	0.704154	1.01256	-0.841625	1
22	-0.947796	-0.562162	-1.17828	0.704154	1.01256	-0.841625	1
23	-0.947796	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	0
24	-0.947796	-0.562162	-1.17828	0.704154	1.01256	1.17828	1
25	-0.947796	-0.562162	-1.17828	0.704154	1.01256	1.17828	1
26	-0.947796	-0.562162	-1.17828	0.704154	1.01256	1.17828	1
27	-0.947796	-0.562162	-1.17828	0.704154	1.01256	1.17828	1
28	-0.947796	-0.562162	-1.17828	0.704154	-0.979364	-0.841625	1
29	-0.892825	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	0
30	-0.892825	-0.562162	-1.17828	0.704154	1.01256	1.17828	1
31	-0.892825	-0.562162	-1.17828	0.704154	-0.979364	-0.841625	1
32	-0.837854	-0.562162	-1.17828	0.704154	1.01256	-0.841625	1
33	-0.837854	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	0
34	-0.837854	-0.562162	-1.17828	0.704154	-0.979364	-0.841625	1
35	-0.782882	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	0
36	-0.782882	-0.562162	-1.17828	0.704154	1.01256	1.17828	1
37	-0.782882	-0.562162	-1.17828	0.704154	-0.979364	-0.841625	1
38	-0.727911	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	0
39	-0.727911	-0.562162	-1.17828	0.704154	-0.979364	-0.841625	1
40	-0.67294	-0.562162	-1.17828	0.704154	1.01256	-0.841625	1
41	-0.67294	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	0
42	-0.67294	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	0
43	-0.67294	-0.562162	-1.17828	0.704154	1.01256	1.17828	1
44	-0.67294	-0.562162	-1.17828	0.704154	-0.979364	-0.841625	1
45	-0.67294	-0.562162	-1.17828	0.704154	-0.979364	-0.841625	1
46	-0.617969	-0.562162	-1.17828	0.704154	1.01256	-0.841625	1
47	-0.617969	-0.562162	-1.17828	0.704154	1.01256	-0.841625	1
48	-0.617969	-0.562162	-1.17828	0.704154	1.01256	1.17828	1
49	-0.562997	-0.562162	-1.17828	0.704154	1.01256	-0.841625	1
50	-0.562997	-0.562162	-1.17828	0.704154	1.01256	-0.841625	1
51	-0.562997	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	0
52	-0.562997	-0.562162	-1.17828	0.704154	-0.979364	-0.841625	1
53	-0.508026	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	0
54	-0.508026	-0.562162	-1.17828	0.704154	1.01256	1.17828	1
55	-0.508026	-0.562162	-1.17828	0.704154	-0.979364	-0.841625	1
56	-0.453055	-0.562162	-1.17828	0.704154	1.01256	-0.841625	1
57	-0.453055	-0.562162	-1.17828	0.704154	1.01256	-0.841625	1
58	-0.453055	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	0
59	-0.453055	-0.562162	-1.17828	0.704154	1.01256	1.17828	1
60	-0.453055	-0.562162	-1.17828	0.704154	-0.979364	-0.841625	1
61	-0.398084	-0.562162	0.841625	0.704154	-0.979364	1.17828	0
62	-0.398084	-0.562162	0.841625	0.704154	-0.979364	1.17828	0
63	-0.343112	-0.562162	0.841625	0.704154	-0.979364	1.17828	0
64	-0.23317	-0.562162	0.841625	0.704154	-0.979364	1.17828	0
65	-0.123227	-0.562162	0.841625	0.704154	-0.979364	1.17828	0
66	-0.0132847	-0.562162	0.841625	0.704154	-0.979364	1.17828	0
67	0.0966578	-0.562162	0.841625	0.704154	-0.979364	1.17828	0
68	0.151629	-0.562162	0.841625	0.704154	-0.979364	1.17828	0
69	0.371514	-0.562162	0.841625	0.704154	-0.979364	1.17828	0
70	0.536428	-0.562162	0.841625	0.704154	-0.979364	1.17828	0
71	0.701342	1.76402	0.841625	0.704154	1.01256	1.17828	1
72	0.701342	1.76402	0.841625	0.704154	1.01256	1.17828	1
73	0.701342	1.76402	0.841625	0.704154	1.01256	-0.841625	1
74	0.701342	-0.562162	-1.17828	-1.40831	-0.979364	-0.841625	0
75	0.701342	-0.562162	-1.17828	-1.40831	-0.979364	-0.841625	0
76	0.701342	1.76402	0.841625	-1.40831	1.01256	-0.841625	0
77	0.701342	1.76402	0.841625	-1.40831	1.01256	-0.841625	0
78	0.701342	-0.562162	0.841625	0.704154	-0.979364	1.17828	0
79	0.756313	1.76402	0.841625	0.704154	1.01256	-0.841625	1
80	0.811284	1.76402	0.841625	0.704154	1.01256	1.17828	1
81	0.811284	-0.562162	-1.17828	-1.40831	-0.979364	-0.841625	0
82	0.811284	1.76402	0.841625	-1.40831	1.01256	-0.841625	0
83	0.866255	-0.562162	0.841625	0.704154	-0.979364	1.17828	0
84	0.921227	1.76402	0.841625	0.704154	1.01256	1.17828	1
85	0.921227	1.76402	0.841625	0.704154	1.01256	-0.841625	1
86	0.921227	1.76402	0.841625	0.704154	1.01256	-0.841625	1
87	0.921227	-0.562162	-1.17828	-1.40831	-0.979364	-0.841625	0
88	0.921227	1.76402	0.841625	-1.40831	1.01256	-0.841625	0
89	0.976198	1.76402	0.841625	0.704154	1.01256	-0.841625	1
90	1.03117	1.76402	0.841625	0.704154	1.01256	1.17828	1
91	1.03117	-0.562162	-1.17828	-1.40831	-0.979364	-0.841625	0
92	1.03117	1.76402	0.841625	-1.40831	1.01256	-0.841625	0
93	1.08614	1.76402	0.841625	0.704154	1.01256	1.17828	1
94	1.08614	1.76402	0.841625	0.704154	1.01256	-0.841625	1
95	1.08614	-0.562162	-1.17828	-1.40831	-0.979364	-0.841625	0
96	1.08614	1.76402	0.841625	-1.40831	1.01256	-0.841625	0
97	1.08614	-0.562162	0.841625	0.704154	-0.979364	1.17828	0
98	1.14111	-0.562162	0.841625	0.704154	-0.979364	1.17828	0
99	1.19608	1.76402	0.841625	0.704154	1.01256	-0.841625	1
100	1.19608	1.76402	0.841625	0.704154	1.01256	-0.841625	1
101	1.19608	-0.562162	0.841625	0.704154	-0.979364	1.17828	0
102	1.25105	1.76402	0.841625	0.704154	1.01256	1.17828	1
103	1.25105	-0.562162	-1.17828	-1.40831	-0.979364	-0.841625	0
104	1.25105	1.76402	0.841625	-1.40831	1.01256	-0.841625	0
