	f1	f2	f3	f4	f5	f6	f7	clase
1	-1.77236	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	-0.979364	0
2	-1.55248	-0.562162	-1.17828	0.704154	1.01256	1.17828	1.01256	0
3	-1.55248	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	-0.979364	0
4	-1.49751	-0.562162	-1.17828	0.704154	1.01256	1.17828	1.01256	0
5	-1.49751	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	-0.979364	0
6	-1.49751	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	-0.979364	0
7	-1.38757	-0.562162	-1.17828	0.704154	1.01256	1.17828	1.01256	0
8	-1.38757	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	-0.979364	0
9	-1.33259	-0.562162	-1.17828	0.704154	1.01256	1.17828	1.01256	0
10	-1.16768	-0.562162	-1.17828	0.704154	1.01256	1.17828	1.01256	0
11	-1.16768	-0.562162	-1.17828	0.704154	1.01256	1.17828	1.01256	0
12	-1.16768	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	-0.979364	0
13	-1.16768	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	-0.979364	0
14	-1.11271	-0.562162	-1.17828	0.704154	1.01256	1.17828	1.01256	0
15	-1.11271	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	-0.979364	0
16	-1.11271	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	-0.979364	0
17	-1.05774	-0.562162	-1.17828	0.704154	1.01256	1.17828	1.01256	0
18	-1.05774	-0.562162	-1.17828	0.704154	1.01256	1.17828	1.01256	0
19	-1.00277	-0.562162	-1.17828	0.704154	1.01256	1.17828	1.01256	0
20	-1.00277	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	-0.979364	0
21	-0.947796	-0.562162	-1.17828	0.704154	1.01256	-0.841625	1.01256	0
22	-0.947796	-0.562162	-1.17828	0.704154	1.01256	-0.841625	1.01256	0
23	-0.947796	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	-0.979364	0
24	-0.947796	-0.562162	-1.17828	0.704154	1.01256	1.17828	1.01256	0
25	-0.947796	-0.562162	-1.17828	0.704154	1.01256	1.17828	1.01256	0
26	-0.947796	-0.562162	-1.17828	0.704154	1.01256	1.17828	1.01256	0
27	-0.947796	-0.562162	-1.17828	0.704154	1.01256	1.17828	1.01256	0
28	-0.947796	-0.562162	-1.17828	0.704154	-0.979364	-0.841625	1.01256	0
29	-0.892825	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	-0.979364	0
30	-0.892825	-0.562162	-1.17828	0.704154	1.01256	1.17828	1.01256	0
31	-0.892825	-0.562162	-1.17828	0.704154	-0.979364	-0.841625	1.01256	0
32	-0.837854	-0.562162	-1.17828	0.704154	1.01256	-0.841625	1.01256	0
33	-0.837854	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	-0.979364	0
34	-0.837854	-0.562162	-1.17828	0.704154	-0.979364	-0.841625	1.01256	0
35	-0.782882	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	-0.979364	0
36	-0.782882	-0.562162	-1.17828	0.704154	1.01256	1.17828	1.01256	0
37	-0.782882	-0.562162	-1.17828	0.704154	-0.979364	-0.841625	1.01256	0
38	-0.727911	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	-0.979364	0
39	-0.727911	-0.562162	-1.17828	0.704154	-0.979364	-0.841625	1.01256	0
40	-0.67294	-0.562162	-1.17828	0.704154	1.01256	-0.841625	1.01256	0
41	-0.67294	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	-0.979364	0
42	-0.67294	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	-0.979364	0
43	-0.67294	-0.562162	-1.17828	0.704154	1.01256	1.17828	1.01256	0
44	-0.67294	-0.562162	-1.17828	0.704154	-0.979364	-0.841625	1.01256	0
45	-0.67294	-0.562162	-1.17828	0.704154	-0.979364	-0.841625	1.01256	0
46	-0.617969	-0.562162	-1.17828	0.704154	1.01256	-0.841625	1.01256	0
47	-0.617969	-0.562162	-1.17828	0.704154	1.01256	-0.841625	1.01256	0
48	-0.617969	-0.562162	-1.17828	0.704154	1.01256	1.17828	1.01256	0
49	-0.562997	-0.562162	-1.17828	0.704154	1.01256	-0.841625	1.01256	0
50	-0.562997	-0.562162	-1.17828	0.704154	1.01256	-0.841625	1.01256	0
51	-0.562997	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	-0.979364	0
52	-0.562997	-0.562162	-1.17828	0.704154	-0.979364	-0.841625	1.01256	0
53	-0.508026	-0.562162	0.841625	-1.40831	-0.979364	-0.841625	-0.979364	0
