	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	clase
1	-0.223425	-0.205931	0.327558	-0.477159	-0.426607	-0.737314	0.327257	-0.266999	-0.367377	0.100568	1.5958	0.112473	0.0353996	0.416308	0.290058	0.472912	0.452969	0.172163	0.0940131	0.305015	0.0500941	0.183403	0.0491189	0.244307	-1.08301	-0.559242	-0.424351	-0.674719	-0.164296	-0.220071	-0.104075	2
2	-0.223425	-0.871245	-0.260996	-0.477159	-0.426607	-0.737314	-0.589063	-0.266999	-0.367377	0.100568	-0.539068	0.112473	0.0353996	0.416308	0.290058	0.472912	0.452969	0.172163	0.0940131	0.305015	0.0500941	0.183403	0.0491189	-4.08808	-1.08301	2.34231	-0.424351	-0.674719	-0.164296	-0.220071	-0.104075	2
3	-0.223425	-0.871245	-0.260996	-0.477159	-0.426607	-0.737314	-0.589063	-0.266999	-0.367377	0.100568	-0.539068	0.112473	0.0353996	-2.39906	0.290058	-2.11191	0.452969	0.172163	0.0940131	0.305015	0.0500941	0.183403	0.0491189	0.244307	0.922194	-0.559242	1.28052	-0.270853	-0.164296	-0.220071	-0.104075	2
4	-0.223425	-0.205931	-0.260996	1.95979	2.34114	1.01903	0.327257	-0.266999	-0.367377	0.100568	1.5958	0.112473	0.0353996	0.416308	0.290058	0.472912	0.452969	0.172163	0.0940131	0.305015	0.0500941	0.183403	0.0491189	0.244307	-1.08301	1.87922	-0.980041	-0.674719	-0.164296	-0.220071	-0.104075	2
5	-0.223425	-0.205931	-0.260996	1.95979	2.34114	1.01903	0.327257	-0.266999	-0.367377	0.100568	1.5958	0.112473	0.0353996	0.416308	0.290058	-2.11191	-2.20489	0.172163	0.0940131	-3.27442	0.0500941	0.183403	0.0491189	0.244307	0.922194	-0.442019	-1.3015	-0.532147	-0.164296	-0.220071	-0.104075	2
6	-0.223425	-0.205931	-0.260996	1.35055	-0.426607	-0.737314	0.327257	-0.266999	-0.367377	0.100568	-1.6065	0.112473	0.0353996	0.416308	0.290058	0.472912	0.452969	0.172163	0.0940131	0.305015	0.0500941	0.183403	0.0491189	0.244307	-1.08301	0.485317	-0.424351	-0.674719	-0.164296	-0.220071	-0.104075	2
7	-0.223425	-0.871245	-0.260996	-0.477159	-0.426607	-0.737314	-0.589063	-0.266999	-0.367377	0.100568	-0.539068	0.112473	0.0353996	0.416308	0.290058	0.472912	-2.20489	0.172163	0.0940131	0.305015	0.0500941	0.183403	0.0491189	0.244307	0.922194	-0.560403	-0.424351	1.91171	-0.164296	-0.220071	-0.104075	2
8	-0.223425	-0.205931	-0.260996	-0.477159	-0.426607	-0.737314	-0.589063	-0.266999	-0.367377	0.100568	-0.539068	0.112473	0.0353996	0.416308	0.290058	0.472912	0.452969	0.172163	0.0940131	0.305015	0.0500941	0.183403	0.0491189	-4.08808	-1.08301	2.45837	-1.55599	-0.674719	-0.164296	-0.220071	-0.104075	2
9	-0.223425	-0.871245	-0.260996	-0.477159	-0.426607	-0.737314	-0.589063	-0.266999	-0.367377	0.100568	-0.539068	0.112473	0.0353996	0.416308	0.290058	0.472912	0.452969	0.172163	0.0940131	0.305015	0.0500941	0.183403	0.0491189	-4.08808	-1.08301	-0.560403	1.32994	-0.674719	-0.164296	-0.220071	-0.104075	2
10	-0.223425	-0.205931	-0.260996	-0.477159	-0.426607	-0.737314	1.24358	-0.266999	2.71859	0.100568	-0.539068	0.112473	0.0353996	0.416308	0.290058	0.472912	0.452969	0.172163	0.0940131	0.305015	0.0500941	0.183403	0.0491189	0.244307	0.922194	-0.211056	1.32994	-0.270853	-0.164296	-0.220071	-0.104075	2
11	-0.223425	-0.871245	-0.260996	-0.477159	-0.426607	-0.737314	-0.589063	-0.266999	-0.367377	0.100568	-0.539068	0.112473	0.0353996	0.416308	0.290058	0.472912	0.452969	0.172163	0.0940131	0.305015	0.0500941	0.183403	0.0491189	0.244307	-1.08301	0.0210686	-0.424351	-0.674719	-0.164296	-0.220071	-0.104075	2
