	f1	f2	f3	f4	clase
1	-1.41308	-1.41308	-1.41308	-1.41308	0
2	-1.41308	-1.41308	-1.41308	-0.706541	2
3	-1.41308	-1.41308	-1.41308	0	2
4	-1.41308	-1.41308	-1.41308	0.706541	2
5	-1.41308	-1.41308	-1.41308	1.41308	2
6	-1.41308	-1.41308	-0.706541	-1.41308	2
7	-1.41308	-1.41308	-0.706541	-0.706541	2
8	-1.41308	-1.41308	-0.706541	0	2
9	-1.41308	-1.41308	-0.706541	0.706541	2
10	-1.41308	-1.41308	-0.706541	1.41308	2
11	-1.41308	-1.41308	0	-1.41308	2
12	-1.41308	-1.41308	0	-0.706541	2
13	-1.41308	-1.41308	0	0	2
14	-1.41308	-1.41308	0	0.706541	2
15	-1.41308	-1.41308	0	1.41308	2
16	-1.41308	-1.41308	0.706541	-1.41308	2
17	-1.41308	-1.41308	0.706541	-0.706541	2
18	-1.41308	-1.41308	0.706541	0	2
19	-1.41308	-1.41308	0.706541	0.706541	2
20	-1.41308	-1.41308	0.706541	1.41308	2
21	-1.41308	-1.41308	1.41308	-1.41308	2
22	-1.41308	-1.41308	1.41308	-0.706541	2
23	-1.41308	-1.41308	1.41308	0	2
24	-1.41308	-1.41308	1.41308	0.706541	2
25	-1.41308	-1.41308	1.41308	1.41308	2
26	-1.41308	-0.706541	-1.41308	-1.41308	1
27	-1.41308	-0.706541	-1.41308	-0.706541	0
28	-1.41308	-0.706541	-1.41308	0	2
29	-1.41308	-0.706541	-1.41308	0.706541	2
30	-1.41308	-0.706541	-1.41308	1.41308	2
31	-1.41308	-0.706541	-0.706541	-1.41308	0
32	-1.41308	-0.706541	-0.706541	-0.706541	2
33	-1.41308	-0.706541	-0.706541	0	2
34	-1.41308	-0.706541	-0.706541	0.706541	2
35	-1.41308	-0.706541	-0.706541	1.41308	2
36	-1.41308	-0.706541	0	-1.41308	2
37	-1.41308	-0.706541	0	-0.706541	2
38	-1.41308	-0.706541	0	0	2
39	-1.41308	-0.706541	0	0.706541	2
40	-1.41308	-0.706541	0	1.41308	2
41	-1.41308	-0.706541	0.706541	-1.41308	2
42	-1.41308	-0.706541	0.706541	-0.706541	2
43	-1.41308	-0.706541	0.706541	0	2
44	-1.41308	-0.706541	0.706541	0.706541	2
45	-1.41308	-0.706541	0.706541	1.41308	2
46	-1.41308	-0.706541	1.41308	-1.41308	2
47	-1.41308	-0.706541	1.41308	-0.706541	2
48	-1.41308	-0.706541	1.41308	0	2
49	-1.41308	-0.706541	1.41308	0.706541	2
50	-1.41308	-0.706541	1.41308	1.41308	2
51	-1.41308	0	-1.41308	-1.41308	1
52	-1.41308	0	-1.41308	-0.706541	1
53	-1.41308	0	-1.41308	0	0
54	-1.41308	0	-1.41308	0.706541	2
55	-1.41308	0	-1.41308	1.41308	2
56	-1.41308	0	-0.706541	-1.41308	1
57	-1.41308	0	-0.706541	-0.706541	2
58	-1.41308	0	-0.706541	0	2
59	-1.41308	0	-0.706541	0.706541	2
60	-1.41308	0	-0.706541	1.41308	2
61	-1.41308	0	0	-1.41308	0
62	-1.41308	0	0	-0.706541	2
63	-1.41308	0	0	0	2
64	-1.41308	0	0	0.706541	2
65	-1.41308	0	0	1.41308	2
66	-1.41308	0	0.706541	-1.41308	2
67	-1.41308	0	0.706541	-0.706541	2
68	-1.41308	0	0.706541	0	2
69	-1.41308	0	0.706541	0.706541	2
70	-1.41308	0	0.706541	1.41308	2
71	-1.41308	0	1.41308	-1.41308	2
72	-1.41308	0	1.41308	-0.706541	2
73	-1.41308	0	1.41308	0	2
74	-1.41308	0	1.41308	0.706541	2
75	-1.41308	0	1.41308	1.41308	2
76	-1.41308	0.706541	-1.41308	-1.41308	1
77	-1.41308	0.706541	-1.41308	-0.706541	1
78	-1.41308	0.706541	-1.41308	0	1
79	-1.41308	0.706541	-1.41308	0.706541	0
80	-1.41308	0.706541	-1.41308	1.41308	2
81	-1.41308	0.706541	-0.706541	-1.41308	1
82	-1.41308	0.706541	-0.706541	-0.706541	0
83	-1.41308	0.706541	-0.706541	0	2
84	-1.41308	0.706541	-0.706541	0.706541	2
85	-1.41308	0.706541	-0.706541	1.41308	2
86	-1.41308	0.706541	0	-1.41308	1
87	-1.41308	0.706541	0	-0.706541	2
88	-1.41308	0.706541	0	0	2
89	-1.41308	0.706541	0	0.706541	2
90	-1.41308	0.706541	0	1.41308	2
91	-1.41308	0.706541	0.706541	-1.41308	0
92	-1.41308	0.706541	0.706541	-0.706541	2
93	-1.41308	0.706541	0.706541	0	2
94	-1.41308	0.706541	0.706541	0.706541	2
95	-1.41308	0.706541	0.706541	1.41308	2
96	-1.41308	0.706541	1.41308	-1.41308	2
97	-1.41308	0.706541	1.41308	-0.706541	2
98	-1.41308	0.706541	1.41308	0	2
99	-1.41308	0.706541	1.41308	0.706541	2
100	-1.41308	0.706541	1.41308	1.41308	2
101	-1.41308	1.41308	-1.41308	-1.41308	1
102	-1.41308	1.41308	-1.41308	-0.706541	1
103	-1.41308	1.41308	-1.41308	0	1
104	-1.41308	1.41308	-1.41308	0.706541	1
105	-1.41308	1.41308	-1.41308	1.41308	0
106	-1.41308	1.41308	-0.706541	-1.41308	1
107	-1.41308	1.41308	-0.706541	-0.706541	1
108	-1.41308	1.41308	-0.706541	0	2
109	-1.41308	1.41308	-0.706541	0.706541	2
110	-1.41308	1.41308	-0.706541	1.41308	2
111	-1.41308	1.41308	0	-1.41308	1
112	-1.41308	1.41308	0	-0.706541	2
113	-1.41308	1.41308	0	0	2
114	-1.41308	1.41308	0	0.706541	2
115	-1.41308	1.41308	0	1.41308	2
116	-1.41308	1.41308	0.706541	-1.41308	1
117	-1.41308	1.41308	0.706541	-0.706541	2
118	-1.41308	1.41308	0.706541	0	2
119	-1.41308	1.41308	0.706541	0.706541	2
120	-1.41308	1.41308	0.706541	1.41308	2
121	-1.41308	1.41308	1.41308	-1.41308	0
122	-1.41308	1.41308	1.41308	-0.706541	2
123	-1.41308	1.41308	1.41308	0	2
124	-1.41308	1.41308	1.41308	0.706541	2
125	-1.41308	1.41308	1.41308	1.41308	2
