	f1	f2	f3	f4	clase
1	-0.927278	7.61825	7.61825	2.61388	1
2	-1.17433	1.28188	1.28188	-0.257708	1
3	-1.05081	1.79564	1.79564	0.0294508	1
4	-0.927278	2.48065	2.48065	0.439678	1
5	-1.05081	3.16567	3.16567	1.75241	0
6	-0.680224	-0.259398	-0.259398	-1.24225	0
7	-0.927278	0.254361	0.254361	-0.832027	1
8	-1.05081	1.11063	1.11063	0.0294508	0
9	-0.927278	0.596868	0.596868	-0.503845	1
10	-0.556697	6.93324	6.93324	2.61388	1
11	-0.680224	2.99441	2.99441	0.972974	0
12	-1.17433	-0.430651	-0.430651	-1.24225	0
13	-0.927278	0.768121	0.768121	-0.257708	1
14	-1.05081	1.28188	1.28188	0.521724	0
15	-0.927278	0.0831082	0.0831082	-0.791004	1
16	-0.927278	-0.088145	-0.088145	-0.955095	1
17	-0.927278	1.45313	1.45313	0.562747	1
18	-0.927278	1.62439	1.62439	0.603769	1
19	-0.927278	0.0831082	0.0831082	-0.791004	1
20	-0.927278	-0.430651	-0.430651	-1.24225	1
21	-0.927278	-0.430651	-0.430651	-1.24225	1
22	-0.680224	0.939374	0.939374	-0.257708	0
23	-0.927278	0.0831082	0.0831082	-0.749982	1
24	-0.927278	0.0831082	0.0831082	-0.749982	1
25	-0.0625892	0.596868	0.596868	-0.749982	0
26	-0.680224	1.45313	1.45313	0.234565	0
27	-0.680224	0.0831082	0.0831082	-0.832027	0
28	-0.680224	1.11063	1.11063	-0.0115719	1
29	-0.680224	-0.088145	-0.088145	-0.955095	1
30	-0.680224	0.425615	0.425615	-0.544868	0
31	-1.05081	1.45313	1.45313	0.972974	0
32	-0.680224	0.768121	0.768121	-0.257708	1
33	-0.680224	0.768121	0.768121	-0.257708	1
34	-0.680224	0.596868	0.596868	-0.339754	1
35	-0.927278	1.79564	1.79564	1.21911	0
36	-0.927278	0.425615	0.425615	-0.257708	1
37	-0.927278	1.11063	1.11063	0.521724	1
38	-0.680224	0.0831082	0.0831082	-0.749982	1
39	-0.927278	1.45313	1.45313	0.931951	1
40	-0.680224	0.254361	0.254361	-0.503845	1
41	-0.927278	1.28188	1.28188	0.76786	1
42	-0.927278	-0.088145	-0.088145	-0.749982	0
43	-0.927278	-0.088145	-0.088145	-0.749982	1
44	-0.927278	-0.088145	-0.088145	-0.749982	0
45	-0.680224	2.48065	2.48065	1.42422	1
46	-0.680224	0.596868	0.596868	-0.257708	1
47	-0.927278	0.596868	0.596868	0.0704736	0
48	-0.927278	-0.601905	-0.601905	-1.3243	0
49	-0.927278	-0.601905	-0.601905	-1.3243	0
50	-0.927278	-0.601905	-0.601905	-1.3243	0
51	-0.927278	0.939374	0.939374	0.480701	0
52	-0.927278	0.939374	0.939374	0.480701	1
53	-0.927278	0.0831082	0.0831082	-0.503845	0
54	-0.927278	1.11063	1.11063	0.726838	0
55	-0.680224	-0.088145	-0.088145	-0.832027	1
56	-0.680224	2.3094	2.3094	1.42422	1
57	-0.680224	0.425615	0.425615	-0.339754	1
58	-0.927278	0.254361	0.254361	-0.257708	1
59	-0.927278	1.79564	1.79564	1.9165	0
60	-0.803751	0.0831082	0.0831082	-0.544868	0
61	-0.927278	0.254361	0.254361	-0.216686	0
62	-0.927278	0.425615	0.425615	0.0294508	1
63	-0.927278	0.768121	0.768121	0.603769	0
64	-0.680224	-0.088145	-0.088145	-0.749982	1
65	-0.927278	-0.430651	-0.430651	-1.03714	1
66	-0.803751	1.79564	1.79564	1.62934	0
67	-0.927278	-0.259398	-0.259398	-0.832027	1
