	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	clase
1	-0.354555	-0.275152	-0.197483	-0.33467	-0.707826	-0.925048	-0.75981	-0.527554	-0.783549	-0.660506	-0.871037	-0.342704	-0.670293	-0.0686587	-0.153462	-0.226494	-0.176892	0.674708	-0.0905501	-0.421357	-0.472772	-0.500313	-0.24641	-0.786152	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	-0.463336	-0.240644	-0.78147	0.769572	0.602317	-0.572443	1
2	-0.354555	-0.275152	-0.197483	-0.33467	1.41233	-0.925048	-0.75981	-0.527554	-0.783549	-0.660506	-0.871037	-0.342704	-0.670293	-0.0686587	-0.153462	-0.226494	-0.176892	0.674708	-0.0905501	-0.421357	-0.472772	-0.500313	-0.24641	-0.786152	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	-0.463336	-0.240644	-0.78147	0.769572	0.602317	-0.572443	1
3	-0.354555	-0.275152	-0.197483	-0.33467	1.41233	-0.925048	1.31571	-0.527554	-0.783549	-0.660506	-0.871037	-0.342704	-0.670293	-0.0686587	-0.153462	-0.226494	-0.176892	0.674708	-0.0905501	-0.421357	-0.472772	-0.500313	-0.24641	-0.786152	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	-0.463336	-0.240644	-0.78147	0.769572	0.602317	-0.572443	1
4	-0.354555	-0.275152	-0.197483	-0.33467	-0.707826	-0.925048	-0.75981	-0.527554	1.27584	-0.660506	-0.871037	-0.342704	-0.670293	-0.0686587	-0.153462	-0.226494	-0.176892	0.674708	-0.0905501	-0.421357	-0.472772	1.99812	-0.24641	-0.786152	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	-0.463336	-0.240644	-0.78147	0.769572	0.602317	-0.572443	1
5	-0.354555	-0.275152	-0.197483	-0.33467	-0.707826	-0.925048	-0.75981	-0.527554	-0.783549	-0.660506	-0.871037	-0.342704	-0.670293	-0.0686587	-0.153462	-0.226494	-0.176892	0.674708	-0.0905501	-0.421357	-0.472772	-0.500313	-0.24641	1.27162	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	-0.463336	-0.240644	-0.78147	0.769572	0.602317	-0.572443	1
6	-0.354555	-0.275152	-0.197483	-0.33467	-0.707826	-0.925048	-0.75981	-0.527554	-0.783549	-0.660506	-0.871037	-0.342704	-0.670293	-0.0686587	-0.153462	-0.226494	-0.176892	0.674708	-0.0905501	-0.421357	-0.472772	-0.500313	-0.24641	1.27162	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	4.74267	-0.463336	-0.240644	-0.78147	0.769572	0.602317	-0.572443	1
7	-0.354555	-0.275152	-0.197483	-0.33467	-0.707826	-0.925048	-0.75981	-0.527554	1.27584	-0.660506	-0.871037	-0.342704	-0.670293	-0.0686587	-0.153462	-0.226494	-0.176892	0.674708	-0.0905501	-0.421357	-0.472772	1.99812	-0.24641	1.27162	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	-0.463336	-0.240644	-0.78147	0.769572	0.602317	-0.572443	1
8	-0.354555	-0.275152	-0.197483	-0.33467	1.41233	-0.925048	-0.75981	-0.527554	-0.783549	-0.660506	1.1477	-0.342704	-0.670293	-0.0686587	-0.153462	-0.226494	-0.176892	0.674708	-0.0905501	-0.421357	-0.472772	-0.500313	-0.24641	-0.786152	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	-0.463336	-0.240644	-0.78147	0.769572	0.602317	-0.572443	1
9	-0.354555	-0.275152	-0.197483	-0.33467	-0.707826	-0.925048	-0.75981	-0.527554	-0.783549	-0.660506	1.1477	-0.342704	-0.670293	-0.0686587	-0.153462	-0.226494	-0.176892	0.674708	-0.0905501	-0.421357	-0.472772	-0.500313	-0.24641	-0.786152	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	2.15759	-0.240644	-0.78147	0.769572	0.602317	-0.572443	1
10	-0.354555	-0.275152	-0.197483	-0.33467	-0.707826	-0.925048	1.31571	-0.527554	-0.783549	-0.660506	1.1477	-0.342704	-0.670293	-0.0686587	-0.153462	-0.226494	-0.176892	0.674708	-0.0905501	-0.421357	-0.472772	-0.500313	-0.24641	-0.786152	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	-0.463336	-0.240644	-0.78147	0.769572	0.602317	-0.572443	1
11	-0.354555	-0.275152	-0.197483	-0.33467	1.41233	-0.925048	1.31571	-0.527554	-0.783549	-0.660506	1.1477	-0.342704	-0.670293	-0.0686587	-0.153462	-0.226494	-0.176892	0.674708	-0.0905501	-0.421357	-0.472772	-0.500313	-0.24641	-0.786152	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	-0.463336	-0.240644	-0.78147	0.769572	0.602317	-0.572443	1
12	-0.354555	-0.275152	-0.197483	-0.33467	-0.707826	-0.925048	-0.75981	-0.527554	1.27584	-0.660506	1.1477	-0.342704	-0.670293	-0.0686587	-0.153462	-0.226494	-0.176892	0.674708	-0.0905501	-0.421357	-0.472772	1.99812	-0.24641	-0.786152	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	-0.463336	-0.240644	-0.78147	0.769572	0.602317	-0.572443	1
13	-0.354555	-0.275152	-0.197483	-0.33467	-0.707826	-0.925048	-0.75981	-0.527554	1.27584	-0.660506	1.1477	-0.342704	-0.670293	-0.0686587	-0.153462	-0.226494	-0.176892	0.674708	-0.0905501	-0.421357	-0.472772	1.99812	-0.24641	-0.786152	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	2.15759	-0.240644	-0.78147	0.769572	0.602317	-0.572443	1
14	-0.354555	-0.275152	-0.197483	-0.33467	-0.707826	-0.925048	-0.75981	-0.527554	1.27584	-0.660506	1.1477	-0.342704	-0.670293	-0.0686587	-0.153462	-0.226494	-0.176892	0.674708	-0.0905501	2.37254	-0.472772	1.99812	-0.24641	-0.786152	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	2.15759	-0.240644	-0.78147	0.769572	0.602317	-0.572443	1
15	-0.354555	-0.275152	-0.197483	-0.33467	1.41233	-0.925048	-0.75981	-0.527554	1.27584	-0.660506	1.1477	-0.342704	-0.670293	-0.0686587	-0.153462	-0.226494	-0.176892	0.674708	-0.0905501	-0.421357	-0.472772	1.99812	-0.24641	-0.786152	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	2.15759	-0.240644	-0.78147	0.769572	0.602317	-0.572443	1
16	-0.354555	-0.275152	-0.197483	-0.33467	1.41233	-0.925048	-0.75981	-0.527554	-0.783549	-0.660506	1.1477	-0.342704	-0.670293	-0.0686587	-0.153462	-0.226494	-0.176892	0.674708	-0.0905501	-0.421357	-0.472772	-0.500313	-0.24641	1.27162	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	-0.463336	-0.240644	-0.78147	0.769572	0.602317	-0.572443	1
17	-0.354555	-0.275152	-0.197483	-0.33467	-0.707826	-0.925048	-0.75981	-0.527554	-0.783549	-0.660506	1.1477	-0.342704	-0.670293	-0.0686587	-0.153462	-0.226494	-0.176892	0.674708	-0.0905501	-0.421357	-0.472772	-0.500313	-0.24641	1.27162	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	2.15759	-0.240644	-0.78147	0.769572	0.602317	-0.572443	1
18	-0.354555	-0.275152	-0.197483	-0.33467	1.41233	-0.925048	1.31571	-0.527554	-0.783549	-0.660506	1.1477	-0.342704	-0.670293	-0.0686587	-0.153462	-0.226494	-0.176892	0.674708	-0.0905501	-0.421357	-0.472772	-0.500313	-0.24641	1.27162	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	-0.463336	-0.240644	-0.78147	0.769572	0.602317	-0.572443	1
19	-0.354555	-0.275152	-0.197483	-0.33467	-0.707826	-0.925048	-0.75981	-0.527554	1.27584	-0.660506	1.1477	-0.342704	-0.670293	-0.0686587	-0.153462	-0.226494	-0.176892	0.674708	-0.0905501	-0.421357	-0.472772	1.99812	-0.24641	1.27162	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	-0.463336	-0.240644	-0.78147	0.769572	0.602317	-0.572443	1
20	-0.354555	-0.275152	-0.197483	-0.33467	-0.707826	-0.925048	-0.75981	-0.527554	1.27584	-0.660506	1.1477	-0.342704	-0.670293	-0.0686587	-0.153462	-0.226494	-0.176892	0.674708	-0.0905501	-0.421357	-0.472772	1.99812	-0.24641	1.27162	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	2.15759	-0.240644	-0.78147	0.769572	0.602317	-0.572443	1
21	-0.354555	-0.275152	-0.197483	-0.33467	-0.707826	-0.925048	-0.75981	-0.527554	1.27584	-0.660506	1.1477	-0.342704	-0.670293	-0.0686587	-0.153462	-0.226494	-0.176892	0.674708	-0.0905501	2.37254	-0.472772	1.99812	-0.24641	1.27162	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	2.15759	-0.240644	-0.78147	0.769572	0.602317	-0.572443	1
22	-0.354555	-0.275152	-0.197483	-0.33467	1.41233	-0.925048	-0.75981	-0.527554	1.27584	-0.660506	1.1477	-0.342704	-0.670293	-0.0686587	-0.153462	-0.226494	-0.176892	0.674708	-0.0905501	-0.421357	-0.472772	1.99812	-0.24641	1.27162	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	2.15759	-0.240644	-0.78147	0.769572	0.602317	-0.572443	1
23	-0.354555	-0.275152	-0.197483	-0.33467	-0.707826	-0.925048	-0.75981	-0.527554	-0.783549	-0.660506	1.1477	-0.342704	-0.670293	-0.0686587	2.05584	-0.226494	-0.176892	0.674708	-0.0905501	-0.421357	-0.472772	-0.500313	-0.24641	-0.786152	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	-0.463336	-0.240644	-0.78147	0.769572	0.602317	-0.572443	1
24	-0.354555	-0.275152	-0.197483	-0.33467	-0.707826	-0.925048	-0.75981	-0.527554	-0.783549	-0.660506	1.1477	-0.342704	-0.670293	-0.0686587	2.05584	-0.226494	-0.176892	0.674708	-0.0905501	-0.421357	-0.472772	-0.500313	-0.24641	-0.786152	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	2.15759	-0.240644	-0.78147	0.769572	0.602317	-0.572443	1
25	-0.354555	-0.275152	-0.197483	-0.33467	-0.707826	-0.925048	-0.75981	-0.527554	-0.783549	-0.660506	1.1477	-0.342704	-0.670293	-0.0686587	2.05584	-0.226494	-0.176892	0.674708	-0.0905501	2.37254	-0.472772	-0.500313	-0.24641	-0.786152	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	2.15759	-0.240644	-0.78147	0.769572	0.602317	-0.572443	1
26	-0.354555	-0.275152	-0.197483	-0.33467	-0.707826	-0.925048	1.31571	-0.527554	-0.783549	-0.660506	1.1477	-0.342704	-0.670293	-0.0686587	2.05584	-0.226494	-0.176892	0.674708	-0.0905501	-0.421357	-0.472772	-0.500313	-0.24641	-0.786152	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	-0.463336	-0.240644	-0.78147	0.769572	0.602317	-0.572443	1
27	-0.354555	-0.275152	-0.197483	-0.33467	1.41233	-0.925048	1.31571	-0.527554	-0.783549	-0.660506	1.1477	-0.342704	-0.670293	-0.0686587	2.05584	-0.226494	-0.176892	0.674708	-0.0905501	-0.421357	-0.472772	-0.500313	-0.24641	-0.786152	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	-0.463336	-0.240644	-0.78147	0.769572	0.602317	-0.572443	1
28	-0.354555	-0.275152	-0.197483	-0.33467	-0.707826	-0.925048	-0.75981	-0.527554	1.27584	-0.660506	1.1477	-0.342704	-0.670293	-0.0686587	2.05584	-0.226494	-0.176892	0.674708	-0.0905501	-0.421357	-0.472772	1.99812	-0.24641	-0.786152	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	-0.463336	-0.240644	-0.78147	0.769572	0.602317	-0.572443	1
29	-0.354555	-0.275152	-0.197483	-0.33467	-0.707826	-0.925048	-0.75981	-0.527554	-0.783549	-0.660506	1.1477	-0.342704	-0.670293	-0.0686587	2.05584	-0.226494	-0.176892	0.674708	-0.0905501	-0.421357	-0.472772	-0.500313	-0.24641	1.27162	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	-0.463336	-0.240644	-0.78147	0.769572	0.602317	-0.572443	1
30	-0.354555	-0.275152	-0.197483	-0.33467	-0.707826	-0.925048	-0.75981	-0.527554	-0.783549	-0.660506	1.1477	-0.342704	-0.670293	-0.0686587	2.05584	-0.226494	-0.176892	0.674708	-0.0905501	-0.421357	-0.472772	-0.500313	-0.24641	1.27162	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	2.15759	-0.240644	-0.78147	0.769572	0.602317	-0.572443	1
31	-0.354555	-0.275152	-0.197483	-0.33467	-0.707826	-0.925048	-0.75981	-0.527554	-0.783549	-0.660506	1.1477	-0.342704	-0.670293	-0.0686587	2.05584	-0.226494	-0.176892	0.674708	-0.0905501	2.37254	-0.472772	-0.500313	-0.24641	1.27162	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	2.15759	-0.240644	-0.78147	0.769572	0.602317	-0.572443	1
32	-0.354555	-0.275152	-0.197483	-0.33467	-0.707826	-0.925048	-0.75981	-0.527554	1.27584	-0.660506	1.1477	-0.342704	-0.670293	-0.0686587	2.05584	-0.226494	-0.176892	0.674708	-0.0905501	-0.421357	-0.472772	1.99812	-0.24641	1.27162	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	-0.463336	-0.240644	-0.78147	0.769572	0.602317	-0.572443	1
33	-0.354555	-0.275152	-0.197483	-0.33467	-0.707826	-0.925048	-0.75981	-0.527554	-0.783549	-0.660506	1.1477	-0.342704	-0.670293	-0.0686587	2.05584	-0.226494	-0.176892	0.674708	-0.0905501	-0.421357	-0.472772	-0.500313	-0.24641	-0.786152	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	-0.463336	-0.240644	-0.78147	0.769572	-1.65973	-0.572443	1
34	-0.354555	-0.275152	-0.197483	-0.33467	-0.707826	-0.925048	-0.75981	-0.527554	-0.783549	-0.660506	1.1477	-0.342704	-0.670293	-0.0686587	2.05584	-0.226494	-0.176892	0.674708	-0.0905501	-0.421357	-0.472772	-0.500313	-0.24641	-0.786152	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	2.15759	-0.240644	-0.78147	0.769572	-1.65973	-0.572443	1
35	-0.354555	-0.275152	-0.197483	-0.33467	-0.707826	-0.925048	1.31571	-0.527554	-0.783549	-0.660506	1.1477	-0.342704	-0.670293	-0.0686587	2.05584	-0.226494	-0.176892	0.674708	-0.0905501	-0.421357	-0.472772	-0.500313	-0.24641	-0.786152	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	-0.463336	-0.240644	-0.78147	0.769572	-1.65973	-0.572443	1
36	-0.354555	-0.275152	-0.197483	-0.33467	1.41233	-0.925048	1.31571	-0.527554	-0.783549	-0.660506	1.1477	-0.342704	-0.670293	-0.0686587	2.05584	-0.226494	-0.176892	0.674708	-0.0905501	-0.421357	-0.472772	-0.500313	-0.24641	-0.786152	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	-0.463336	-0.240644	-0.78147	0.769572	-1.65973	-0.572443	1
37	-0.354555	-0.275152	-0.197483	-0.33467	1.41233	-0.925048	1.31571	-0.527554	-0.783549	-0.660506	1.1477	-0.342704	-0.670293	-0.0686587	2.05584	-0.226494	-0.176892	0.674708	-0.0905501	2.37254	-0.472772	-0.500313	-0.24641	-0.786152	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	-0.463336	-0.240644	-0.78147	0.769572	-1.65973	-0.572443	1
38	-0.354555	-0.275152	-0.197483	-0.33467	-0.707826	-0.925048	-0.75981	-0.527554	1.27584	-0.660506	1.1477	-0.342704	-0.670293	-0.0686587	2.05584	-0.226494	-0.176892	0.674708	-0.0905501	-0.421357	-0.472772	1.99812	-0.24641	-0.786152	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	-0.463336	-0.240644	-0.78147	0.769572	-1.65973	-0.572443	1
39	-0.354555	-0.275152	-0.197483	-0.33467	-0.707826	-0.925048	-0.75981	-0.527554	-0.783549	-0.660506	1.1477	-0.342704	-0.670293	-0.0686587	2.05584	-0.226494	-0.176892	0.674708	-0.0905501	-0.421357	-0.472772	-0.500313	-0.24641	1.27162	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	2.15759	-0.240644	-0.78147	0.769572	-1.65973	-0.572443	1
40	-0.354555	-0.275152	-0.197483	-0.33467	-0.707826	-0.925048	-0.75981	-0.527554	1.27584	-0.660506	1.1477	-0.342704	-0.670293	-0.0686587	2.05584	-0.226494	-0.176892	0.674708	-0.0905501	-0.421357	-0.472772	1.99812	-0.24641	1.27162	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	-0.463336	-0.240644	-0.78147	0.769572	-1.65973	-0.572443	1
41	2.81956	-0.275152	-0.197483	-0.33467	-0.707826	-0.925048	-0.75981	-0.527554	-0.783549	-0.660506	1.1477	-0.342704	-0.670293	-0.0686587	-0.153462	-0.226494	-0.176892	0.674708	-0.0905501	-0.421357	-0.472772	-0.500313	-0.24641	-0.786152	-0.0587589	0.664906	-0.240644	-0.0176887	-0.12215	-0.210786	2.15759	-0.240644	-0.78147	0.769572	0.602317	-0.572443	1
