	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	clase
1	-0.168237	-0.351775	-0.160884	-0.160884	-0.188765	-0.160884	-0.182147	-0.188765	-0.230535	-0.12774	4.43497	-0.276688	-0.246648	-0.201436	-0.261988	-0.55989	1
2	-0.168237	-0.351775	-0.160884	-0.160884	-0.188765	-0.160884	-0.182147	-0.188765	-0.230535	-0.12774	-0.224962	-0.276688	-0.246648	-0.201436	-0.261988	1.78196	1
3	5.93034	-0.351775	-0.160884	6.20136	-0.188765	-0.160884	-0.182147	-0.188765	-0.230535	-0.12774	-0.224962	-0.276688	-0.246648	-0.201436	-0.261988	-0.55989	0
4	-0.168237	-0.351775	-0.160884	-0.160884	5.28542	-0.160884	-0.182147	-0.188765	-0.230535	-0.12774	-0.224962	-0.276688	-0.246648	-0.201436	-0.261988	-0.55989	0
5	-0.168237	-0.351775	-0.160884	-0.160884	-0.188765	-0.160884	-0.182147	-0.188765	-0.230535	-0.12774	-0.224962	3.60587	-0.246648	-0.201436	-0.261988	-0.55989	0
6	-0.168237	-0.351775	-0.160884	-0.160884	-0.188765	-0.160884	-0.182147	-0.188765	-0.230535	-0.12774	-0.224962	-0.276688	-0.246648	-0.201436	-0.261988	-0.55989	0
7	-0.168237	-0.351775	-0.160884	-0.160884	-0.188765	-0.160884	-0.182147	-0.188765	-0.230535	-0.12774	-0.224962	-0.276688	4.04503	-0.201436	-0.261988	-0.55989	0
8	-0.168237	-0.351775	-0.160884	-0.160884	-0.188765	-0.160884	-0.182147	-0.188765	-0.230535	-0.12774	-0.224962	-0.276688	-0.246648	-0.201436	3.80819	-0.55989	1
9	-0.168237	-0.351775	-0.160884	-0.160884	-0.188765	-0.160884	-0.182147	-0.188765	-0.230535	-0.12774	-0.224962	-0.276688	-0.246648	-0.201436	-0.261988	-0.55989	1
10	-0.168237	-0.351775	-0.160884	-0.160884	-0.188765	-0.160884	-0.182147	-0.188765	-0.230535	-0.12774	-0.224962	-0.276688	-0.246648	-0.201436	3.80819	1.78196	0
11	-0.168237	-0.351775	-0.160884	-0.160884	-0.188765	-0.160884	-0.182147	-0.188765	-0.230535	-0.12774	4.43497	3.60587	-0.246648	-0.201436	-0.261988	-0.55989	1
12	-0.168237	-0.351775	-0.160884	-0.160884	-0.188765	-0.160884	-0.182147	-0.188765	-0.230535	-0.12774	-0.224962	3.60587	-0.246648	-0.201436	3.80819	1.78196	1
