	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	clase
1	1.17346	-0.185139	0.312177	-0.258424	-0.141001	-0.877564	-1.14449	-0.147265	0.263873	0.642925	0.996225	-1.54663	-0.903656	0.852732	-1.22016	1.34846	0.922276	-0.587603	-0.727275	1.08799	-0.0444493	0.266108	-0.538358	1.12552	-0.210141	-0.152213	-0.00621123	-0.516206	-0.0893423	0.192315	0.106361	0.118535	0.294997	0.28194	0.111585	0
2	1.17346	-0.185139	0.312177	-0.258424	-0.141001	-0.877564	-1.14449	-0.147265	0.263873	0.642925	0.996225	-1.54663	-0.903656	0.852732	-1.22016	0.289548	0.922276	-0.587603	0.399771	-0.16605	0.19017	0.266108	-0.538358	0.167385	0.273572	0.167348	0.216845	-0.516206	-0.0893423	0.192315	-0.731433	0.118535	0.294997	0.28194	0.111585	1
3	1.17346	-0.185139	0.312177	-0.258424	-0.141001	-0.877564	0.698209	-0.147265	0.263873	0.642925	-1.24747	0.2928	1.24403	-1.35789	-1.22016	0.289548	1.44549	-1.30165	1.89874	0.460969	0.19017	-2.73368	0.215785	0.152645	0.152644	0.0874579	0.354928	-0.516206	-0.0893423	0.710554	-0.172904	0.790377	0.294997	0.194359	0.111585	1
4	1.17346	-0.185139	0.312177	-0.258424	-0.141001	-0.877564	-1.14449	-0.147265	0.263873	0.642925	-1.24747	0.752658	1.24403	-1.35789	-1.22016	-0.76937	0.698039	-1.30165	0.399771	0.460969	-0.396378	-1.48377	0.215785	0.0199803	-0.773667	0.218187	0.24871	-0.516206	-0.0893423	0.192315	0.944154	0.790377	0.294997	0.519108	0.111585	1
5	-0.88764	-0.185139	0.312177	-0.258424	-0.141001	-0.877564	0.698209	-0.147265	0.263873	0.642925	-1.24747	0.752658	-0.903656	0.852732	0.614558	-0.76937	0.548548	-0.587603	0.399771	1.08799	0.19017	0.266108	0.215785	-0.805486	0.757285	0.356179	0.641715	1.55753	-0.0893423	-0.153177	-1.0107	0.230508	0.294997	0.411375	0.111585	1
6	1.17346	-0.185139	0.312177	-0.258424	-0.141001	-0.877564	-1.14449	-0.147265	0.263873	0.642925	-1.24747	0.752658	-0.903656	-1.35789	-1.22016	-0.76937	0.548548	-1.30165	0.027846	0.962584	-0.279068	-0.983802	0.0649564	0.462194	-0.773667	0.0874579	0.12125	1.55753	-0.0893423	0.192315	-0.452169	0.790377	0.294997	0.194359	0.111585	1
7	-0.88764	-0.185139	0.312177	-0.258424	-0.141001	1.13729	0.698209	-0.147265	0.263873	0.642925	0.996225	1.21252	-0.903656	0.852732	0.614558	1.34846	0.548548	-0.587603	0.399771	0.774478	-0.396378	0.266108	0.215785	-0.805486	1.96657	0.719317	0.110628	1.97227	-0.0893423	0.192315	-1.0107	-0.32936	0.294997	0.411375	0.111585	1
8	-0.88764	-0.185139	0.312177	-0.258424	-0.141001	1.13729	0.698209	-0.147265	0.263873	0.642925	0.996225	1.21252	1.24403	0.852732	0.614558	1.34846	0.548548	-0.587603	-0.727275	0.774478	-0.396378	0.266108	0.0649564	-0.805486	1.96657	0.719317	0.110628	1.97227	-0.0893423	0.192315	0.385625	-0.32936	0.294997	0.411375	0.111585	1
9	1.17346	-0.185139	0.312177	-0.258424	-0.141001	-0.877564	-1.14449	-0.147265	-5.21327	0.642925	0.248326	-1.08677	0.630402	-1.35789	-1.22016	-0.76937	0.548548	-0.706612	1.15489	-2.04711	-0.982926	0.266108	2.47821	-0.805486	-0.331069	0.552273	0.354928	0.105914	-0.0893423	1.05605	0.106361	0.790377	0.294997	0.14398	0.111585	0
10	1.17346	-0.185139	0.312177	-0.258424	-0.141001	-0.877564	-1.14449	-0.147265	0.263873	0.642925	-1.24747	0.2928	-0.903656	-1.35789	-1.22016	1.34846	1.66973	-0.944628	0.771696	0.460969	-0.396378	1.26604	0.366613	2.5406	-0.0892129	-0.51535	-0.494811	-0.516206	-0.0893423	1.05605	0.106361	0.566429	0.294997	0.4106	0.111585	1
11	1.17346	-0.185139	0.312177	-0.258424	-0.141001	-0.877564	-1.14449	-0.147265	0.263873	0.642925	-1.24747	0.2928	1.24403	-1.35789	-1.22016	-0.76937	1.66973	-0.944628	-0.727275	0.460969	-1.21754	0.266108	0.215785	1.47929	-0.0892129	-0.297468	-0.0593199	-0.516206	-0.0893423	1.05605	0.106361	0.566429	0.294997	0.405949	0.111585	1
12	1.17346	-0.185139	0.312177	-0.258424	-0.141001	-0.877564	-1.14449	-0.147265	0.263873	0.642925	0.996225	-1.54663	-0.903656	0.852732	-1.22016	1.34846	0.548548	-0.11157	1.15489	-0.793068	0.19017	0.266108	0.969927	0.742264	-0.210141	0.000304978	0.0362757	-0.516206	-0.0893423	0.192315	0.106361	0.566429	0.294997	0.28194	0.111585	0
13	1.17346	-0.185139	0.312177	-0.258424	-0.141001	-0.877564	-1.14449	-0.147265	0.263873	0.642925	0.996225	-1.54663	0.630402	0.852732	-1.22016	1.34846	0.548548	-0.11157	0.399771	-0.16605	-0.982926	1.26604	0.215785	0.668561	-0.451998	-0.188526	0.376171	-0.516206	-0.0893423	0.710554	0.106361	0.566429	0.294997	0.4106	0.111585	0
14	1.17346	-0.185139	0.312177	-0.258424	-0.141001	-0.877564	-1.14449	-0.147265	0.263873	0.642925	0.996225	-1.54663	0.630402	0.852732	-1.22016	1.34846	-0.198908	-0.706612	0.399771	-0.479559	-0.982926	-0.233856	-0.161286	-0.805486	-0.693854	0.501434	0.42928	-0.516206	-0.0893423	-0.671416	0.106361	0.790377	0.294997	-0.105589	0.111585	0
15	1.17346	-0.185139	0.312177	-0.258424	-0.141001	-0.877564	-1.14449	-0.147265	0.263873	0.642925	0.996225	-1.54663	-0.903656	0.852732	-1.22016	1.34846	0.548548	-0.944628	0.027846	0.460969	-0.396378	1.26604	-0.538358	1.52351	-0.451998	-0.22484	-0.186781	-0.516206	-0.0893423	0.192315	0.106361	0.566429	0.294997	0.14398	0.111585	1
16	0.142908	-0.185139	0.312177	-0.258424	-0.141001	1.13729	0.698209	-0.147265	0.263873	-1.63512	-0.499573	-0.626915	1.24403	-1.35789	-1.22016	1.34846	-3.18873	-0.706612	-0.35535	-0.16605	1.01134	1.26604	-2.04664	-0.805486	-0.935711	0.719317	0.110628	-0.516206	-0.0893423	0.192315	0.106361	0.790377	0.294997	0.14398	0.111585	0
17	-0.88764	-0.185139	0.312177	-0.258424	-0.141001	1.13729	0.698209	-0.147265	0.263873	-1.63512	-0.499573	-0.626915	0.0167788	-1.35789	0.614558	1.34846	-0.946364	-0.706612	-0.727275	-0.793068	-1.56947	-2.73368	-2.04664	-0.805486	-0.451998	0.719317	0.110628	-0.516206	-0.0893423	0.192315	-0.452169	0.00656096	0.294997	-0.105589	0.111585	1
