	f1	f2	f3	f4	clase
1	-0.897674	1.02861	-1.33679	-1.30859	0
2	-1.1392	-0.12454	-1.33679	-1.30859	0
3	-1.38073	0.33672	-1.39347	-1.30859	0
4	-1.50149	0.10609	-1.28012	-1.30859	0
5	-1.01844	1.25924	-1.33679	-1.30859	0
6	-0.535384	1.95113	-1.16677	-1.04652	0
7	-1.50149	0.797981	-1.33679	-1.17756	0
8	-1.01844	0.797981	-1.28012	-1.30859	0
9	-1.74302	-0.355171	-1.33679	-1.30859	0
10	-1.1392	0.10609	-1.28012	-1.43963	0
11	-0.535384	1.48987	-1.28012	-1.30859	0
12	-1.25996	0.797981	-1.22344	-1.30859	0
13	-1.25996	-0.12454	-1.33679	-1.43963	0
14	-1.86378	-0.12454	-1.50682	-1.43963	0
15	-0.0523308	2.18176	-1.45015	-1.30859	0
16	-0.173094	3.10428	-1.28012	-1.04652	0
17	-0.535384	1.95113	-1.39347	-1.04652	0
18	-0.897674	1.02861	-1.33679	-1.17756	0
19	-0.173094	1.7205	-1.16677	-1.17756	0
20	-0.897674	1.7205	-1.28012	-1.17756	0
21	-0.535384	0.797981	-1.16677	-1.30859	0
22	-0.897674	1.48987	-1.28012	-1.04652	0
23	-1.50149	1.25924	-1.5635	-1.30859	0
24	-0.897674	0.567351	-1.16677	-0.915491	0
25	-1.25996	0.797981	-1.05341	-1.30859	0
26	-1.01844	-0.12454	-1.22344	-1.30859	0
27	-1.01844	0.797981	-1.22344	-1.04652	0
28	-0.776911	1.02861	-1.28012	-1.30859	0
29	-0.776911	0.797981	-1.33679	-1.30859	0
30	-1.38073	0.33672	-1.22344	-1.30859	0
31	-1.25996	0.10609	-1.22344	-1.30859	0
32	-0.535384	0.797981	-1.28012	-1.04652	0
33	-0.776911	2.41239	-1.28012	-1.43963	0
34	-0.414621	2.64302	-1.33679	-1.30859	0
35	-1.1392	0.10609	-1.28012	-1.43963	0
36	-1.01844	0.33672	-1.45015	-1.30859	0
37	-0.414621	1.02861	-1.39347	-1.30859	0
38	-1.1392	0.10609	-1.28012	-1.43963	0
39	-1.74302	-0.12454	-1.39347	-1.30859	0
40	-0.897674	0.797981	-1.28012	-1.30859	0
41	-1.01844	1.02861	-1.39347	-1.17756	0
42	-1.62225	-1.73895	-1.39347	-1.17756	0
43	-1.74302	0.33672	-1.39347	-1.30859	0
44	-1.01844	1.02861	-1.22344	-0.784457	0
45	-0.897674	1.7205	-1.05341	-1.04652	0
46	-1.25996	-0.12454	-1.33679	-1.17756	0
47	-0.897674	1.7205	-1.22344	-1.30859	0
