	f1	f2	f3	f4	f5	f6	f7	clase
1	0.55397	-1.20646	0.586295	-1.38024	-0.836648	0.452343	0.717382	7
2	0.55397	-1.20646	0.586295	-1.38024	-0.836648	-2.2085	-1.39256	7
3	0.55397	-1.20646	0.586295	0.723786	1.19405	-2.2085	-1.39256	2
4	0.55397	0.828042	-1.70392	0.723786	-0.836648	0.452343	0.717382	5
5	0.55397	0.828042	0.586295	-1.38024	1.19405	0.452343	0.717382	0
6	-1.80335	0.828042	0.586295	-1.38024	-0.836648	0.452343	-1.39256	4
7	0.55397	0.828042	0.586295	0.723786	-0.836648	0.452343	0.717382	9
8	0.55397	-1.20646	0.586295	0.723786	1.19405	0.452343	0.717382	8
9	0.55397	-1.20646	0.586295	0.723786	1.19405	0.452343	0.717382	5
10	0.55397	0.828042	0.586295	0.723786	1.19405	0.452343	0.717382	6
11	0.55397	-1.20646	0.586295	0.723786	-0.836648	0.452343	0.717382	3
12	0.55397	-1.20646	0.586295	-1.38024	-0.836648	0.452343	0.717382	7
13	0.55397	-1.20646	0.586295	-1.38024	1.19405	0.452343	0.717382	0
14	0.55397	0.828042	0.586295	0.723786	-0.836648	0.452343	-1.39256	5
15	-1.80335	0.828042	0.586295	0.723786	1.19405	0.452343	0.717382	6
16	0.55397	0.828042	0.586295	0.723786	-0.836648	-2.2085	0.717382	5
17	0.55397	0.828042	-1.70392	-1.38024	1.19405	0.452343	0.717382	6
18	0.55397	-1.20646	0.586295	0.723786	-0.836648	0.452343	0.717382	3
19	0.55397	-1.20646	-1.70392	0.723786	1.19405	-2.2085	0.717382	2
20	-1.80335	0.828042	0.586295	0.723786	-0.836648	-2.2085	-1.39256	4
21	0.55397	0.828042	-1.70392	0.723786	1.19405	0.452343	-1.39256	6
22	0.55397	0.828042	-1.70392	-1.38024	1.19405	0.452343	0.717382	0
23	0.55397	-1.20646	0.586295	0.723786	-0.836648	0.452343	0.717382	3
24	0.55397	0.828042	-1.70392	0.723786	1.19405	0.452343	0.717382	6
25	0.55397	0.828042	-1.70392	0.723786	-0.836648	0.452343	0.717382	5
26	-1.80335	0.828042	-1.70392	-1.38024	-0.836648	0.452343	-1.39256	4
27	0.55397	0.828042	0.586295	0.723786	-0.836648	0.452343	0.717382	9
28	-1.80335	0.828042	0.586295	0.723786	-0.836648	0.452343	-1.39256	4
29	0.55397	-1.20646	0.586295	0.723786	1.19405	-2.2085	0.717382	2
30	0.55397	-1.20646	0.586295	0.723786	-0.836648	0.452343	0.717382	3
31	0.55397	0.828042	-1.70392	-1.38024	1.19405	0.452343	0.717382	8
32	0.55397	-1.20646	0.586295	0.723786	-0.836648	0.452343	0.717382	3
33	0.55397	0.828042	-1.70392	-1.38024	1.19405	0.452343	0.717382	6
34	-1.80335	-1.20646	0.586295	-1.38024	-0.836648	0.452343	0.717382	1
35	-1.80335	-1.20646	0.586295	-1.38024	-0.836648	0.452343	-1.39256	1
36	0.55397	-1.20646	0.586295	-1.38024	-0.836648	0.452343	-1.39256	7
37	0.55397	0.828042	0.586295	-1.38024	1.19405	0.452343	0.717382	0
38	0.55397	-1.20646	0.586295	-1.38024	-0.836648	0.452343	-1.39256	7
