	f1	f2	f3	f4	clase
1	-1.19896	-0.978945	-0.978945	-0.978945	2
2	-1.19896	-0.978945	-0.978945	0.978945	1
3	-1.19896	-0.978945	0.978945	-0.978945	2
4	-1.19896	-0.978945	0.978945	0.978945	0
5	-1.19896	0.978945	-0.978945	-0.978945	2
6	-1.19896	0.978945	-0.978945	0.978945	1
7	-1.19896	0.978945	0.978945	-0.978945	2
8	-1.19896	0.978945	0.978945	0.978945	0
9	0	-0.978945	-0.978945	-0.978945	2
10	0	-0.978945	-0.978945	0.978945	1
11	0	-0.978945	0.978945	-0.978945	2
12	0	-0.978945	0.978945	0.978945	0
13	0	0.978945	-0.978945	-0.978945	2
14	0	0.978945	-0.978945	0.978945	1
15	0	0.978945	0.978945	-0.978945	2
16	0	0.978945	0.978945	0.978945	2
17	1.19896	-0.978945	-0.978945	-0.978945	2
18	1.19896	-0.978945	-0.978945	0.978945	2
19	1.19896	-0.978945	0.978945	-0.978945	2
20	1.19896	-0.978945	0.978945	0.978945	0
21	1.19896	0.978945	-0.978945	-0.978945	2
22	1.19896	0.978945	-0.978945	0.978945	1
23	1.19896	0.978945	0.978945	-0.978945	2
24	1.19896	0.978945	0.978945	0.978945	2
