	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	clase
1	1.5373	0.894114	-0.460081	-0.222058	-0.565028	-1.01018	-0.26828	0.648242	-0.193939	-0.565333	-0.701447	-1.11276	1.56982	1.28204	-1.71282	-1.39526	0.512998	-0.315666	2
2	0.314072	0.894114	-0.460081	-0.222058	1.75787	0.983238	-0.26828	0.648242	-0.193939	0.629943	1.05811	-1.11276	0.257203	-0.560115	-0.426033	0.711868	0.512998	-0.315666	1
3	0.314072	0.894114	2.15884	4.47289	1.75787	0.983238	3.70226	0.648242	-0.193939	1.82522	1.05811	0.0389078	1.56982	1.28204	0.86076	0.711868	0.512998	2.30897	2
4	0.314072	-1.11087	-0.460081	-0.222058	-0.565028	0.983238	-0.26828	0.648242	-0.193939	0.629943	1.05811	1.19058	1.56982	-0.560115	0.86076	-1.39526	0.512998	1.78405	2
5	0.314072	-1.11087	-0.460081	-0.222058	-0.565028	-1.01018	-0.26828	-1.53221	-0.193939	-0.565333	-0.701447	1.19058	0.257203	-0.0995761	-1.71282	0.711868	0.512998	-0.840594	1
6	-0.909156	-1.11087	-0.460081	-0.222058	-0.565028	-1.01018	-0.26828	0.648242	-0.193939	0.629943	1.05811	0.0389078	0.257203	0.360963	0.86076	-1.39526	0.512998	0.73419	1
7	-0.909156	0.894114	-0.460081	-0.222058	-0.565028	-1.01018	-0.26828	0.648242	-0.193939	-0.565333	1.05811	-1.11276	0.257203	1.28204	-0.426033	-1.39526	-1.93615	-0.840594	1
8	0.314072	0.894114	-0.460081	-0.222058	-0.565028	0.983238	-0.26828	0.648242	-0.193939	-0.565333	-0.701447	-1.11276	-1.05542	-1.94173	0.86076	-1.39526	-1.93615	-0.840594	1
9	-0.909156	0.894114	-0.460081	-0.222058	-0.565028	-1.01018	-0.26828	0.648242	-0.193939	0.629943	-0.701447	-1.11276	-1.05542	1.28204	0.86076	-1.39526	0.512998	1.25912	2
10	-0.909156	-1.11087	-0.460081	-0.222058	-0.565028	-1.01018	-0.26828	0.648242	-0.193939	-0.565333	-0.701447	0.0389078	0.257203	-0.0995761	0.86076	-1.39526	-1.93615	-0.315666	2
11	-0.909156	0.894114	2.15884	-0.222058	1.75787	0.983238	-0.26828	0.648242	-0.193939	0.629943	-0.701447	1.19058	0.257203	-0.0995761	-1.71282	0.711868	0.512998	0.209262	1
12	1.5373	0.894114	-0.460081	-0.222058	-0.565028	0.983238	-0.26828	-1.53221	-0.193939	0.629943	1.05811	1.19058	0.257203	1.28204	0.86076	0.711868	0.512998	-0.315666	1
13	1.5373	0.894114	-0.460081	-0.222058	-0.565028	-1.01018	-0.26828	0.648242	-0.193939	-0.565333	-0.701447	-1.11276	-1.05542	-1.02065	-0.426033	-1.39526	-1.93615	-0.840594	1
14	1.5373	-1.11087	-0.460081	-0.222058	-0.565028	0.983238	-0.26828	0.648242	-0.193939	1.82522	-0.701447	-1.11276	1.56982	0.821502	0.86076	0.711868	0.512998	-0.315666	2
15	0.314072	0.894114	2.15884	4.47289	1.75787	0.983238	3.70226	0.648242	6.1845	-1.76061	-2.46101	-1.11276	-1.05542	1.28204	-1.71282	0.711868	0.512998	0.73419	3
16	-0.909156	0.894114	-0.460081	-0.222058	-0.565028	0.983238	-0.26828	0.648242	-0.193939	-0.565333	1.05811	0.0389078	0.257203	-0.0995761	0.86076	0.711868	0.512998	-0.315666	1
17	0.314072	0.894114	-0.460081	-0.222058	-0.565028	0.983238	-0.26828	0.648242	-0.193939	-0.565333	1.05811	0.0389078	0.257203	-1.48119	-0.426033	0.711868	0.512998	0.209262	1
18	-0.909156	0.894114	-0.460081	-0.222058	-0.565028	0.983238	-0.26828	-1.53221	-0.193939	-0.565333	-0.701447	-1.11276	0.257203	-0.0995761	-0.426033	-1.39526	0.512998	-0.315666	1
19	0.314072	-1.11087	-0.460081	-0.222058	-0.565028	-1.01018	-0.26828	0.648242	-0.193939	-0.565333	-0.701447	-1.11276	0.257203	-1.48119	-1.71282	0.711868	0.512998	-0.840594	1
20	-0.909156	0.894114	-0.460081	-0.222058	-0.565028	-1.01018	-0.26828	0.648242	-0.193939	0.629943	1.05811	0.0389078	0.257203	-1.48119	-0.426033	0.711868	-1.93615	-0.840594	1
