	f1	f2	f3	f4	f5	f6	clase
1	0.490585	0.428121	0.821904	0.418876	0.237339	2.14334	1
2	0.490585	0.428121	0.821904	0.418876	1.02604	0.779683	1
3	0.490585	0.428121	0.821904	0.418876	1.02604	2.14334	1
4	0.490585	0.428121	0.821904	0.418876	1.81473	0.779683	0
5	0.490585	0.428121	0.821904	0.418876	2.60343	0.779683	0
6	0.490585	0.428121	0.821904	1.40232	0.237339	0.779683	1
7	0.490585	0.428121	0.821904	1.40232	1.02604	2.14334	1
8	0.490585	0.428121	0.821904	1.40232	2.60343	2.14334	0
9	0.490585	0.428121	2.22531	0.418876	1.02604	2.14334	1
10	0.490585	0.428121	2.22531	0.418876	2.60343	2.14334	0
11	0.490585	0.428121	2.22531	1.40232	1.02604	2.14334	1
12	0.490585	0.428121	2.22531	1.40232	2.60343	0.779683	0
13	0.490585	0.428121	2.22531	1.40232	2.60343	2.14334	0
14	0.490585	0.428121	2.22531	2.38577	0.237339	0.779683	1
15	0.490585	0.428121	2.22531	2.38577	0.237339	2.14334	1
16	0.490585	0.428121	2.22531	2.38577	1.81473	0.779683	1
17	0.490585	0.428121	2.22531	2.38577	1.81473	2.14334	1
18	0.490585	1.42247	0.821904	0.418876	1.81473	0.779683	1
19	0.490585	1.42247	0.821904	1.40232	1.02604	0.779683	1
20	0.490585	1.42247	0.821904	1.40232	1.02604	2.14334	1
21	0.490585	1.42247	0.821904	1.40232	1.81473	0.779683	0
22	0.490585	1.42247	0.821904	2.38577	0.237339	0.779683	1
23	0.490585	1.42247	0.821904	2.38577	0.237339	2.14334	1
24	0.490585	1.42247	0.821904	2.38577	1.02604	0.779683	1
25	0.490585	1.42247	0.821904	2.38577	1.02604	2.14334	1
26	0.490585	1.42247	0.821904	2.38577	1.81473	2.14334	1
27	0.490585	1.42247	0.821904	2.38577	2.60343	0.779683	0
28	0.490585	1.42247	2.22531	0.418876	1.81473	0.779683	1
29	0.490585	1.42247	2.22531	0.418876	2.60343	2.14334	0
30	0.490585	1.42247	2.22531	1.40232	0.237339	0.779683	1
31	0.490585	1.42247	2.22531	1.40232	1.02604	0.779683	1
32	0.490585	1.42247	2.22531	1.40232	1.02604	2.14334	1
33	0.490585	1.42247	2.22531	2.38577	0.237339	0.779683	1
34	0.490585	1.42247	2.22531	2.38577	1.02604	0.779683	1
35	0.490585	1.42247	2.22531	2.38577	1.02604	2.14334	1
36	0.490585	2.41681	0.821904	0.418876	1.02604	0.779683	0
37	0.490585	2.41681	0.821904	0.418876	2.60343	0.779683	0
38	0.490585	2.41681	0.821904	1.40232	1.81473	2.14334	0
39	0.490585	2.41681	0.821904	1.40232	2.60343	0.779683	0
40	0.490585	2.41681	0.821904	2.38577	0.237339	0.779683	0
41	0.490585	2.41681	0.821904	2.38577	1.81473	0.779683	0
42	0.490585	2.41681	2.22531	0.418876	0.237339	0.779683	0
43	0.490585	2.41681	2.22531	0.418876	0.237339	2.14334	0
44	0.490585	2.41681	2.22531	0.418876	1.02604	0.779683	0
45	0.490585	2.41681	2.22531	0.418876	2.60343	2.14334	0
46	0.490585	2.41681	2.22531	1.40232	1.81473	2.14334	0
47	0.490585	2.41681	2.22531	1.40232	2.60343	2.14334	0
48	0.490585	2.41681	2.22531	2.38577	2.60343	0.779683	0
49	1.53976	0.428121	0.821904	0.418876	0.237339	0.779683	1
50	1.53976	0.428121	0.821904	0.418876	0.237339	2.14334	1
51	1.53976	0.428121	0.821904	0.418876	2.60343	0.779683	0
52	1.53976	0.428121	0.821904	0.418876	2.60343	2.14334	0
53	1.53976	0.428121	0.821904	1.40232	0.237339	0.779683	1
54	1.53976	0.428121	0.821904	1.40232	0.237339	2.14334	1
55	1.53976	0.428121	0.821904	2.38577	1.02604	2.14334	1
56	1.53976	0.428121	0.821904	2.38577	1.81473	2.14334	1
57	1.53976	0.428121	0.821904	2.38577	2.60343	0.779683	0
58	1.53976	0.428121	2.22531	0.418876	1.02604	2.14334	1
59	1.53976	0.428121	2.22531	1.40232	2.60343	0.779683	0
60	1.53976	0.428121	2.22531	2.38577	0.237339	2.14334	1
61	1.53976	1.42247	0.821904	0.418876	1.81473	2.14334	1
62	1.53976	1.42247	0.821904	0.418876	2.60343	2.14334	0
63	1.53976	1.42247	0.821904	1.40232	0.237339	2.14334	1
64	1.53976	1.42247	0.821904	1.40232	1.02604	0.779683	0
65	1.53976	1.42247	0.821904	2.38577	0.237339	0.779683	1
66	1.53976	1.42247	0.821904	2.38577	1.02604	2.14334	1
67	1.53976	1.42247	0.821904	2.38577	1.81473	0.779683	0
68	1.53976	1.42247	0.821904	2.38577	1.81473	2.14334	0
69	1.53976	1.42247	0.821904	2.38577	2.60343	2.14334	0
70	1.53976	1.42247	2.22531	0.418876	1.02604	2.14334	1
71	1.53976	1.42247	2.22531	1.40232	0.237339	2.14334	1
72	1.53976	1.42247	2.22531	1.40232	1.81473	0.779683	1
73	1.53976	1.42247	2.22531	1.40232	1.81473	2.14334	1
74	1.53976	1.42247	2.22531	2.38577	2.60343	0.779683	0
75	1.53976	2.41681	0.821904	0.418876	1.81473	0.779683	1
76	1.53976	2.41681	0.821904	1.40232	0.237339	0.779683	0
77	1.53976	2.41681	0.821904	1.40232	1.02604	0.779683	0
78	1.53976	2.41681	0.821904	1.40232	1.02604	2.14334	0
79	1.53976	2.41681	0.821904	1.40232	1.81473	2.14334	0
80	1.53976	2.41681	0.821904	2.38577	1.81473	0.779683	0
81	1.53976	2.41681	2.22531	0.418876	0.237339	2.14334	0
82	1.53976	2.41681	2.22531	0.418876	1.02604	2.14334	0
83	1.53976	2.41681	2.22531	0.418876	2.60343	0.779683	0
84	1.53976	2.41681	2.22531	1.40232	1.81473	0.779683	0
85	1.53976	2.41681	2.22531	1.40232	2.60343	2.14334	0
86	1.53976	2.41681	2.22531	2.38577	0.237339	0.779683	0
87	1.53976	2.41681	2.22531	2.38577	1.02604	0.779683	0
88	1.53976	2.41681	2.22531	2.38577	2.60343	2.14334	0
89	2.58893	0.428121	0.821904	0.418876	0.237339	0.779683	1
90	2.58893	0.428121	0.821904	0.418876	1.02604	0.779683	1
91	2.58893	0.428121	0.821904	0.418876	1.81473	0.779683	1
92	2.58893	0.428121	0.821904	1.40232	2.60343	2.14334	0
93	2.58893	0.428121	0.821904	2.38577	0.237339	2.14334	1
94	2.58893	0.428121	0.821904	2.38577	2.60343	2.14334	0
95	2.58893	0.428121	2.22531	0.418876	1.02604	0.779683	1
96	2.58893	0.428121	2.22531	1.40232	1.81473	2.14334	1
97	2.58893	0.428121	2.22531	1.40232	2.60343	2.14334	0
98	2.58893	0.428121	2.22531	2.38577	0.237339	0.779683	1
99	2.58893	1.42247	0.821904	0.418876	1.02604	2.14334	1
