	f1	f2	f3	f4	f5	f6	f7	clase
1	0.503814	-1.62776	-1.7728	0.660918	-1.52732	-0.201322	-1.45463	0
2	-0.831293	-0.0399671	-1.7728	0.660918	0.366199	-0.201322	-1.45463	0
3	-0.831293	0.970444	-1.7728	-2.59756	-1.52732	-0.912659	-1.45463	0
4	-0.831293	0.248722	-1.7728	0.660918	0.366199	-0.201322	-1.45463	0
5	0.503814	-0.184311	-1.7728	0.660918	-1.52732	-0.201322	-1.45463	0
6	-0.831293	0.104377	-1.7728	0.660918	-0.580559	-0.201322	-1.45463	0
7	-0.831293	0.17655	-1.7728	-2.59756	0.366199	-0.912659	-1.45463	1
8	0.503814	-1.62776	-1.7728	0.660918	0.366199	-0.201322	-1.45463	1
9	-0.831293	0.970444	-1.7728	-2.59756	-1.52732	-0.912659	-1.45463	0
10	-0.831293	0.248722	-1.7728	0.660918	0.366199	-0.201322	-1.45463	0
11	-0.831293	0.970444	-1.7728	-0.968322	-1.52732	-0.201322	-1.45463	0
12	0.503814	-1.41124	-1.7728	0.660918	0.366199	-0.201322	-1.45463	0
13	-0.831293	0.537411	-1.7728	0.660918	-1.52732	-0.201322	-1.45463	0
14	-0.831293	0.17655	-1.7728	-0.968322	-1.52732	-0.201322	-1.45463	0
15	-0.831293	-0.0399671	-1.7728	0.660918	0.366199	-0.201322	-1.45463	1
16	0.503814	-1.55558	-1.7728	-0.968322	0.366199	-0.201322	-1.45463	1
17	-0.831293	0.17655	-1.7728	-0.968322	0.366199	-0.201322	-1.45463	1
18	-0.831293	0.248722	-1.7728	0.660918	0.366199	-0.201322	-1.45463	0
19	-0.831293	0.465238	-0.728816	0.660918	0.366199	-0.201322	-1.45463	0
20	0.503814	-0.689517	-0.728816	-0.968322	-1.52732	-0.201322	-3.48345	1
21	0.503814	-1.7721	-0.728816	0.660918	0.366199	-1.624	-3.48345	2
22	-0.831293	-0.112139	-0.728816	0.660918	0.366199	1.22135	0.574195	0
23	1.83892	1.40348	-0.728816	-0.968322	-1.52732	-0.201322	0.574195	2
24	0.503814	-1.12255	-0.728816	-0.968322	-1.52732	-0.201322	0.574195	2
25	-0.831293	0.970444	-0.728816	-0.968322	-1.52732	-0.201322	0.574195	2
26	0.503814	-0.978206	-0.728816	-0.968322	0.366199	-0.201322	0.574195	2
27	-0.831293	0.393066	-0.728816	-0.968322	-1.52732	-0.201322	0.574195	2
28	-0.831293	0.0322051	-0.728816	0.660918	0.366199	-0.201322	0.574195	2
29	0.503814	-1.62776	-0.728816	0.660918	0.366199	-0.201322	0.574195	2
30	-0.831293	0.320894	-0.728816	0.660918	-1.52732	-0.201322	0.574195	1
31	0.503814	-1.26689	-0.728816	-0.968322	0.366199	-0.201322	0.574195	2
32	1.83892	1.11479	-0.728816	-0.968322	1.31296	-0.201322	0.574195	2
33	0.503814	-0.473	-0.728816	0.660918	0.366199	-1.624	0.574195	1
34	1.83892	1.40348	0.315164	0.660918	-1.52732	-0.201322	0.574195	1
35	-0.831293	0.104377	0.315164	0.660918	0.366199	-0.201322	0.574195	2
36	0.503814	-0.617345	0.315164	0.660918	-1.52732	-0.201322	0.574195	1
37	0.503814	-0.545173	0.315164	-0.968322	0.366199	-0.201322	0.574195	2
38	-0.831293	-0.0399671	0.315164	0.660918	-1.52732	-0.201322	0.574195	2
39	-0.831293	0.104377	0.315164	-2.59756	0.366199	-0.912659	-1.45463	0
40	0.503814	-0.256484	0.315164	0.660918	-1.52732	-0.201322	0.574195	2
41	0.503814	-1.05038	0.315164	0.660918	-1.52732	-0.201322	0.574195	1
42	0.503814	-1.19472	0.315164	0.660918	1.31296	-0.201322	0.574195	2
43	1.83892	1.61999	0.315164	0.660918	-1.52732	-0.201322	0.574195	2
44	0.503814	-1.33907	0.315164	0.660918	0.366199	-0.201322	0.574195	2
45	-0.831293	0.8261	0.315164	-0.968322	1.31296	-0.201322	0.574195	2
46	0.503814	-0.833861	0.315164	-0.968322	1.31296	-1.624	0.574195	2
47	0.503814	-0.761689	0.315164	-0.968322	1.31296	-0.201322	0.574195	2
48	-0.831293	0.537411	0.315164	0.660918	0.366199	-0.201322	0.574195	2
49	-0.831293	0.898272	0.315164	0.660918	1.31296	-0.201322	0.574195	2
50	0.503814	-0.906034	0.315164	-0.968322	-1.52732	-0.201322	0.574195	2
51	-0.831293	0.609583	0.315164	0.660918	0.366199	-0.201322	0.574195	2
52	0.503814	-0.689517	0.315164	-0.968322	0.366199	-0.201322	0.574195	2
53	-0.831293	0.681755	0.315164	-0.968322	1.31296	-0.201322	0.574195	2
54	0.503814	-1.41124	0.315164	-0.968322	0.366199	-0.201322	0.574195	2
55	0.503814	-0.328656	0.315164	-0.968322	0.366199	-1.624	0.574195	2
56	0.503814	-1.55558	0.315164	-0.968322	0.366199	-0.201322	0.574195	2
57	-0.831293	0.17655	0.315164	-0.968322	-0.580559	1.22135	0.574195	2
58	0.503814	-1.69993	0.315164	-0.968322	0.366199	-1.624	0.574195	2
59	-2.1664	-1.84427	0.315164	0.660918	0.366199	-1.624	0.574195	2
60	0.503814	-0.184311	0.315164	0.660918	-1.52732	-1.624	0.574195	2
61	-0.831293	0.753927	0.315164	0.660918	0.366199	-0.201322	0.574195	2
62	1.83892	1.69217	0.315164	-0.968322	0.366199	-0.201322	0.574195	2
63	1.83892	1.25913	0.315164	0.660918	0.366199	-0.201322	0.574195	2
64	-0.831293	0.970444	0.315164	-0.968322	-1.52732	-1.624	0.574195	2
65	0.503814	-1.12255	0.315164	-0.968322	1.31296	-1.624	0.574195	2
66	1.83892	1.11479	0.315164	-0.968322	1.31296	-0.201322	0.574195	2
67	-0.831293	-0.112139	0.315164	0.660918	0.366199	1.22135	0.574195	2
68	-0.831293	0.8261	0.315164	-0.968322	1.31296	-0.201322	-1.45463	2
69	-0.831293	0.393066	0.315164	-0.968322	1.31296	-0.201322	0.574195	2
70	-0.831293	0.320894	0.315164	-4.2268	-1.52732	-1.624	0.574195	2
71	-0.831293	0.248722	0.315164	0.660918	-0.580559	1.22135	0.574195	2
72	-0.831293	0.465238	0.315164	0.660918	1.31296	1.22135	0.574195	2
73	-0.831293	0.104377	0.315164	0.660918	-0.580559	1.22135	0.574195	2
74	-0.831293	0.0322051	0.315164	0.660918	-0.580559	1.22135	0.574195	2
75	1.83892	1.47565	0.315164	0.660918	0.366199	-0.201322	0.574195	2
76	-0.831293	0.898272	0.315164	0.660918	0.366199	-1.624	0.574195	2
77	0.503814	-1.48341	0.315164	0.660918	1.31296	1.22135	-1.45463	2
78	0.503814	-1.7721	0.315164	0.660918	0.366199	1.22135	0.574195	2
79	-0.831293	0.320894	0.315164	0.660918	1.31296	1.22135	0.574195	2
80	0.503814	-0.400828	0.315164	0.660918	1.31296	-0.201322	0.574195	2
81	-0.831293	-0.0399671	0.315164	0.660918	-0.580559	1.22135	0.574195	2
82	0.503814	-0.617345	0.315164	0.660918	1.31296	-0.201322	0.574195	2
83	1.83892	1.04262	0.315164	0.660918	0.366199	1.22135	0.574195	2
84	1.83892	1.18696	0.315164	0.660918	0.366199	1.22135	-1.45463	2
85	0.503814	-1.41124	0.315164	0.660918	0.366199	1.22135	0.574195	2
86	0.503814	-1.05038	0.315164	0.660918	0.366199	1.22135	-1.45463	2
87	-0.831293	0.609583	0.315164	0.660918	0.366199	1.22135	0.574195	2
88	-0.831293	1.00653	1.35914	0.660918	0.366199	1.22135	0.574195	2
89	-0.831293	1.02096	1.35914	-0.968322	-0.580559	-0.201322	0.574195	2
90	-0.831293	0.934358	1.35914	0.660918	0.366199	-0.201322	-1.45463	2
91	1.83892	1.61999	1.35914	0.660918	1.31296	-0.201322	0.574195	2
92	-2.1664	1.90868	1.35914	0.660918	-1.52732	-1.624	0.574195	2
93	-2.1664	1.83651	1.35914	-0.968322	-1.52732	-1.624	0.574195	2
