	f1	f2	f3	f4	f5	f6	f7	clase
1	0.52195	-1.63356	-1.75664	0.674728	-1.52136	-0.137463	-1.42413	0
2	-0.822072	-0.0412482	-1.75664	0.674728	0.366593	-0.137463	-1.42413	0
3	-0.822072	0.972039	-1.75664	-2.55769	-1.52136	-0.924055	-1.42413	0
4	-0.822072	0.248262	-1.75664	0.674728	0.366593	-0.137463	-1.42413	0
5	0.52195	-0.186004	-1.75664	0.674728	-1.52136	-0.137463	-1.42413	0
6	-0.822072	0.103507	-1.75664	0.674728	-0.577384	-0.137463	-1.42413	0
7	-0.822072	0.175885	-1.75664	-2.55769	0.366593	-0.924055	-1.42413	0
8	0.52195	-1.63356	-1.75664	0.674728	0.366593	-0.137463	-1.42413	0
9	-0.822072	0.972039	-1.75664	-2.55769	-1.52136	-0.924055	-1.42413	0
10	-0.822072	0.248262	-1.75664	0.674728	0.366593	-0.137463	-1.42413	0
11	-0.822072	0.972039	-1.75664	-0.941481	-1.52136	-0.137463	-1.42413	0
12	0.52195	-1.41642	-1.75664	0.674728	0.366593	-0.137463	-1.42413	0
13	-0.822072	0.537773	-1.75664	0.674728	-1.52136	-0.137463	-1.42413	0
14	-0.822072	0.175885	-1.75664	-0.941481	-1.52136	-0.137463	-1.42413	0
15	-0.822072	-0.0412482	-1.75664	0.674728	0.366593	-0.137463	-1.42413	1
16	0.52195	-1.56118	-1.75664	-0.941481	0.366593	-0.137463	-1.42413	0
17	-0.822072	0.175885	-1.75664	-0.941481	0.366593	-0.137463	-1.42413	0
18	-0.822072	0.248262	-1.75664	0.674728	0.366593	-0.137463	-1.42413	0
19	-0.822072	0.465395	-0.698548	0.674728	0.366593	-0.137463	-1.42413	0
20	0.52195	-0.692647	-0.698548	-0.941481	-1.52136	-0.137463	-3.43353	0
21	0.52195	-1.77831	-0.698548	0.674728	0.366593	-1.71065	-3.43353	2
22	-0.822072	-0.113626	-0.698548	0.674728	0.366593	1.43572	0.58526	0
23	1.86597	1.4063	-0.698548	-0.941481	-1.52136	-0.137463	0.58526	0
24	0.52195	-1.12691	-0.698548	-0.941481	-1.52136	-0.137463	0.58526	0
25	-0.822072	0.972039	-0.698548	-0.941481	-1.52136	-0.137463	0.58526	2
26	0.52195	-0.982158	-0.698548	-0.941481	0.366593	-0.137463	0.58526	0
27	-0.822072	0.393018	-0.698548	-0.941481	-1.52136	-0.137463	0.58526	2
28	-0.822072	0.0311294	-0.698548	0.674728	0.366593	-0.137463	0.58526	0
29	0.52195	-1.63356	-0.698548	0.674728	0.366593	-0.137463	0.58526	0
30	-0.822072	0.32064	-0.698548	0.674728	-1.52136	-0.137463	0.58526	2
31	0.52195	-1.27167	-0.698548	-0.941481	0.366593	-0.137463	0.58526	0
32	1.86597	1.11679	-0.698548	-0.941481	1.31057	-0.137463	0.58526	2
33	0.52195	-0.475514	-0.698548	0.674728	0.366593	-1.71065	0.58526	2
34	1.86597	1.4063	0.359547	0.674728	-1.52136	-0.137463	0.58526	2
35	-0.822072	0.103507	0.359547	0.674728	0.366593	-0.137463	0.58526	2
36	0.52195	-0.620269	0.359547	0.674728	-1.52136	-0.137463	0.58526	2
37	0.52195	-0.547892	0.359547	-0.941481	0.366593	-0.137463	0.58526	0
38	-0.822072	-0.0412482	0.359547	0.674728	-1.52136	-0.137463	0.58526	2
39	-0.822072	0.103507	0.359547	-2.55769	0.366593	-0.924055	-1.42413	0
40	0.52195	-0.258381	0.359547	0.674728	-1.52136	-0.137463	0.58526	2
41	0.52195	-1.05454	0.359547	0.674728	-1.52136	-0.137463	0.58526	2
42	0.52195	-1.19929	0.359547	0.674728	1.31057	-0.137463	0.58526	2
43	1.86597	1.62344	0.359547	0.674728	-1.52136	-0.137463	0.58526	2
44	0.52195	-1.34405	0.359547	0.674728	0.366593	-0.137463	0.58526	2
45	-0.822072	0.827283	0.359547	-0.941481	1.31057	-0.137463	0.58526	2
46	0.52195	-0.837402	0.359547	-0.941481	1.31057	-1.71065	0.58526	2
47	0.52195	-0.765025	0.359547	-0.941481	1.31057	-0.137463	0.58526	0
48	-0.822072	0.537773	0.359547	0.674728	0.366593	-0.137463	0.58526	2
49	-0.822072	0.899661	0.359547	0.674728	1.31057	-0.137463	0.58526	2
50	0.52195	-0.90978	0.359547	-0.941481	-1.52136	-0.137463	0.58526	2
51	-0.822072	0.610151	0.359547	0.674728	0.366593	-0.137463	0.58526	2
52	0.52195	-0.692647	0.359547	-0.941481	0.366593	-0.137463	0.58526	0
53	-0.822072	0.682528	0.359547	-0.941481	1.31057	-0.137463	0.58526	0
54	0.52195	-1.41642	0.359547	-0.941481	0.366593	-0.137463	0.58526	2
55	0.52195	-0.330759	0.359547	-0.941481	0.366593	-1.71065	0.58526	2
56	0.52195	-1.56118	0.359547	-0.941481	0.366593	-0.137463	0.58526	1
57	-0.822072	0.175885	0.359547	-0.941481	-0.577384	1.43572	0.58526	1
58	0.52195	-1.70593	0.359547	-0.941481	0.366593	-1.71065	0.58526	2
59	-2.16609	-1.85069	0.359547	0.674728	0.366593	-1.71065	0.58526	2
60	0.52195	-0.186004	0.359547	0.674728	-1.52136	-1.71065	0.58526	2
61	-0.822072	0.754906	0.359547	0.674728	0.366593	-0.137463	0.58526	2
62	1.86597	1.69582	0.359547	-0.941481	0.366593	-0.137463	0.58526	2
63	1.86597	1.26155	0.359547	0.674728	0.366593	-0.137463	0.58526	2
64	-0.822072	0.972039	0.359547	-0.941481	-1.52136	-1.71065	0.58526	2
65	0.52195	-1.12691	0.359547	-0.941481	1.31057	-1.71065	0.58526	2
66	1.86597	1.11679	0.359547	-0.941481	1.31057	-0.137463	0.58526	2
67	-0.822072	-0.113626	0.359547	0.674728	0.366593	1.43572	0.58526	2
68	-0.822072	0.827283	0.359547	-0.941481	1.31057	-0.137463	-1.42413	2
69	-0.822072	0.393018	0.359547	-0.941481	1.31057	-0.137463	0.58526	2
70	-0.822072	0.32064	0.359547	-4.1739	-1.52136	-1.71065	0.58526	2
71	-0.822072	0.248262	0.359547	0.674728	-0.577384	1.43572	0.58526	2
72	-0.822072	0.465395	0.359547	0.674728	1.31057	1.43572	0.58526	0
73	-0.822072	0.103507	0.359547	0.674728	-0.577384	1.43572	0.58526	1
74	-0.822072	0.0311294	0.359547	0.674728	-0.577384	1.43572	0.58526	1
75	1.86597	1.47868	0.359547	0.674728	0.366593	-0.137463	0.58526	1
76	-0.822072	0.899661	0.359547	0.674728	0.366593	-1.71065	0.58526	0
77	0.52195	-1.4888	0.359547	0.674728	1.31057	1.43572	-1.42413	1
78	0.52195	-1.77831	0.359547	0.674728	0.366593	1.43572	0.58526	2
79	-0.822072	0.32064	0.359547	0.674728	1.31057	1.43572	0.58526	2
80	0.52195	-0.403136	0.359547	0.674728	1.31057	-0.137463	0.58526	1
81	-0.822072	-0.0412482	0.359547	0.674728	-0.577384	1.43572	0.58526	1
82	0.52195	-0.620269	0.359547	0.674728	1.31057	-0.137463	0.58526	0
83	1.86597	1.04442	0.359547	0.674728	0.366593	1.43572	0.58526	2
84	1.86597	1.18917	0.359547	0.674728	0.366593	1.43572	-1.42413	2
85	0.52195	-1.41642	0.359547	0.674728	0.366593	1.43572	0.58526	2
86	0.52195	-1.05454	0.359547	0.674728	0.366593	1.43572	-1.42413	1
87	-0.822072	0.610151	0.359547	0.674728	0.366593	1.43572	0.58526	2
88	-0.822072	1.00823	1.41764	0.674728	0.366593	1.43572	0.58526	1
89	-0.822072	1.0227	1.41764	-0.941481	-0.577384	-0.137463	0.58526	1
90	-0.822072	0.93585	1.41764	0.674728	0.366593	-0.137463	-1.42413	1
91	1.86597	1.62344	1.41764	0.674728	1.31057	-0.137463	0.58526	2
92	-2.16609	1.91295	1.41764	0.674728	-1.52136	-1.71065	0.58526	0
93	-2.16609	1.84057	1.41764	-0.941481	-1.52136	-1.71065	0.58526	2
94	0.52195	-0.186004	1.41764	0.674728	0.366593	-0.137463	0.58526	1
95	0.52195	-0.258381	1.41764	0.674728	-0.577384	1.43572	0.58526	2
96	0.52195	-0.837402	1.41764	0.674728	1.31057	1.43572	0.58526	2
97	0.52195	-0.475514	1.41764	0.674728	0.366593	1.43572	0.58526	2
98	-0.822072	0.827283	1.41764	0.674728	1.31057	1.43572	-1.42413	2
99	1.86597	1.18917	1.41764	0.674728	-0.577384	-1.71065	0.58526	2
100	1.86597	1.55106	1.41764	0.674728	0.366593	-0.137463	0.58526	2
101	0.52195	-1.77831	1.41764	0.674728	0.366593	3.00891	0.58526	2
102	-0.822072	0.537773	1.41764	0.674728	-0.577384	1.43572	0.58526	1
103	0.52195	-1.19929	1.41764	0.674728	1.31057	1.43572	0.58526	2
