	f1	f2	f3	f4	f5	f6	f7	clase
1	0.566922	-1.64616	-1.72261	0.717636	-1.48229	-0.0568857	-1.33737	0
2	-0.805626	-0.0285323	-1.72261	0.717636	0.385803	-0.0568857	-1.33737	0
3	-0.805626	1.00087	-1.72261	-2.42629	-1.48229	-0.929132	-1.33737	0
4	-0.805626	0.265582	-1.72261	0.717636	0.385803	-0.0568857	-1.33737	0
5	0.566922	-0.175589	-1.72261	0.717636	-1.48229	-0.0568857	-1.33737	0
6	-0.805626	0.118525	-1.72261	0.717636	-0.548246	-0.0568857	-1.33737	1
7	-0.805626	0.192053	-1.72261	-2.42629	0.385803	-0.929132	-1.33737	0
8	0.566922	-1.64616	-1.72261	0.717636	0.385803	-0.0568857	-1.33737	0
9	-0.805626	1.00087	-1.72261	-2.42629	-1.48229	-0.929132	-1.33737	0
10	-0.805626	0.265582	-1.72261	0.717636	0.385803	-0.0568857	-1.33737	1
11	-0.805626	1.00087	-1.72261	-0.854329	-1.48229	-0.0568857	-1.33737	0
12	0.566922	-1.42558	-1.72261	0.717636	0.385803	-0.0568857	-1.33737	1
13	-0.805626	0.559696	-1.72261	0.717636	-1.48229	-0.0568857	-1.33737	0
14	-0.805626	0.192053	-1.72261	-0.854329	-1.48229	-0.0568857	-1.33737	0
15	-0.805626	-0.0285323	-1.72261	0.717636	0.385803	-0.0568857	-1.33737	1
16	0.566922	-1.57263	-1.72261	-0.854329	0.385803	-0.0568857	-1.33737	1
17	-0.805626	0.192053	-1.72261	-0.854329	0.385803	-0.0568857	-1.33737	0
18	-0.805626	0.265582	-1.72261	0.717636	0.385803	-0.0568857	-1.33737	1
19	-0.805626	0.486168	-0.574204	0.717636	0.385803	-0.0568857	-1.33737	1
20	0.566922	-0.69029	-0.574204	-0.854329	-1.48229	-0.0568857	-3.29034	0
21	0.566922	-1.79322	-0.574204	0.717636	0.385803	-1.80138	-3.29034	2
22	-0.805626	-0.102061	-0.574204	0.717636	0.385803	1.68761	0.615613	0
23	1.93947	1.44204	-0.574204	-0.854329	-1.48229	-0.0568857	0.615613	0
24	0.566922	-1.13146	-0.574204	-0.854329	-1.48229	-0.0568857	0.615613	0
25	-0.805626	1.00087	-0.574204	-0.854329	-1.48229	-0.0568857	0.615613	0
26	0.566922	-0.984404	-0.574204	-0.854329	0.385803	-0.0568857	0.615613	1
27	-0.805626	0.412639	-0.574204	-0.854329	-1.48229	-0.0568857	0.615613	1
28	-0.805626	0.0449963	-0.574204	0.717636	0.385803	-0.0568857	0.615613	1
29	0.566922	-1.64616	-0.574204	0.717636	0.385803	-0.0568857	0.615613	1
30	-0.805626	0.339111	-0.574204	0.717636	-1.48229	-0.0568857	0.615613	1
31	0.566922	-1.27852	-0.574204	-0.854329	0.385803	-0.0568857	0.615613	1
32	1.93947	1.14793	-0.574204	-0.854329	1.31985	-0.0568857	0.615613	2
33	0.566922	-0.469704	-0.574204	0.717636	0.385803	-1.80138	0.615613	1
34	1.93947	1.44204	0.574204	0.717636	-1.48229	-0.0568857	0.615613	0
35	-0.805626	0.118525	0.574204	0.717636	0.385803	-0.0568857	0.615613	1
36	0.566922	-0.616761	0.574204	0.717636	-1.48229	-0.0568857	0.615613	1
37	0.566922	-0.543232	0.574204	-0.854329	0.385803	-0.0568857	0.615613	1
38	-0.805626	-0.0285323	0.574204	0.717636	-1.48229	-0.0568857	0.615613	1
39	-0.805626	0.118525	0.574204	-2.42629	0.385803	-0.929132	-1.33737	0
40	0.566922	-0.249118	0.574204	0.717636	-1.48229	-0.0568857	0.615613	1
41	0.566922	-1.05793	0.574204	0.717636	-1.48229	-0.0568857	0.615613	1
42	0.566922	-1.20499	0.574204	0.717636	1.31985	-0.0568857	0.615613	2
43	1.93947	1.66263	0.574204	0.717636	-1.48229	-0.0568857	0.615613	2
44	0.566922	-1.35205	0.574204	0.717636	0.385803	-0.0568857	0.615613	2
45	-0.805626	0.853811	0.574204	-0.854329	1.31985	-0.0568857	0.615613	2
46	0.566922	-0.837347	0.574204	-0.854329	1.31985	-1.80138	0.615613	0
47	0.566922	-0.763818	0.574204	-0.854329	1.31985	-0.0568857	0.615613	1
48	-0.805626	0.559696	0.574204	0.717636	0.385803	-0.0568857	0.615613	1
49	-0.805626	0.927339	0.574204	0.717636	1.31985	-0.0568857	0.615613	1
50	0.566922	-0.910875	0.574204	-0.854329	-1.48229	-0.0568857	0.615613	2
51	-0.805626	0.633225	0.574204	0.717636	0.385803	-0.0568857	0.615613	1
