	f1	f2	f3	f4	f5	f6	f7	clase
1	0.525186	-1.64901	-1.75169	0.679528	-1.51403	-0.124053	-1.41382	0
2	-0.814039	-0.0531251	-1.75169	0.679528	0.380829	-0.124053	-1.41382	0
3	-0.814039	0.962439	-1.75169	-2.54428	-1.51403	-0.914891	-1.41382	0
4	-0.814039	0.237036	-1.75169	0.679528	0.380829	-0.124053	-1.41382	0
5	0.525186	-0.198206	-1.75169	0.679528	-1.51403	-0.124053	-1.41382	0
6	-0.814039	0.0919555	-1.75169	0.679528	-0.5666	-0.124053	-1.41382	0
7	-0.814039	0.164496	-1.75169	-2.54428	0.380829	-0.914891	-1.41382	0
8	0.525186	-1.64901	-1.75169	0.679528	0.380829	-0.124053	-1.41382	0
9	-0.814039	0.962439	-1.75169	-2.54428	-1.51403	-0.914891	-1.41382	1
10	-0.814039	0.237036	-1.75169	0.679528	0.380829	-0.124053	-1.41382	0
11	-0.814039	0.962439	-1.75169	-0.932376	-1.51403	-0.124053	-1.41382	1
12	0.525186	-1.43139	-1.75169	0.679528	0.380829	-0.124053	-1.41382	0
13	-0.814039	0.527197	-1.75169	0.679528	-1.51403	-0.124053	-1.41382	0
14	-0.814039	0.164496	-1.75169	-0.932376	-1.51403	-0.124053	-1.41382	0
15	-0.814039	-0.0531251	-1.75169	0.679528	0.380829	-0.124053	-1.41382	0
16	0.525186	-1.57647	-1.75169	-0.932376	0.380829	-0.124053	-1.41382	0
17	-0.814039	0.164496	-1.75169	-0.932376	0.380829	-0.124053	-1.41382	0
18	-0.814039	0.237036	-1.75169	0.679528	0.380829	-0.124053	-1.41382	0
19	-0.814039	0.454657	-0.688166	0.679528	0.380829	-0.124053	-1.41382	0
20	0.525186	-0.705988	-0.688166	-0.932376	-1.51403	-0.124053	-3.41674	0
21	0.525186	-1.79409	-0.688166	0.679528	0.380829	-1.70573	-3.41674	0
22	-0.814039	-0.125665	-0.688166	0.679528	0.380829	1.45762	0.589094	0
23	1.86441	1.39768	-0.688166	-0.932376	-1.51403	-0.124053	0.589094	0
24	0.525186	-1.14123	-0.688166	-0.932376	-1.51403	-0.124053	0.589094	0
25	-0.814039	0.962439	-0.688166	-0.932376	-1.51403	-0.124053	0.589094	0
26	0.525186	-0.996149	-0.688166	-0.932376	0.380829	-0.124053	0.589094	0
27	-0.814039	0.382117	-0.688166	-0.932376	-1.51403	-0.124053	0.589094	0
28	-0.814039	0.0194152	-0.688166	0.679528	0.380829	-0.124053	0.589094	0
29	0.525186	-1.64901	-0.688166	0.679528	0.380829	-0.124053	0.589094	0
30	-0.814039	0.309576	-0.688166	0.679528	-1.51403	-0.124053	0.589094	0
31	0.525186	-1.28631	-0.688166	-0.932376	0.380829	-0.124053	0.589094	0
32	1.86441	1.10752	-0.688166	-0.932376	1.32826	-0.124053	0.589094	0
33	0.525186	-0.488367	-0.688166	0.679528	0.380829	-1.70573	0.589094	0
34	1.86441	1.39768	0.375363	0.679528	-1.51403	-0.124053	0.589094	0
35	-0.814039	0.0919555	0.375363	0.679528	0.380829	-0.124053	0.589094	0
36	0.525186	-0.633447	0.375363	0.679528	-1.51403	-0.124053	0.589094	0
37	0.525186	-0.560907	0.375363	-0.932376	0.380829	-0.124053	0.589094	0
38	-0.814039	-0.0531251	0.375363	0.679528	-1.51403	-0.124053	0.589094	0
39	-0.814039	0.0919555	0.375363	-2.54428	0.380829	-0.914891	-1.41382	0
40	0.525186	-0.270746	0.375363	0.679528	-1.51403	-0.124053	0.589094	0
41	0.525186	-1.06869	0.375363	0.679528	-1.51403	-0.124053	0.589094	0
42	0.525186	-1.21377	0.375363	0.679528	1.32826	-0.124053	0.589094	0
43	1.86441	1.6153	0.375363	0.679528	-1.51403	-0.124053	0.589094	0
44	0.525186	-1.35885	0.375363	0.679528	0.380829	-0.124053	0.589094	0
45	-0.814039	0.817358	0.375363	-0.932376	1.32826	-0.124053	0.589094	1
46	0.525186	-0.851068	0.375363	-0.932376	1.32826	-1.70573	0.589094	0
47	0.525186	-0.778528	0.375363	-0.932376	1.32826	-0.124053	0.589094	0
48	-0.814039	0.527197	0.375363	0.679528	0.380829	-0.124053	0.589094	0
49	-0.814039	0.889899	0.375363	0.679528	1.32826	-0.124053	0.589094	0
50	0.525186	-0.923609	0.375363	-0.932376	-1.51403	-0.124053	0.589094	0
51	-0.814039	0.599737	0.375363	0.679528	0.380829	-0.124053	0.589094	0
52	0.525186	-0.705988	0.375363	-0.932376	0.380829	-0.124053	0.589094	0
53	-0.814039	0.672278	0.375363	-0.932376	1.32826	-0.124053	0.589094	0
54	0.525186	-1.43139	0.375363	-0.932376	0.380829	-0.124053	0.589094	0
55	0.525186	-0.343286	0.375363	-0.932376	0.380829	-1.70573	0.589094	0
56	0.525186	-1.57647	0.375363	-0.932376	0.380829	-0.124053	0.589094	0
57	-0.814039	0.164496	0.375363	-0.932376	-0.5666	1.45762	0.589094	0
58	0.525186	-1.72155	0.375363	-0.932376	0.380829	-1.70573	0.589094	0
59	-2.15326	-1.86663	0.375363	0.679528	0.380829	-1.70573	0.589094	0
60	0.525186	-0.198206	0.375363	0.679528	-1.51403	-1.70573	0.589094	0
61	-0.814039	0.744818	0.375363	0.679528	0.380829	-0.124053	0.589094	0
62	1.86441	1.68784	0.375363	-0.932376	0.380829	-0.124053	0.589094	0
63	1.86441	1.2526	0.375363	0.679528	0.380829	-0.124053	0.589094	0
64	-0.814039	0.962439	0.375363	-0.932376	-1.51403	-1.70573	0.589094	0
65	0.525186	-1.14123	0.375363	-0.932376	1.32826	-1.70573	0.589094	0
66	1.86441	1.10752	0.375363	-0.932376	1.32826	-0.124053	0.589094	0
67	-0.814039	-0.125665	0.375363	0.679528	0.380829	1.45762	0.589094	0
68	-0.814039	0.817358	0.375363	-0.932376	1.32826	-0.124053	-1.41382	1
69	-0.814039	0.382117	0.375363	-0.932376	1.32826	-0.124053	0.589094	0
70	-0.814039	0.309576	0.375363	-4.15618	-1.51403	-1.70573	0.589094	0
71	-0.814039	0.237036	0.375363	0.679528	-0.5666	1.45762	0.589094	0
72	-0.814039	0.454657	0.375363	0.679528	1.32826	1.45762	0.589094	0
73	-0.814039	0.0919555	0.375363	0.679528	-0.5666	1.45762	0.589094	0
74	-0.814039	0.0194152	0.375363	0.679528	-0.5666	1.45762	0.589094	0
75	1.86441	1.47022	0.375363	0.679528	0.380829	-0.124053	0.589094	0
76	-0.814039	0.889899	0.375363	0.679528	0.380829	-1.70573	0.589094	0
77	0.525186	-1.50393	0.375363	0.679528	1.32826	1.45762	-1.41382	1
78	0.525186	-1.79409	0.375363	0.679528	0.380829	1.45762	0.589094	0
79	-0.814039	0.309576	0.375363	0.679528	1.32826	1.45762	0.589094	1
80	0.525186	-0.415827	0.375363	0.679528	1.32826	-0.124053	0.589094	1
81	-0.814039	-0.0531251	0.375363	0.679528	-0.5666	1.45762	0.589094	0
82	0.525186	-0.633447	0.375363	0.679528	1.32826	-0.124053	0.589094	0
83	1.86441	1.03498	0.375363	0.679528	0.380829	1.45762	0.589094	0
84	1.86441	1.18006	0.375363	0.679528	0.380829	1.45762	-1.41382	0
85	0.525186	-1.43139	0.375363	0.679528	0.380829	1.45762	0.589094	0
86	0.525186	-1.06869	0.375363	0.679528	0.380829	1.45762	-1.41382	1
87	-0.814039	0.599737	0.375363	0.679528	0.380829	1.45762	0.589094	1
88	-0.814039	0.998709	1.43889	0.679528	0.380829	1.45762	0.589094	1
89	-0.814039	1.01322	1.43889	-0.932376	-0.5666	-0.124053	0.589094	0
90	-0.814039	0.926169	1.43889	0.679528	0.380829	-0.124053	-1.41382	1
91	1.86441	1.6153	1.43889	0.679528	1.32826	-0.124053	0.589094	0
92	-2.15326	1.90546	1.43889	0.679528	-1.51403	-1.70573	0.589094	0
93	-2.15326	1.83292	1.43889	-0.932376	-1.51403	-1.70573	0.589094	0
94	0.525186	-0.198206	1.43889	0.679528	0.380829	-0.124053	0.589094	0
95	0.525186	-0.270746	1.43889	0.679528	-0.5666	1.45762	0.589094	0
96	0.525186	-0.851068	1.43889	0.679528	1.32826	1.45762	0.589094	1
97	0.525186	-0.488367	1.43889	0.679528	0.380829	1.45762	0.589094	0
98	-0.814039	0.817358	1.43889	0.679528	1.32826	1.45762	-1.41382	1
99	1.86441	1.18006	1.43889	0.679528	-0.5666	-1.70573	0.589094	0
100	1.86441	1.54276	1.43889	0.679528	0.380829	-0.124053	0.589094	0
101	0.525186	-1.79409	1.43889	0.679528	0.380829	3.0393	0.589094	0
102	-0.814039	0.527197	1.43889	0.679528	-0.5666	1.45762	0.589094	1
