	f1	f2	f3	f4	f5	f6	f7	clase
1	0.495178	-1.61813	-1.76219	0.651529	-1.55201	-0.218542	-1.44453	0
2	-0.837993	-0.0307175	-1.76219	0.651529	0.353966	-0.218542	-1.44453	0
3	-0.837993	0.979454	-1.76219	-2.60612	-1.55201	-0.935635	-1.44453	0
4	-0.837993	0.257903	-1.76219	0.651529	0.353966	-0.218542	-1.44453	0
5	0.495178	-0.175028	-1.76219	0.651529	-1.55201	-0.218542	-1.44453	0
6	-0.837993	0.113593	-1.76219	0.651529	-0.59902	-0.218542	-1.44453	0
7	-0.837993	0.185748	-1.76219	-2.60612	0.353966	-0.935635	-1.44453	1
8	0.495178	-1.61813	-1.76219	0.651529	0.353966	-0.218542	-1.44453	1
9	-0.837993	0.979454	-1.76219	-2.60612	-1.55201	-0.935635	-1.44453	0
10	-0.837993	0.257903	-1.76219	0.651529	0.353966	-0.218542	-1.44453	0
11	-0.837993	0.979454	-1.76219	-0.977293	-1.55201	-0.218542	-1.44453	0
12	0.495178	-1.40166	-1.76219	0.651529	0.353966	-0.218542	-1.44453	0
13	-0.837993	0.546524	-1.76219	0.651529	-1.55201	-0.218542	-1.44453	0
14	-0.837993	0.185748	-1.76219	-0.977293	-1.55201	-0.218542	-1.44453	0
15	-0.837993	-0.0307175	-1.76219	0.651529	0.353966	-0.218542	-1.44453	1
16	0.495178	-1.54598	-1.76219	-0.977293	0.353966	-0.218542	-1.44453	2
17	-0.837993	0.185748	-1.76219	-0.977293	0.353966	-0.218542	-1.44453	2
18	-0.837993	0.257903	-1.76219	0.651529	0.353966	-0.218542	-1.44453	0
19	-0.837993	0.474368	-0.722695	0.651529	0.353966	-0.218542	-1.44453	0
20	0.495178	-0.680114	-0.722695	-0.977293	-1.55201	-0.218542	-3.46688	2
21	0.495178	-1.76244	-0.722695	0.651529	0.353966	-1.65273	-3.46688	1
22	-0.837993	-0.102873	-0.722695	0.651529	0.353966	1.21564	0.577813	0
23	1.82835	1.41239	-0.722695	-0.977293	-1.55201	-0.218542	0.577813	2
24	0.495178	-1.11304	-0.722695	-0.977293	-1.55201	-0.218542	0.577813	2
25	-0.837993	0.979454	-0.722695	-0.977293	-1.55201	-0.218542	0.577813	2
26	0.495178	-0.968734	-0.722695	-0.977293	0.353966	-0.218542	0.577813	2
27	-0.837993	0.402213	-0.722695	-0.977293	-1.55201	-0.218542	0.577813	2
28	-0.837993	0.0414377	-0.722695	0.651529	0.353966	-0.218542	0.577813	1
29	0.495178	-1.61813	-0.722695	0.651529	0.353966	-0.218542	0.577813	3
30	-0.837993	0.330058	-0.722695	0.651529	-1.55201	-0.218542	0.577813	2
31	0.495178	-1.25735	-0.722695	-0.977293	0.353966	-0.218542	0.577813	2
32	1.82835	1.12376	-0.722695	-0.977293	1.30695	-0.218542	0.577813	2
33	0.495178	-0.463648	-0.722695	0.651529	0.353966	-1.65273	0.577813	2
34	1.82835	1.41239	0.316798	0.651529	-1.55201	-0.218542	0.577813	2
35	-0.837993	0.113593	0.316798	0.651529	0.353966	-0.218542	0.577813	2
36	0.495178	-0.607958	0.316798	0.651529	-1.55201	-0.218542	0.577813	2
37	0.495178	-0.535803	0.316798	-0.977293	0.353966	-0.218542	0.577813	2
38	-0.837993	-0.0307175	0.316798	0.651529	-1.55201	-0.218542	0.577813	2
39	-0.837993	0.113593	0.316798	-2.60612	0.353966	-0.935635	-1.44453	0
40	0.495178	-0.247183	0.316798	0.651529	-1.55201	-0.218542	0.577813	2
41	0.495178	-1.04089	0.316798	0.651529	-1.55201	-0.218542	0.577813	2
42	0.495178	-1.1852	0.316798	0.651529	1.30695	-0.218542	0.577813	2
43	1.82835	1.62885	0.316798	0.651529	-1.55201	-0.218542	0.577813	1
44	0.495178	-1.32951	0.316798	0.651529	0.353966	-0.218542	0.577813	3
45	-0.837993	0.835144	0.316798	-0.977293	1.30695	-0.218542	0.577813	2
46	0.495178	-0.824424	0.316798	-0.977293	1.30695	-1.65273	0.577813	2
47	0.495178	-0.752269	0.316798	-0.977293	1.30695	-0.218542	0.577813	2
48	-0.837993	0.546524	0.316798	0.651529	0.353966	-0.218542	0.577813	2
49	-0.837993	0.907299	0.316798	0.651529	1.30695	-0.218542	0.577813	2
50	0.495178	-0.896579	0.316798	-0.977293	-1.55201	-0.218542	0.577813	2
