	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	clase
1	-0.800471	1.34613	0.542556	-0.915618	-0.347713	-0.190767	-1.04674	-0.86357	-0.493529	1.08712	0.237655	-0.488004	0.0373533	-0.894654	1
2	-0.750696	0.450221	0.542556	0.170375	-0.347713	-0.61509	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	-0.13949	-0.195272	-0.894654	0
3	-0.167735	-0.604384	-1.78269	-0.915618	-0.347713	-0.290872	-1.04674	-0.86357	-0.493529	1.08712	0.237655	0.557539	-0.195272	-0.894654	0
4	-0.835061	1.35417	-1.78269	-0.64412	-0.849641	-0.664395	0.953958	1.15631	1.76848	1.08712	0.237655	-1.06886	-0.195272	1.11613	0
5	-0.961608	0.685248	0.542556	-0.372622	-0.347713	-0.0787105	0.953958	1.15631	2.38539	-0.918529	0.237655	-0.720347	-0.164946	1.11613	1
6	-1.32775	-0.838407	0.542556	0.170375	1.66	-0.216167	0.953958	1.15631	-0.0822548	-0.918529	0.237655	-0.488004	-0.195272	1.11613	0
7	-1.19361	0.349783	0.542556	-1.18712	-0.347713	-0.627042	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	-0.720347	-0.176078	-0.894654	1
8	2.28644	-0.060007	0.542556	0.98487	1.66	0.244013	0.953958	1.15631	0.740293	-0.918529	0.237655	-0.819093	-0.0877882	1.11613	0
9	-0.315373	-0.755042	-1.78269	-1.45861	1.66	0.232061	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	-0.0465528	-0.0922027	-0.894654	1
10	2.04009	0.466292	0.542556	-0.915618	1.66	1.35263	0.953958	1.15631	0.123382	1.08712	0.237655	-0.488004	-0.185675	-0.894654	0
11	0.162976	-0.604384	0.542556	1.79936	1.66	0.680288	0.953958	1.15631	0.329019	1.08712	0.237655	0.400707	-0.0307836	1.11613	1
12	0.831146	0.0484667	0.542556	0.98487	1.66	0.829698	0.953958	1.15631	0.740293	1.08712	0.237655	1.66117	-0.195272	1.11613	1
13	-0.919426	-0.704823	-1.78269	0.170375	1.66	-0.253519	0.953958	1.15631	0.123382	1.08712	0.237655	-0.255661	-0.154965	-0.894654	1
14	0.282774	0.0484667	0.542556	1.79936	1.66	1.57674	0.953958	1.15631	0.740293	1.08712	0.237655	-1.06886	-0.00333688	1.11613	1
15	2.27885	-0.411542	0.542556	0.170375	-0.347713	0.0572519	-1.04674	-0.86357	-0.493529	1.08712	0.237655	0.789882	-0.195272	-0.894654	1
16	1.39302	0.257379	0.542556	-0.915618	-0.347713	-0.652442	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	-1.06886	0.321033	1.11613	1
17	-0.167735	-0.0519719	0.542556	0.441873	-0.347713	1.57674	0.953958	1.15631	-0.0822548	1.08712	0.237655	0.847968	-0.195272	1.11613	1
18	-1.06706	0.851976	0.542556	-0.372622	-0.347713	-0.440281	0.953958	1.15631	-0.0822548	-0.918529	0.237655	-0.557707	-0.0818382	1.11613	0
19	-0.97595	-0.704823	-1.78269	-0.915618	-0.347713	-0.627042	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	-0.255661	-0.194504	-0.894654	1
20	-0.771787	0.18205	0.542556	0.98487	-0.347713	0.108051	0.953958	1.15631	0.94593	-0.918529	0.237655	-0.319556	0.42986	1.11613	0
21	-0.286689	-0.838407	0.542556	-0.372622	-0.347713	-0.652442	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	0.441367	-0.00256914	-0.894654	0
22	-1.04597	-0.838407	-1.78269	-0.372622	-0.347713	-0.489586	0.953958	-0.86357	-0.493529	1.08712	0.237655	-0.13949	-0.195272	-0.894654	0
23	0.810055	-0.687749	0.542556	-1.45861	-0.347713	-0.61509	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	-0.0930214	-0.195272	-0.894654	1
24	0.844644	-0.604384	0.542556	-0.915618	-0.347713	-0.601643	0.953958	-0.86357	-0.493529	-0.918529	0.237655	-0.13949	-0.195272	-0.894654	1
25	-1.01813	0.969489	0.542556	-0.372622	-0.347713	-0.428328	-1.04674	-0.86357	-0.493529	-0.918529	0.237655	-0.604176	-0.128095	-0.894654	1
26	0.0997022	-0.654604	0.542556	1.52787	1.66	0.979107	0.953958	1.15631	0.123382	1.08712	0.237655	-1.06886	-0.195272	1.11613	1
