	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	clase
1	-1.25394	-1.23586	1.34334	-0.733065	1.83225	1.33741	0.449102	1.04646	-1.29308	2.76507	0.4606	1.02657	-0.428075	1.21399	-0.195916	-0.552429	-0.338692	0.320052	-0.206664	-0.4667	0.634131	-0.149908	-0.49975	0.765973	0
2	-0.458797	2.24707	-0.503176	0.965893	-0.699357	-0.3178	-0.963168	-0.765594	-1.29308	-1.19081	0.4606	-0.704573	-0.428075	-0.822906	-0.195916	-0.552429	-0.338692	0.320052	-0.206664	-0.4667	0.634131	-0.149908	-0.49975	0.765973	1
3	1.13149	-0.738298	1.34334	-0.41451	-0.699357	0.509805	0.449102	0.140434	-1.29308	1.18272	0.4606	-0.704573	2.3337	-0.822906	-0.195916	-0.552429	-0.338692	0.320052	-0.206664	-0.4667	0.634131	-0.149908	1.999	-1.30422	0
4	-1.25394	1.74951	-0.503176	1.6384	-0.699357	0.509805	0.449102	1.04646	-0.340885	0.831087	0.4606	-0.704573	2.3337	-0.822906	-0.195916	-0.552429	-0.338692	-3.12137	-0.206664	-0.4667	-1.57538	-0.149908	-0.49975	0.765973	0
5	-1.25394	0.256825	0.420083	0.576549	-0.699357	-0.3178	0.449102	1.04646	1.5635	1.53435	0.4606	1.02657	2.3337	-0.822906	-0.195916	1.80838	-0.338692	0.320052	-0.206664	-0.4667	-1.57538	-0.149908	-0.49975	0.765973	1
6	1.13149	1.25195	-0.503176	2.06314	1.83225	-0.3178	0.449102	1.04646	1.5635	-0.047998	0.4606	-0.704573	2.3337	1.21399	-0.195916	-0.552429	-0.338692	0.320052	-0.206664	-0.4667	-1.57538	-0.149908	1.999	-1.30422	0
7	1.13149	0.256825	-0.503176	-0.166746	0.566448	1.33741	0.449102	1.04646	-0.340885	1.53435	0.4606	-0.704573	-0.428075	-0.822906	-0.195916	-0.552429	-0.338692	0.320052	-0.206664	-0.4667	0.634131	-0.149908	-0.49975	0.765973	0
8	-0.458797	1.25195	-0.503176	1.28445	-0.699357	-0.3178	0.449102	-0.765594	0.611307	-0.047998	0.4606	-0.704573	-0.428075	1.21399	-0.195916	-0.552429	2.94958	0.320052	-0.206664	2.14056	-1.57538	-0.149908	-0.49975	-1.30422	0
9	1.13149	-0.738298	-0.503176	-0.0605608	1.19935	0.509805	-2.37544	1.04646	-1.29308	2.23762	0.4606	-0.704573	-0.428075	-0.822906	-0.195916	-0.552429	-0.338692	0.320052	-0.206664	-0.4667	0.634131	-0.149908	1.999	-1.30422	0
10	-0.458797	0.754386	1.34334	0.682734	-0.699357	-1.97301	1.86137	-0.765594	0.611307	-0.663357	0.4606	1.02657	-0.428075	-0.822906	-0.195916	1.80838	-0.338692	0.320052	-0.206664	-0.4667	0.634131	-0.149908	-0.49975	-1.30422	1
11	-0.458797	-0.738298	-0.503176	-0.69767	-0.699357	-1.1454	-0.963168	-1.67162	0.611307	-0.927083	0.4606	-0.704573	-0.428075	-0.822906	-0.195916	1.80838	-0.338692	0.320052	-0.206664	2.14056	-1.57538	-0.149908	-0.49975	0.765973	1
12	-1.25394	2.24707	-0.503176	0.364179	-0.699357	-1.1454	-0.963168	1.04646	-0.340885	-1.01499	0.4606	-0.704573	-0.428075	-0.822906	-0.195916	-0.552429	-0.338692	0.320052	-0.206664	2.14056	-1.57538	-0.149908	-0.49975	0.765973	1
13	-0.458797	-0.738298	-0.503176	-0.591485	-0.699357	-0.3178	-0.963168	-1.67162	0.611307	-1.19081	0.4606	-0.704573	-0.428075	1.21399	-0.195916	-0.552429	-0.338692	0.320052	-0.206664	-0.4667	0.634131	-0.149908	-0.49975	0.765973	0
14	-1.25394	0.256825	1.34334	-0.733065	-0.699357	1.33741	0.449102	1.04646	0.611307	2.14971	0.4606	1.02657	-0.428075	-0.822906	-0.195916	1.80838	-0.338692	0.320052	-0.206664	-0.4667	0.634131	-0.149908	1.999	-1.30422	1
15	-1.25394	-0.489517	-0.503176	-0.662275	-0.699357	-0.3178	-0.963168	1.04646	0.611307	-0.663357	0.4606	-0.704573	-0.428075	-0.822906	-0.195916	1.80838	-0.338692	0.320052	-0.206664	2.14056	-1.57538	-0.149908	-0.49975	0.765973	0
16	-1.25394	0.256825	-0.503176	-0.69767	-0.0664547	-0.3178	-0.963168	-0.765594	0.611307	-0.311723	0.4606	-0.704573	-0.428075	-0.822906	-0.195916	-0.552429	-0.338692	0.320052	-0.206664	-0.4667	0.634131	-0.149908	1.999	-1.30422	1
17	1.13149	0.256825	1.34334	-0.308326	1.83225	1.33741	0.449102	1.04646	-0.340885	1.53435	0.4606	1.02657	-0.428075	-0.822906	-0.195916	-0.552429	-0.338692	0.320052	-0.206664	-0.4667	0.634131	-0.149908	-0.49975	0.765973	0
18	-1.25394	0.754386	-2.34969	1.70919	1.83225	-1.1454	0.449102	0.140434	0.611307	-0.927083	-2.37386	2.7577	-0.428075	-0.822906	-0.195916	-0.552429	-0.338692	0.320052	-0.206664	-0.4667	0.634131	-0.149908	-0.49975	0.765973	0
19	-0.458797	0.256825	-0.503176	3.30196	-0.699357	1.33741	-0.963168	-0.765594	1.5635	0.743178	0.4606	-0.704573	-0.428075	1.21399	-0.195916	-0.552429	2.94958	0.320052	-0.206664	-0.4667	-1.57538	-0.149908	-0.49975	-1.30422	1
20	1.13149	0.256825	-0.503176	0.0456241	0.566448	1.33741	0.449102	-0.765594	0.611307	-0.399632	0.4606	-0.704573	2.3337	1.21399	-0.195916	-0.552429	-0.338692	0.320052	-0.206664	-0.4667	0.634131	-0.149908	-0.49975	0.765973	0
21	1.13149	-0.987079	1.34334	-0.41451	-0.699357	-0.3178	0.449102	1.04646	0.611307	1.09481	0.4606	2.7577	-0.428075	1.21399	-0.195916	1.80838	-0.338692	0.320052	-0.206664	-0.4667	0.634131	-0.149908	-0.49975	0.765973	0
22	-1.25394	-1.23586	-0.503176	-0.237536	0.566448	-0.3178	0.449102	0.140434	-1.29308	0.743178	0.4606	-0.704573	2.3337	-0.822906	-0.195916	-0.552429	-0.338692	0.320052	-0.206664	2.14056	-1.57538	-0.149908	-0.49975	0.765973	0
23	-1.25394	-0.904152	1.34334	-0.379115	-0.699357	-1.1454	0.449102	0.140434	-1.29308	1.09481	0.4606	1.02657	2.3337	-0.822906	5.09912	1.80838	-0.338692	0.320052	-0.206664	2.14056	-1.57538	-0.149908	1.999	-1.30422	0
24	-0.458797	-0.738298	1.34334	-0.520695	-0.0664547	-1.1454	0.449102	1.04646	-0.340885	0.743178	0.4606	-0.704573	-0.428075	-0.822906	-0.195916	-0.552429	2.94958	0.320052	-0.206664	-0.4667	0.634131	-0.149908	-0.49975	0.765973	0
25	1.13149	-0.904152	1.34334	-0.41451	1.83225	-0.3178	1.86137	-1.67162	0.611307	-0.839174	0.4606	1.02657	-0.428075	-0.822906	5.09912	-0.552429	-0.338692	0.320052	-0.206664	-0.4667	0.634131	-0.149908	-0.49975	0.765973	0
26	-1.25394	-1.23586	-0.503176	-0.662275	-0.699357	-0.3178	0.449102	-0.765594	-1.29308	0.0399104	-2.37386	-0.704573	-0.428075	1.21399	-0.195916	-0.552429	-0.338692	0.320052	-0.206664	-0.4667	0.634131	-0.149908	1.999	-1.30422	0
27	1.13149	-1.23586	-2.34969	-1.01622	-0.699357	1.33741	1.86137	1.04646	0.611307	0.303636	0.4606	-0.704573	-0.428075	-0.822906	-0.195916	-0.552429	-0.338692	0.320052	-0.206664	-0.4667	0.634131	-0.149908	1.999	-1.30422	0
28	0.336345	-0.738298	-1.42644	-1.01622	1.19935	-0.3178	-0.963168	0.140434	-1.29308	0.567361	0.4606	1.02657	-0.428075	-0.822906	-0.195916	-0.552429	-0.338692	0.320052	-0.206664	2.14056	-1.57538	-0.149908	-0.49975	0.765973	0
29	-0.458797	-1.15293	-0.503176	-0.308326	-0.699357	-0.3178	0.449102	-0.765594	-1.29308	-0.135906	0.4606	-0.704573	-0.428075	-0.822906	-0.195916	-0.552429	-0.338692	-3.12137	-0.206664	-0.4667	0.634131	-0.149908	-0.49975	0.765973	0
30	-1.25394	3.24219	0.420083	1.24905	-0.699357	1.33741	0.449102	1.04646	1.5635	2.41344	0.4606	1.02657	-0.428075	1.21399	-0.195916	-0.552429	-0.338692	0.320052	-0.206664	-0.4667	0.634131	-0.149908	-0.49975	0.765973	1
31	-0.458797	-0.240737	-0.503176	-0.4853	1.19935	-1.1454	1.86137	0.140434	-1.29308	0.0399104	-2.37386	-0.704573	-0.428075	1.21399	-0.195916	-0.552429	-0.338692	0.320052	-0.206664	-0.4667	0.634131	-0.149908	-0.49975	0.765973	0
32	-1.25394	0.256825	-0.503176	0.257994	-0.699357	-0.3178	0.449102	-0.765594	0.611307	-0.751266	-0.956631	-0.704573	-0.428075	-0.822906	-0.195916	-0.552429	-0.338692	0.320052	-0.206664	-0.4667	0.634131	-0.149908	-0.49975	0.765973	0
33	-0.458797	-0.240737	-0.503176	0.930498	-0.0664547	-0.3178	0.449102	-0.765594	0.611307	-0.48754	0.4606	1.02657	-0.428075	1.21399	-0.195916	1.80838	-0.338692	0.320052	-0.206664	-0.4667	0.634131	-0.149908	-0.49975	0.765973	0
34	1.13149	-0.738298	1.34334	-0.69767	1.83225	1.33741	0.449102	1.04646	1.5635	1.88599	0.4606	-0.704573	-0.428075	-0.822906	-0.195916	-0.552429	-0.338692	0.320052	-0.206664	2.14056	-1.57538	-0.149908	1.999	-1.30422	0
35	0.336345	-0.738298	-0.503176	-0.62688	-0.699357	-1.1454	-0.963168	-1.67162	-0.340885	-0.223815	-2.37386	-0.704573	-0.428075	1.21399	-0.195916	-0.552429	-0.338692	0.320052	-0.206664	-0.4667	0.634131	-0.149908	-0.49975	-1.30422	0
36	-0.458797	1.99829	1.34334	0.505759	-0.699357	-1.1454	0.449102	-0.765594	-0.340885	-0.927083	0.4606	1.02657	-0.428075	-0.822906	-0.195916	-0.552429	-0.338692	0.320052	-0.206664	-0.4667	0.634131	-0.149908	1.999	-1.30422	1
37	1.13149	2.24707	1.34334	1.00129	-0.699357	-0.3178	0.449102	0.140434	1.5635	-0.399632	-2.37386	-0.704573	-0.428075	1.21399	-0.195916	-0.552429	-0.338692	0.320052	-0.206664	-0.4667	-1.57538	-0.149908	-0.49975	0.765973	0
38	0.336345	-0.240737	-0.503176	-0.41451	-0.699357	-0.3178	0.449102	-0.765594	-1.29308	0.127819	-0.956631	-0.704573	-0.428075	-0.822906	-0.195916	-0.552429	-0.338692	-3.12137	4.83393	-0.4667	0.634131	-0.149908	-0.49975	0.765973	1
39	0.336345	-0.904152	-0.503176	-0.733065	-0.699357	-0.3178	0.449102	-0.765594	0.611307	0.127819	0.4606	-0.704573	-0.428075	1.21399	-0.195916	-0.552429	-0.338692	0.320052	-0.206664	-0.4667	0.634131	-0.149908	-0.49975	0.765973	0
40	-0.458797	-0.987079	-0.503176	-0.98083	-0.699357	-0.3178	0.449102	0.140434	-1.29308	-1.01499	0.4606	-0.704573	-0.428075	-0.822906	-0.195916	-0.552429	-0.338692	0.320052	-0.206664	-0.4667	0.634131	-0.149908	-0.49975	0.765973	0
41	1.13149	0.754386	-0.503176	-0.343721	0.566448	1.33741	0.449102	-0.765594	0.611307	-0.48754	-2.37386	-0.704573	-0.428075	-0.822906	-0.195916	-0.552429	-0.338692	0.320052	-0.206664	-0.4667	0.634131	-0.149908	-0.49975	-1.30422	0
42	-0.458797	-0.738298	-0.503176	-0.733065	0.566448	-0.3178	-2.37544	-1.67162	0.611307	-0.839174	0.4606	-0.704573	-0.428075	1.21399	-0.195916	-0.552429	-0.338692	0.320052	-0.206664	-0.4667	0.634131	-0.149908	-0.49975	0.765973	0
43	-0.458797	-0.240737	0.420083	1.03668	-0.699357	-0.3178	0.449102	1.04646	-1.29308	0.743178	0.4606	-0.704573	2.3337	1.21399	-0.195916	-0.552429	-0.338692	0.320052	-0.206664	-0.4667	0.634131	-0.149908	1.999	-1.30422	0
