	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	clase
1	0.160485	0.508649	0.0577843	0.270646	1.30652	0.311358	-0.205723	0.136489	-0.224811	0.757884	-0.402146	-0.344731	0.285643	-0.328861	-0.0766656	0.380766	-0.313537	0.183849	3
2	-0.325277	-0.625897	0.12119	-0.83475	-0.595044	0.0940239	-0.596759	0.520535	-0.610593	-0.344374	-0.59326	-0.622048	-0.513214	-0.0617305	0.533295	0.156833	0.0109306	0.452709	3
3	1.25345	0.832805	1.51611	1.19679	0.545894	0.311358	1.14787	-1.14366	0.932534	0.688993	1.09492	1.10411	1.39175	0.0718348	1.5499	-0.403	-0.151303	0.0494182	2
4	-0.0823959	-0.625897	-0.00562104	-0.29699	0.165581	0.0940239	-0.747158	0.648551	-0.610593	-0.344374	-0.911784	-0.740899	-1.4657	-1.26382	-0.0766656	-0.291034	1.63327	1.52815	3
5	-1.05392	-0.139663	-0.766486	1.07729	5.23641	9.43938	-0.596759	0.520535	-0.610593	-0.275483	1.66826	-0.650346	0.408545	7.28436	0.533295	-0.179067	-1.44917	-1.69818	0
6	1.61777	1.96735	1.51611	0.0913924	-1.48244	-0.557978	2.59169	-1.91176	2.86144	1.4468	2.9105	2.92649	2.74367	1.67462	-0.279986	-0.403	-1.28694	-1.69818	0
7	0.403367	-0.301741	-0.576269	0.121268	0.419123	-0.557978	-0.47644	0.136489	-0.610593	-0.344374	-0.402146	-0.446602	-0.0830599	-0.863122	1.34658	-1.29873	1.7955	1.12486	0
8	-0.446718	-0.301741	-1.02011	-0.356741	0.419123	0.0940239	-0.957716	0.904582	-0.996375	-0.137701	-0.848079	-0.899366	-0.328862	-0.729557	-0.686626	-1.0748	0.659865	0.856	3
9	-0.932481	-1.76044	-1.27373	-0.864625	-0.0879604	-0.340644	-1.40891	1.67267	-1.38216	-1.44663	-1.51698	-1.22762	-1.92658	-1.13025	-0.889946	0.156833	1.7955	1.66258	3
10	-0.0823959	-0.139663	1.00887	0.838281	0.0388104	0.528691	0.425952	-0.631603	0.546752	-0.137701	0.426016	0.368372	-0.697566	-1.13025	-0.483306	0.156833	0.984333	1.12486	2
11	-0.932481	-1.43629	-0.766486	-0.774999	-0.0879604	0.0940239	-1.07803	1.16061	-0.996375	-1.23996	-1.13475	-0.984259	-1.4657	-0.863122	-0.889946	-0.291034	0.822099	0.856	3
12	-0.446718	-1.76044	-1.02011	-0.984128	-0.848585	-0.557978	-1.37883	1.67267	-1.38216	-2.06665	-1.29401	-1.22196	-1.74223	-0.996688	-0.279986	1.50043	1.14657	0.856	2
13	-0.689599	0.184493	-0.512864	0.0615168	0.799435	-0.557978	-0.50652	0.264505	-0.610593	8.14316e-05	-0.274736	-0.514517	0.531446	-0.195296	-0.279986	-0.179067	0.0109306	-0.0850121	0
14	-0.568159	-0.463819	0.184595	-0.745123	-0.468273	0.311358	-0.50652	0.39252	-0.610593	-0.275483	-0.497703	-0.537155	-0.421038	-0.0617305	0.329975	0.044866	-0.313537	0.183849	3
15	0.0390448	0.670727	-0.195837	1.01753	1.17975	-0.775311	0.155234	-0.503588	0.16097	0.413428	0.234902	0.14199	0.9616	-0.195296	-0.0766656	-1.18677	1.3088	0.452709	0
16	0.281926	1.6432	1.32589	0.957783	0.419123	0.0940239	1.05763	-1.14366	0.932534	1.24012	1.22233	1.04186	2.19061	0.2054	-0.0766656	-1.18677	-0.47577	-0.219442	1
17	-0.568159	-1.43629	-1.97119	-1.79077	-1.2289	-0.557978	-1.52923	2.05672	-1.38216	-1.30885	-1.64439	-1.32383	-1.52715	1.00679	-0.889946	0.156833	-1.28694	-1.42932	3
18	0.646248	-0.625897	-0.322648	0.838281	0.926206	-0.557978	0.245473	-0.631603	0.16097	-0.619939	0.426016	0.255181	-0.728291	-0.0617305	-0.483306	-0.291034	1.47103	0.452709	0
19	1.25345	1.48112	1.13568	0.50965	-0.0879604	0.311358	1.41858	-1.27168	1.31832	1.72236	1.15862	1.39275	1.39175	0.2054	-0.279986	-0.179067	-0.638004	-0.0850121	2
20	0.889129	1.80527	1.13568	1.37604	0.926206	0.311358	1.17795	-1.14366	1.31832	1.4468	1.22233	1.19467	1.48393	0.2054	-0.0766656	-0.850866	-0.47577	-0.353873	1
21	-1.17536	0.346571	-0.449459	-0.476243	0.292352	-0.557978	-0.44636	0.264505	-0.610593	-0.206592	-0.433998	-0.486219	0.285643	0.338965	-1.29659	-1.0748	-0.638004	-0.488303	0
22	-1.17536	-1.27421	-1.84438	-1.43226	-0.341502	-0.775311	-1.37883	1.80069	-1.38216	-1.58442	-1.51698	-1.23894	-1.28135	1.27392	0.126654	-1.29873	-1.61141	-1.69818	3
23	0.0390448	-0.301741	-1.14692	0.121268	0.926206	-0.340644	-0.566679	0.264505	-0.610593	-0.413265	-0.625112	-0.542815	0.0705665	-0.595992	0.533295	-1.29873	1.63327	1.39372	0
24	-0.81104	-0.950053	-0.766486	-0.625621	-0.0879604	-0.340644	-0.777237	0.648551	-0.996375	-0.826612	-0.784374	-0.752218	-1.03554	-0.462426	-1.09327	-1.18677	0.497632	0.452709	0
25	0.646248	1.31904	1.4527	1.49554	0.545894	0.528691	1.05763	-1.14366	0.932534	1.17123	1.03121	1.0362	1.51465	-0.595992	-1.29659	-0.7389	0.335398	0.72157	2
26	-1.05392	0.0224151	-0.132432	-0.446368	0.292352	0.0940239	-0.656919	0.520535	-0.610593	8.14316e-05	-0.625112	-0.656006	-0.0216094	-0.195296	-1.09327	-0.962833	-0.151303	0.452709	3
27	-1.2968	-1.43629	-1.78097	-1.49201	-0.595044	-0.557978	-1.22843	1.54466	-0.996375	-1.58442	-1.45327	-1.14273	-1.09699	1.27392	-0.0766656	-1.0748	-1.61141	-1.69818	2
28	1.61777	1.48112	1.00887	1.01753	0.419123	0.528691	1.47874	-1.27168	1.7041	1.30901	1.28603	1.44935	1.26885	-0.0617305	-1.09327	1.72436	-0.313537	0.452709	2
29	1.01057	0.0224151	0.184595	0.718779	0.292352	-0.557978	0.696669	-1.01565	0.546752	-0.137701	0.903802	0.736243	-0.359587	0.472531	-0.0766656	-0.626933	0.984333	-0.353873	0
30	-1.66112	-1.11213	-1.21032	-1.19326	-0.848585	-0.340644	-0.686998	0.648551	-0.610593	-1.23996	-0.656965	-0.712601	-0.513214	1.40749	0.533295	0.828632	-1.44917	-1.42932	2
31	-0.568159	-0.301741	0.184595	-0.267114	0.292352	0.528691	-0.416281	0.264505	-0.610593	0.206755	-0.497703	-0.4749	-0.0216094	-0.0617305	-0.279986	-0.403	-0.638004	0.0494182	3
32	-0.689599	-0.463819	-0.322648	-0.535994	-0.468273	-0.12331	-0.867477	0.776566	-0.996375	-0.413265	-0.752522	-0.831452	-0.513214	-1.13025	0.736615	-0.179067	1.47103	1.25929	2
33	-0.0823959	-1.59837	-1.02011	-0.446368	-0.341502	-0.557978	-0.807317	0.648551	-0.996375	-1.37774	-0.848079	-0.769197	-1.68077	-1.13025	-0.279986	0.044866	1.3088	0.856	1
34	0.889129	0.508649	1.57951	1.58517	0.799435	0.311358	1.17795	-1.14366	1.31832	0.413428	1.38159	1.13807	0.900149	-0.328861	-0.279986	2.84403	0.173164	0.856	1
35	-0.81104	-1.11213	0.184595	0.24077	-0.0879604	-0.12331	-0.145563	-0.119542	-0.224811	-1.30885	-0.0836219	-0.214561	-1.37352	-1.26382	-1.09327	1.38846	1.47103	1.25929	1
36	0.767689	0.184493	0.501622	0.0913924	0.672665	0.0940239	-0.356121	0.264505	-0.224811	0.137864	-0.59326	-0.435283	0.285643	-0.729557	2.15986	-0.626933	0.497632	0.58714	3
37	-1.41824	-0.139663	-0.639675	-1.52189	-1.2289	-0.340644	-0.50652	0.39252	-0.610593	-0.0688097	-0.46585	-0.565453	0.0705665	1.27392	-0.889946	-1.18677	-1.44917	-1.42932	0
38	-0.446718	0.508649	0.248	4.09472	8.15214	8.78738	-0.47644	0.39252	-0.610593	0.551211	2.65568	-0.531496	0.777248	6.08227	-1.29659	0.268799	-0.638004	-0.219442	3
39	1.49633	1.31904	1.00887	0.210895	-0.975356	0.311358	1.41858	-1.27168	1.31832	1.58458	1.47714	1.42105	1.3303	0.2054	-1.09327	-0.403	-0.313537	0.183849	2
40	-1.53968	0.0224151	-0.893296	0.00176569	1.43329	-0.557978	-0.5366	0.39252	-0.610593	-0.137701	-0.497703	-0.588091	0.347094	0.338965	0.126654	-1.4107	-0.962471	-0.891594	0
41	0.160485	0.508649	1.3893	1.34617	0.672665	0.0940239	1.08771	-1.14366	0.932534	0.206755	1.22233	1.0645	0.838698	0.2054	-0.279986	-0.403	-0.47577	-0.353873	1
42	-0.689599	-1.27421	-1.97119	-1.91027	-1.2289	-0.775311	-1.49915	2.05672	-1.38216	-1.37774	-1.70809	-1.31817	-1.52715	1.80818	0.329975	0.380766	-1.61141	-1.69818	3
43	0.0390448	0.670727	0.311406	-0.954252	-0.975356	0.528691	-0.326042	0.264505	-0.224811	0.964558	-0.338441	-0.418305	0.347094	0.338965	-0.279986	-0.850866	-0.962471	-0.219442	3
44	-0.0823959	-1.27421	-0.386053	0.420023	0.165581	-0.12331	-0.145563	-0.119542	-0.224811	-0.964395	0.07564	-0.197582	-1.09699	-0.729557	-0.483306	-0.626933	0.497632	0.183849	2
45	3.07506	1.48112	1.51611	1.52542	0.419123	0.746025	1.32834	-1.27168	1.31832	1.30901	1.09492	1.3305	1.76046	-0.863122	2.76982	-1.29873	0.497632	0.856	2
46	-0.0823959	0.184493	-0.00562104	-0.715248	-0.468273	0.528691	-0.295962	0.264505	-0.224811	0.826775	-0.274736	-0.390007	0.43927	0.606096	-0.889946	-0.962833	-0.962471	-0.219442	3
47	-0.325277	-0.301741	-0.766486	-1.07375	-0.848585	-0.12331	-1.16827	1.28863	-0.996375	-0.137701	-0.943636	-1.05783	-0.574664	-0.328861	-1.09327	-0.514967	0.173164	-0.219442	3
48	-1.05392	-0.463819	-1.02011	-1.40239	-0.975356	-0.557978	-0.626839	0.648551	-0.610593	-0.482157	-0.529555	-0.695622	-0.0216094	2.07531	-0.0766656	0.156833	-1.44917	-1.83261	0
49	-0.568159	0.346571	-0.0690264	-0.655496	0.292352	0.528691	-0.386201	0.39252	-0.224811	1.03345	-0.59326	-0.497538	0.408545	0.472531	-0.0766656	0.044866	-0.800238	-0.353873	3
50	-0.325277	0.0224151	-0.195837	0.210895	-0.341502	0.0940239	-0.175643	-0.119542	-0.224811	8.14316e-05	-0.147327	-0.203242	0.132017	-1.39738	-1.29659	-0.291034	1.63327	1.66258	2
51	-1.90401	-1.11213	-1.21032	-1.61151	-1.35567	-0.557978	-0.807317	0.776566	-0.610593	-1.23996	-0.848079	-0.797494	-0.881917	0.606096	-0.889946	-0.962833	-1.28694	-1.42932	2
52	-0.203837	-1.11213	-0.70308	0.151143	0.545894	-0.340644	-0.44636	0.264505	-0.610593	-1.03329	-0.242884	-0.48056	-1.37352	-0.328861	-0.483306	1.2765	0.0109306	-0.0850121	2
53	0.524807	1.6432	1.19908	1.76442	1.05298	0.0940239	1.2381	-1.27168	1.31832	1.3779	1.509	1.25126	2.15989	-0.0617305	-1.09327	-0.7389	-0.151303	0.183849	1
54	0.889129	-0.463819	-1.27373	0.181019	0.672665	-0.557978	-0.596759	0.264505	-0.610593	-0.619939	-0.625112	-0.559793	-0.298137	-0.996688	0.126654	-0.179067	2.11997	1.79701	0
55	0.889129	1.80527	1.3893	0.479775	-1.10213	-0.557978	2.65185	-1.91176	2.86144	1.3779	2.75124	2.92083	1.69901	1.40749	-0.279986	1.50043	-1.44917	-1.56375	0
56	0.0390448	-1.43629	-1.02011	-0.535994	-0.0879604	-0.12331	-1.07803	1.16061	-0.996375	-0.895504	-1.1029	-0.989919	-1.7115	-1.39738	0.533295	-1.0748	1.95773	1.66258	3
57	0.403367	-0.139663	0.882054	0.77853	0.165581	0.0940239	0.486111	-0.631603	0.546752	-0.275483	0.426016	0.407989	-0.298137	-0.863122	-0.483306	-0.514967	0.335398	0.452709	2
58	-0.568159	0.346571	0.12119	-1.07375	-0.848585	0.528691	-0.356121	0.39252	-0.224811	0.826775	-0.625112	-0.486219	0.0398412	0.2054	-0.279986	-0.403	-1.1247	-0.488303	3
59	1.61777	1.31904	1.32589	1.55529	0.545894	0.528691	1.20802	-1.14366	1.31832	1.03345	1.06306	1.20599	1.14595	-0.863122	-1.29659	-1.29873	0.335398	0.72157	1
60	-1.05392	-0.950053	-0.893296	-1.49201	-1.2289	-0.775311	-1.22843	1.54466	-0.996375	-0.895504	-1.29401	-1.12575	-1.00482	0.338965	0.329975	-0.514967	-1.1247	-1.16045	3
61	1.13201	0.832805	1.00887	1.28641	0.165581	0.0940239	0.726749	-0.887634	0.546752	0.895666	0.808245	0.719264	0.316369	-1.13025	-0.279986	-0.850866	1.47103	1.12486	1
62	-2.02545	-1.11213	-1.21032	-1.014	-0.341502	-0.775311	-1.16827	1.41664	-0.996375	-1.23996	-1.38957	-1.09179	-1.09699	0.873227	1.34658	0.940598	-0.962471	-1.16045	1
63	0.281926	-0.787975	-0.766486	-1.46214	-1.48244	-0.12331	-0.957716	1.16061	-0.996375	-0.482157	-0.848079	-0.967281	-1.09699	1.00679	0.736615	0.044866	-0.962471	-1.69818	3
64	-1.2968	-0.463819	-1.02011	-0.386617	0.672665	-0.340644	-0.566679	0.520535	-0.610593	-0.275483	-0.46585	-0.60507	-0.482489	0.739661	-0.483306	-1.18677	-1.1247	-1.02602	0
65	-0.0823959	0.0224151	0.248	0.957783	0.926206	-0.340644	0.456031	-0.759619	0.546752	-0.206592	0.457868	0.470244	0.254918	-0.0617305	-1.29659	-0.962833	0.822099	0.183849	0
66	-0.568159	-0.625897	-0.449459	-0.774999	-0.721814	-0.340644	-0.686998	0.648551	-0.610593	-0.757721	-0.59326	-0.695622	-0.574664	0.472531	2.36318	-0.850866	-0.800238	-1.02602	1
67	-1.53968	-0.301741	-0.893296	-1.31276	-0.595044	-0.12331	-0.596759	0.648551	-0.610593	-0.137701	-0.625112	-0.661665	-0.0830599	1.40749	-0.0766656	0.604699	-1.61141	-1.56375	0
68	0.524807	1.6432	1.19908	1.49554	0.926206	0.528691	1.6893	-1.3997	1.7041	2.06682	1.34973	1.74364	1.26885	0.2054	-0.0766656	0.156833	-0.313537	-0.0850121	1
69	-0.932481	-0.139663	-0.259243	-0.147612	0.799435	0.0940239	-0.807317	0.648551	-0.996375	-0.0688097	-0.656965	-0.763537	-0.113785	-0.328861	-1.09327	-0.179067	0.173164	0.72157	3
70	0.524807	0.670727	0.12119	1.49554	1.56006	-0.340644	0.63651	-0.887634	0.546752	0.413428	0.61713	0.668328	1.05378	0.2054	-0.483306	-0.626933	0.984333	-0.0850121	0
71	0.281926	1.6432	1.00887	-0.237239	-0.975356	0.311358	1.3885	-1.27168	1.31832	1.86014	1.19047	1.37577	1.42248	0.472531	-0.686626	-0.7389	-0.638004	-0.353873	1
72	0.403367	2.29151	1.64292	1.73455	1.05298	0.528691	1.65922	-1.3997	1.7041	2.61795	1.15862	1.65309	1.3303	-0.328861	0.736615	1.38846	-0.47577	0.318279	1
73	-0.203837	-0.950053	0.565027	0.659028	0.0388104	-0.12331	0.215394	-0.503588	0.16097	-0.757721	0.234902	0.14765	-0.728291	-0.729557	-0.686626	1.16453	0.497632	0.58714	1
74	-2.51121	-1.27421	-1.84438	-1.73102	-0.975356	-0.557978	-1.28859	1.80069	-0.996375	-1.37774	-1.70809	-1.20498	-0.851192	1.27392	-1.09327	0.268799	-2.09811	-1.56375	1
75	-0.568159	-0.463819	0.438217	-0.655496	-0.0879604	0.528691	-0.5366	0.39252	-0.610593	-0.206592	-0.59326	-0.576772	-0.359587	-0.0617305	0.939935	1.16453	-0.313537	0.452709	3
76	0.889129	1.31904	1.32589	1.01753	0.165581	0.0940239	0.786909	-0.887634	0.546752	0.964558	0.680835	0.741902	1.0845	-0.595992	-0.279986	-0.850866	0.335398	0.318279	1
77	-0.325277	-0.950053	0.0577843	0.0316412	-0.214731	-0.12331	0.0950747	-0.375572	0.16097	-0.964395	0.266754	0.0287995	-0.697566	-0.0617305	-1.29659	-0.291034	-0.151303	-0.219442	2
