	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	clase
1	0.172079	-0.0817616	0.213258	2.82106	-0.0353514	0.569873	0.744489	2.33127	-1.24679	-0.349149	-1.39301	3
2	-0.657434	0.215874	0.0479962	-0.944669	0.147732	-1.25289	-0.149669	-0.00915324	0.739953	0.00134171	-0.824192	3
3	1.4756	0.0174502	0.543783	0.100272	0.193503	-0.312109	-0.973236	0.358628	0.475053	-0.436771	-0.336633	3
4	0.409083	-0.478608	-0.117266	0.415726	0.55967	0.687471	1.12098	0.525802	0.0114792	-0.787262	-0.499152	3
5	0.409083	-0.478608	-0.117266	0.415726	0.55967	0.687471	1.12098	0.525802	0.0114792	-0.787262	-0.499152	3
6	1.4756	0.0174502	0.543783	0.100272	0.193503	-0.312109	-0.973236	0.358628	0.475053	-0.436771	-0.336633	3
7	-0.775936	0.414297	-1.43936	0.119988	-0.0353514	-0.312109	-0.0555474	0.291759	-0.0547457	-0.173903	-0.742932	3
8	0.172079	-0.0817616	0.213258	2.82106	-0.0353514	0.569873	0.744489	2.33127	-1.24679	-0.349149	-1.39301	3
9	-0.657434	0.215874	0.0479962	-0.944669	0.147732	-1.25289	-0.149669	-0.00915324	0.739953	0.00134171	-0.824192	3
10	1.4756	-0.57782	0.791676	-0.964385	-0.0811222	-0.429707	-0.220261	-0.0760226	0.210154	-0.349149	0.394706	3
11	1.4756	-0.0817616	0.626414	-0.974243	-0.584602	-1.42929	-1.77327	-1.07906	-1.31302	0.6147	1.2073	2
12	2.06811	-0.478608	0.543783	-0.432056	-0.49306	-1.07649	-0.69087	0.224889	-0.319645	0.351832	-0.661672	2
13	1.2386	-0.974667	0.29589	-1.02353	-0.264206	-1.13529	-1.49091	-0.677847	-0.0547457	1.22806	0.232186	2
14	-0.301928	-1.17309	0.543783	-0.964385	-0.0811222	0.74627	0.109166	-0.945324	2.32935	0.264209	1.53234	4
15	1.7126	1.40641	2.36167	2.53518	-0.264206	0.334678	0.79155	2.0638	-1.37924	1.57855	-0.661672	2
16	-0.301928	-1.07388	0.378521	-0.964385	-0.630372	-0.429707	-0.620279	-0.878455	0.408829	0.527077	0.719745	4
17	-0.657434	2.00168	-2.43094	-1.04325	0.0104195	-0.312109	-0.926175	-0.410369	0.342604	-1.13775	-0.742932	3
18	-0.775936	3.7875	1.20483	-1.02353	-0.767685	-0.370908	-1.49091	-1.61402	0.938628	-0.874884	1.85738	5
19	0.646087	0.61272	0.709045	-1.04325	-0.584602	-1.07649	0.76802	-0.778151	-0.452095	0.351832	0.638485	3
20	-0.42043	0.315085	-1.60463	0.218567	-0.0811222	-0.0769139	-0.126139	0.492367	0.210154	0.0889643	-0.824192	2
21	-0.775936	3.7875	1.20483	-1.02353	-0.767685	-0.370908	-1.49091	-1.61402	0.938628	-0.874884	1.85738	5
