name,num_patterns,log_patterns,num_classes,num_features,log_features,num_patterns_with_missing_values,perc_patterns_with_missing_values,num_features_with_missing_values,perc_features_with_missing_values,num_missing_values,perc_missing_values,num_numerical,num_categorical,ratio_num_cat,ratio_cat_num,dataset_dimensionality,dataset_dimensionality_log,inverse_dataset_dimensionality,inverse_dataset_dimensionality_log,class_prob_min,class_prob_max,class_prob_mean,class_prob_std,class_entropy,categorical_min,categorical_max,categorical_mean,categorical_std,categorical_total,kurtosis_min,kurtosis_max,kurtosis_mean,kurtosis_std,skewness_min,skewness_max,skewness_mean,skewness_std,pca_95_index,pca_skewness,pca_kurtosis
abalone,4177,12.028251428162793,3,8,3.0,0,0.0,0,0.0,0,0.0,8,0,1,0.0,8,3.0,0.125,0.3333333333333333,0.3167344984438592,0.34642087622695716,0.3333333333333333,0.015151473033348765,1.5839636149471126,0,0,0.0,0.0,0,-1.5360722234281812,76.02581542401526,9.462038665967796,26.90378014445185,-0.639873302555601,3.1288255663333664,0.5532054522253711,1.1749514352068098,2,0.23497887918192423,-1.116777750417069
acute-inflammation,120,6.906890595608519,2,6,2.584962500721156,0,0.0,0,0.0,0,0.0,6,0,1,0.0,6,2.584962500721156,0.16666666666666666,0.38685280723454163,0.49166666666666664,0.5083333333333333,0.5,0.01178511301977579,0.999799616411146,0,0,0.0,0.0,0,-2.0330288762668753,-0.5150107726199078,-1.5729202078330387,0.5602158188835655,-0.7160891584500882,1.2222332403759317,0.1087357175940105,0.6608949229059881,5,-0.2102726328152197,-1.1683871776049173
acute-nephritis,120,6.906890595608519,2,7,2.807354922057604,0,0.0,0,0.0,0,0.0,7,0,1,0.0,7,2.807354922057604,0.14285714285714285,0.3562071871080222,0.4166666666666667,0.5833333333333334,0.5,0.11785113019775793,0.9798687566511528,0,0,0.0,0.0,0,-2.0330288762668753,-0.5150107726199078,-1.6386500176093008,0.5401644734326007,-0.7160891584500882,1.2222332403759317,0.0980251088055918,0.6039769056733515,5,-0.03258529145660017,-1.5365555551544423
annealing,898,9.810571634741146,5,31,4.954196310386875,0,0.0,0,0.0,0,0.0,31,0,1,0.0,31,4.954196310386875,0.03225806451612903,0.20184908658209985,0.008908685968819599,0.7616926503340757,0.2,0.3162118837219235,1.1898338562043977,0,0,0.0,0.0,0,-1.974421885810588,897.748271452707,84.44697445321692,177.9660462337058,-29.960358794459886,12.287720244925595,-1.6691929709528692,9.114838178632597,19,0.2594554624122157,-0.9074791263922739
arrhythmia,452,8.820178962415188,13,262,8.03342300153745,0,0.0,0,0.0,0,0.0,262,0,1,0.0,262,8.03342300153745,0.003816793893129771,0.12447993835362813,0.004424778761061947,0.5420353982300885,0.07692307692307693,0.1436752130102376,2.401386300219465,0,0,0.0,0.0,0,-1.966579865418571,452.0000000000001,84.52961113424536,127.61903632820851,-21.2602916254693,21.2602916254693,4.125842390786311,7.923298663679754,90,0.2020050519253163,0.2871359045003534
audiology-std,196,7.614709844115208,18,59,5.882643049361842,0,0.0,0,0.0,0,0.0,59,0,1,0.0,59,5.882643049361842,0.01694915254237288,0.16999161628691403,0.01020408163265306,0.23979591836734693,0.05555555555555555,0.07297437464920722,3.2642515243809704,0,0,0.0,0.0,0,-1.7596301467321096,195.7016588804929,84.40331078998567,83.48678491977293,-4.060107964445633,13.984142283729398,7.537694809110771,5.364633071292813,33,0.7490732930850704,-0.6862909471647756
balance-scale,625,9.287712379549449,3,4,2.0,0,0.0,0,0.0,0,0.0,4,0,1,0.0,4,2.0,0.25,0.5,0.0784,0.4608,0.3333333333333333,0.2207787429381129,1.318116246441582,0,0,0.0,0.0,0,-1.300799808916066,-1.3007998089160642,-1.3007998089160653,7.902625407419788e-16,0.0,0.0,0.0,0.0,4,0.0,-0.68835928553557
bank,4521,12.14242620231898,2,16,4.0,0,0.0,0,0.0,0,0.0,16,0,1,0.0,16,4.0,0.0625,0.25,0.11523999115239991,0.8847600088476001,0.5,0.5441328227710681,0.5155217894467282,0,0,0.0,0.0,0,-1.929819686767831,88.38990982009001,15.602018409850102,27.354568412439423,-7.519405323277604,6.596418112250195,1.046535382354645,3.3123667285585627,9,-0.008859301195040237,-1.2513781054271205
blood,748,9.546894459887637,2,4,2.0,0,0.0,0,0.0,0,0.0,4,0,1,0.0,4,2.0,0.25,0.5,0.23796791443850268,0.7620320855614974,0.5,0.3705693291779768,0.7916446298452327,0,0,0.0,0.0,0,-0.24563246017567275,15.876158434929145,10.2245129109229,7.620154636859126,0.7494511425549029,3.2112659274616853,2.2631119444819285,1.1882171275084403,3,1.0185159973855815,1.0372492809694234
breast-cancer,286,8.159871336778389,2,9,3.169925001442312,0,0.0,0,0.0,0,0.0,9,0,1,0.0,9,3.169925001442312,0.1111111111111111,0.31546487678572877,0.2972027972027972,0.7027972027972028,0.5,0.28679855460713116,0.8778446951746506,0,0,0.0,0.0,0,-1.9979453284763162,10.137772541047589,0.8511814699043957,3.6985718742022433,-1.8239717562303335,2.9249539961779183,0.058990765061535305,1.3515239123898979,7,0.1235267101962965,-1.9709045022208782
