	f1	f2	f3	f4	f5	f6	f7	f8	f9	clase
1	0.870826	0.284287	1.2517	-0.690822	-1.12445	-0.670134	-0.145425	-0.352051	-0.585079	0
2	-0.24875	0.590433	0.63468	-0.170061	0.10208	-0.0261519	-0.791877	-0.352051	-0.585079	0
3	-0.719631	0.149582	0.600016	0.190465	0.43776	-0.164148	-0.82701	-0.352051	-0.585079	0
4	-0.232286	-0.242285	0.697076	-0.310266	-0.0528498	0.111844	-0.517838	-0.352051	-0.585079	0
5	-0.311315	-0.16881	0.648546	-0.410413	0.553957	0.0811785	-0.623237	-0.352051	-0.585079	0
6	-0.792074	-0.75661	0.641613	0.350699	0.411939	0.219175	-0.623237	-0.352051	2.08327	0
7	-0.308022	-0.132072	0.63468	-0.610705	0.566868	0.127177	-0.552971	-0.352051	-0.585079	0
8	-0.265215	-0.31576	0.641613	-0.790968	0.76053	0.111844	-0.503784	-0.352051	-0.585079	0
9	0.26823	0.77412	0.620814	-0.150032	-0.737122	0.0965114	-0.461625	-0.352051	-0.585079	0
10	-0.268507	-0.499447	0.63468	-0.170061	0.43776	0.111844	-0.391358	-0.352051	0.543836	0
11	-0.874396	-0.842331	0.53762	0.230524	0.708887	0.265173	-0.609184	-0.352051	1.87801	0
12	-0.242164	-0.744364	0.676277	-0.350325	0.463582	0.157843	-0.278932	-0.352051	-0.585079	0
13	-0.815124	-0.646397	0.516821	-0.0899445	0.812173	0.295839	-0.637291	-0.352051	1.87801	0
14	-0.291558	-0.670889	0.606949	-0.350325	0.721798	0.0658455	-0.405411	-0.352051	1.15961	0
15	-0.242164	-0.977035	0.627747	-0.270208	0.825084	0.127177	-0.321092	-0.352051	-0.585079	0
16	-0.24875	-0.732118	0.593083	-0.430442	0.76053	0.127177	-0.398385	-0.352051	-0.585079	0
17	-0.173014	-0.891314	0.68321	-0.570647	0.59269	0.173176	-0.180559	-0.352051	-0.585079	0
18	1.18365	1.16599	0.808001	-1.11144	-1.6667	-0.532138	0.135641	-0.352051	-0.585079	0
19	0.24518	0.602679	0.724807	-0.530588	-0.685479	-0.670134	-0.0470523	-0.352051	-0.585079	0
20	-0.334365	-0.474956	0.593083	0.490904	0.10208	0.0658455	-0.363251	-0.352051	0.133321	0
21	-0.284972	-0.719873	0.600016	0.0903188	0.127901	0.0658455	-0.307038	-0.352051	1.36486	0
22	0.426288	1.66807	0.738673	-2.31319	-0.814587	-0.716133	0.0302409	-0.352051	-0.585079	0
23	-0.331072	-0.768856	0.648546	-0.310266	0.179544	0.14251	-0.180559	-0.352051	-0.585079	0
24	-0.281679	-0.732118	0.613881	-0.190091	0.476493	0.188509	-0.257852	-0.352051	-0.585079	0
25	-0.383758	-0.0341052	0.565351	-0.590676	0.257009	0.00451389	-0.370278	-0.352051	-0.585079	0
26	-0.238872	-0.523939	0.593083	-0.4705	0.450671	0.234508	-0.300012	-0.352051	-0.585079	0
27	-0.143378	-0.242285	0.551486	-0.0699152	-0.0141174	0.14251	-0.370278	-0.352051	-0.585079	0
28	-0.380465	-0.658643	0.551486	-0.230149	0.502314	0.0965114	-0.370278	-0.352051	-0.585079	0
29	-0.2257	-1.03826	0.579217	-0.0298567	0.644333	0.111844	-0.292985	-0.352051	-0.585079	0
30	-0.173014	-0.401481	0.558419	-0.330296	0.26992	0.157843	-0.328118	-0.352051	-0.585079	0
31	-0.2257	-0.928052	0.606949	-0.290237	0.553957	0.173176	-0.187585	-0.352051	0.851722	0
32	-0.29485	-0.695381	0.565351	-0.610705	0.799263	0.0965114	-0.285958	-0.352051	-0.585079	0
33	-0.20265	-0.683135	0.551486	-0.430442	0.411939	0.173176	-0.278932	-0.171045	1.67275	0
34	-0.275093	-1.02602	0.544553	-0.130003	0.954192	0.157843	-0.285958	-0.352051	0.0306927	0
35	-0.176307	-0.879069	0.593083	-0.21012	0.386117	0.111844	-0.145425	-0.352051	-0.585079	0
