	f1	f2	f3	f4	f5	f6	f7	f8	f9	clase
1	-1.03463	-1.10625	-1.03463	-1.10625	1.24135	1.22296	-1.03463	1.22296	1.23091	1
2	-1.03463	-1.10625	-1.03463	-1.10625	1.24135	1.22296	1.23091	-1.10625	1.23091	1
3	-1.03463	-1.10625	-1.03463	-1.10625	1.24135	1.22296	1.23091	1.22296	-1.03463	1
4	-1.03463	-1.10625	-1.03463	-1.10625	1.24135	1.22296	1.23091	0.0583518	0.098142	1
5	-1.03463	-1.10625	-1.03463	-1.10625	1.24135	1.22296	0.098142	1.22296	0.098142	1
6	-1.03463	-1.10625	-1.03463	-1.10625	1.24135	1.22296	0.098142	0.0583518	1.23091	1
7	-1.03463	-1.10625	-1.03463	-1.10625	1.24135	0.0583518	1.23091	1.22296	0.098142	1
8	-1.03463	-1.10625	-1.03463	-1.10625	1.24135	0.0583518	1.23091	0.0583518	1.23091	1
9	-1.03463	-1.10625	-1.03463	-1.10625	1.24135	0.0583518	0.098142	1.22296	1.23091	1
10	-1.03463	-1.10625	-1.03463	-1.10625	0.136133	1.22296	1.23091	1.22296	0.098142	1
11	-1.03463	-1.10625	-1.03463	-1.10625	0.136133	1.22296	1.23091	0.0583518	1.23091	1
12	-1.03463	-1.10625	-1.03463	-1.10625	0.136133	1.22296	0.098142	1.22296	1.23091	1
13	-1.03463	-1.10625	-1.03463	1.22296	-0.96908	1.22296	-1.03463	1.22296	1.23091	1
14	-1.03463	-1.10625	-1.03463	1.22296	-0.96908	1.22296	1.23091	-1.10625	1.23091	1
15	-1.03463	-1.10625	-1.03463	1.22296	-0.96908	1.22296	1.23091	1.22296	-1.03463	1
16	-1.03463	-1.10625	-1.03463	1.22296	-0.96908	1.22296	1.23091	0.0583518	0.098142	1
17	-1.03463	-1.10625	-1.03463	1.22296	-0.96908	1.22296	0.098142	1.22296	0.098142	1
18	-1.03463	-1.10625	-1.03463	1.22296	-0.96908	1.22296	0.098142	0.0583518	1.23091	1
19	-1.03463	-1.10625	-1.03463	1.22296	-0.96908	0.0583518	1.23091	1.22296	0.098142	1
20	-1.03463	-1.10625	-1.03463	1.22296	-0.96908	0.0583518	1.23091	0.0583518	1.23091	1
21	-1.03463	-1.10625	-1.03463	1.22296	-0.96908	0.0583518	0.098142	1.22296	1.23091	1
22	-1.03463	-1.10625	-1.03463	1.22296	1.24135	-1.10625	-1.03463	1.22296	1.23091	1
23	-1.03463	-1.10625	-1.03463	1.22296	1.24135	-1.10625	1.23091	-1.10625	1.23091	1
24	-1.03463	-1.10625	-1.03463	1.22296	1.24135	-1.10625	1.23091	1.22296	-1.03463	1
25	-1.03463	-1.10625	-1.03463	1.22296	1.24135	-1.10625	1.23091	0.0583518	0.098142	1
26	-1.03463	-1.10625	-1.03463	1.22296	1.24135	-1.10625	0.098142	1.22296	0.098142	1
27	-1.03463	-1.10625	-1.03463	1.22296	1.24135	-1.10625	0.098142	0.0583518	1.23091	1
28	-1.03463	-1.10625	-1.03463	1.22296	1.24135	0.0583518	-1.03463	1.22296	0.098142	1
29	-1.03463	-1.10625	-1.03463	1.22296	1.24135	0.0583518	-1.03463	0.0583518	1.23091	1
30	-1.03463	-1.10625	-1.03463	1.22296	1.24135	0.0583518	1.23091	-1.10625	0.098142	1
31	-1.03463	-1.10625	-1.03463	1.22296	1.24135	0.0583518	1.23091	0.0583518	-1.03463	1
32	-1.03463	-1.10625	-1.03463	1.22296	1.24135	0.0583518	0.098142	-1.10625	1.23091	1
33	-1.03463	-1.10625	-1.03463	1.22296	1.24135	0.0583518	0.098142	1.22296	-1.03463	1
34	-1.03463	-1.10625	-1.03463	1.22296	1.24135	0.0583518	0.098142	0.0583518	0.098142	1
35	-1.03463	-1.10625	-1.03463	1.22296	0.136133	-1.10625	1.23091	1.22296	0.098142	1
36	-1.03463	-1.10625	-1.03463	1.22296	0.136133	-1.10625	1.23091	0.0583518	1.23091	1
37	-1.03463	-1.10625	-1.03463	1.22296	0.136133	-1.10625	0.098142	1.22296	1.23091	1
38	-1.03463	-1.10625	-1.03463	1.22296	0.136133	1.22296	-1.03463	1.22296	0.098142	1
39	-1.03463	-1.10625	-1.03463	1.22296	0.136133	1.22296	-1.03463	0.0583518	1.23091	1
40	-1.03463	-1.10625	-1.03463	1.22296	0.136133	1.22296	1.23091	-1.10625	0.098142	1
41	-1.03463	-1.10625	-1.03463	1.22296	0.136133	1.22296	1.23091	0.0583518	-1.03463	1
42	-1.03463	-1.10625	-1.03463	1.22296	0.136133	1.22296	0.098142	-1.10625	1.23091	1
43	-1.03463	-1.10625	-1.03463	1.22296	0.136133	1.22296	0.098142	1.22296	-1.03463	1
44	-1.03463	-1.10625	-1.03463	1.22296	0.136133	1.22296	0.098142	0.0583518	0.098142	1
45	-1.03463	-1.10625	-1.03463	1.22296	0.136133	0.0583518	-1.03463	1.22296	1.23091	1
46	-1.03463	-1.10625	-1.03463	1.22296	0.136133	0.0583518	1.23091	-1.10625	1.23091	1
47	-1.03463	-1.10625	-1.03463	1.22296	0.136133	0.0583518	1.23091	1.22296	-1.03463	1
48	-1.03463	-1.10625	-1.03463	1.22296	0.136133	0.0583518	1.23091	0.0583518	0.098142	1
49	-1.03463	-1.10625	-1.03463	1.22296	0.136133	0.0583518	0.098142	1.22296	0.098142	1
50	-1.03463	-1.10625	-1.03463	1.22296	0.136133	0.0583518	0.098142	0.0583518	1.23091	1
51	-1.03463	-1.10625	-1.03463	0.0583518	-0.96908	1.22296	1.23091	1.22296	0.098142	1
52	-1.03463	-1.10625	-1.03463	0.0583518	-0.96908	1.22296	1.23091	0.0583518	1.23091	1
53	-1.03463	-1.10625	-1.03463	0.0583518	-0.96908	1.22296	0.098142	1.22296	1.23091	1
54	-1.03463	-1.10625	-1.03463	0.0583518	1.24135	-1.10625	1.23091	1.22296	0.098142	1
55	-1.03463	-1.10625	-1.03463	0.0583518	1.24135	-1.10625	1.23091	0.0583518	1.23091	1
56	-1.03463	-1.10625	-1.03463	0.0583518	1.24135	-1.10625	0.098142	1.22296	1.23091	1
57	-1.03463	-1.10625	-1.03463	0.0583518	1.24135	1.22296	-1.03463	1.22296	0.098142	1
58	-1.03463	-1.10625	-1.03463	0.0583518	1.24135	1.22296	-1.03463	0.0583518	1.23091	1
59	-1.03463	-1.10625	-1.03463	0.0583518	1.24135	1.22296	1.23091	-1.10625	0.098142	1
60	-1.03463	-1.10625	-1.03463	0.0583518	1.24135	1.22296	1.23091	0.0583518	-1.03463	1
61	-1.03463	-1.10625	-1.03463	0.0583518	1.24135	1.22296	0.098142	-1.10625	1.23091	1
62	-1.03463	-1.10625	-1.03463	0.0583518	1.24135	1.22296	0.098142	1.22296	-1.03463	1
63	-1.03463	-1.10625	-1.03463	0.0583518	1.24135	1.22296	0.098142	0.0583518	0.098142	1
64	-1.03463	-1.10625	-1.03463	0.0583518	1.24135	0.0583518	-1.03463	1.22296	1.23091	1
65	-1.03463	-1.10625	-1.03463	0.0583518	1.24135	0.0583518	1.23091	-1.10625	1.23091	1
66	-1.03463	-1.10625	-1.03463	0.0583518	1.24135	0.0583518	1.23091	1.22296	-1.03463	1
67	-1.03463	-1.10625	-1.03463	0.0583518	1.24135	0.0583518	1.23091	0.0583518	0.098142	1
68	-1.03463	-1.10625	-1.03463	0.0583518	1.24135	0.0583518	0.098142	1.22296	0.098142	1
69	-1.03463	-1.10625	-1.03463	0.0583518	1.24135	0.0583518	0.098142	0.0583518	1.23091	1
70	-1.03463	-1.10625	-1.03463	0.0583518	0.136133	1.22296	-1.03463	1.22296	1.23091	1
71	-1.03463	-1.10625	-1.03463	0.0583518	0.136133	1.22296	1.23091	-1.10625	1.23091	1
72	-1.03463	-1.10625	-1.03463	0.0583518	0.136133	1.22296	1.23091	1.22296	-1.03463	1
73	-1.03463	-1.10625	-1.03463	0.0583518	0.136133	1.22296	1.23091	0.0583518	0.098142	1
74	-1.03463	-1.10625	-1.03463	0.0583518	0.136133	1.22296	0.098142	1.22296	0.098142	1
75	-1.03463	-1.10625	-1.03463	0.0583518	0.136133	1.22296	0.098142	0.0583518	1.23091	1
76	-1.03463	-1.10625	-1.03463	0.0583518	0.136133	0.0583518	1.23091	1.22296	0.098142	1
77	-1.03463	-1.10625	-1.03463	0.0583518	0.136133	0.0583518	1.23091	0.0583518	1.23091	1
78	-1.03463	-1.10625	-1.03463	0.0583518	0.136133	0.0583518	0.098142	1.22296	1.23091	1
79	-1.03463	-1.10625	1.23091	-1.10625	-0.96908	1.22296	1.23091	1.22296	-1.03463	1
80	-1.03463	-1.10625	1.23091	-1.10625	1.24135	-1.10625	-1.03463	1.22296	1.23091	1
81	-1.03463	-1.10625	1.23091	-1.10625	1.24135	1.22296	-1.03463	1.22296	-1.03463	1
82	-1.03463	-1.10625	1.23091	-1.10625	1.24135	1.22296	-1.03463	0.0583518	0.098142	1
83	-1.03463	-1.10625	1.23091	-1.10625	1.24135	0.0583518	-1.03463	1.22296	0.098142	1
84	-1.03463	-1.10625	1.23091	-1.10625	1.24135	0.0583518	-1.03463	0.0583518	1.23091	1
85	-1.03463	-1.10625	1.23091	-1.10625	0.136133	1.22296	-1.03463	1.22296	0.098142	1
86	-1.03463	-1.10625	1.23091	-1.10625	0.136133	0.0583518	-1.03463	1.22296	1.23091	1
87	-1.03463	-1.10625	1.23091	1.22296	-0.96908	-1.10625	1.23091	-1.10625	1.23091	1
88	-1.03463	-1.10625	1.23091	1.22296	-0.96908	-1.10625	1.23091	1.22296	-1.03463	1
89	-1.03463	-1.10625	1.23091	1.22296	-0.96908	1.22296	-1.03463	1.22296	-1.03463	1
90	-1.03463	-1.10625	1.23091	1.22296	-0.96908	1.22296	1.23091	-1.10625	-1.03463	1
91	-1.03463	-1.10625	1.23091	1.22296	-0.96908	1.22296	0.098142	-1.10625	0.098142	1
92	-1.03463	-1.10625	1.23091	1.22296	-0.96908	1.22296	0.098142	0.0583518	-1.03463	1
93	-1.03463	-1.10625	1.23091	1.22296	-0.96908	0.0583518	1.23091	-1.10625	0.098142	1
94	-1.03463	-1.10625	1.23091	1.22296	-0.96908	0.0583518	1.23091	0.0583518	-1.03463	1
95	-1.03463	-1.10625	1.23091	1.22296	-0.96908	0.0583518	0.098142	-1.10625	1.23091	1
96	-1.03463	-1.10625	1.23091	1.22296	-0.96908	0.0583518	0.098142	1.22296	-1.03463	1
97	-1.03463	-1.10625	1.23091	0.0583518	-0.96908	1.22296	1.23091	-1.10625	0.098142	1
98	-1.03463	-1.10625	1.23091	0.0583518	-0.96908	1.22296	1.23091	0.0583518	-1.03463	1
99	-1.03463	-1.10625	1.23091	0.0583518	-0.96908	1.22296	0.098142	1.22296	-1.03463	1
100	-1.03463	-1.10625	1.23091	0.0583518	-0.96908	0.0583518	1.23091	-1.10625	1.23091	1
101	-1.03463	-1.10625	1.23091	0.0583518	-0.96908	0.0583518	1.23091	1.22296	-1.03463	1
102	-1.03463	-1.10625	0.098142	-1.10625	1.24135	1.22296	-1.03463	1.22296	0.098142	1
103	-1.03463	-1.10625	0.098142	-1.10625	1.24135	1.22296	-1.03463	0.0583518	1.23091	1
104	-1.03463	-1.10625	0.098142	-1.10625	1.24135	0.0583518	-1.03463	1.22296	1.23091	1
105	-1.03463	-1.10625	0.098142	-1.10625	0.136133	1.22296	-1.03463	1.22296	1.23091	1
106	-1.03463	-1.10625	0.098142	1.22296	-0.96908	1.22296	1.23091	-1.10625	0.098142	1
107	-1.03463	-1.10625	0.098142	1.22296	-0.96908	1.22296	1.23091	0.0583518	-1.03463	1
108	-1.03463	-1.10625	0.098142	1.22296	-0.96908	1.22296	0.098142	-1.10625	1.23091	1
109	-1.03463	-1.10625	0.098142	1.22296	-0.96908	1.22296	0.098142	1.22296	-1.03463	1
110	-1.03463	-1.10625	0.098142	1.22296	-0.96908	0.0583518	1.23091	-1.10625	1.23091	1
111	-1.03463	-1.10625	0.098142	1.22296	-0.96908	0.0583518	1.23091	1.22296	-1.03463	1
112	-1.03463	-1.10625	0.098142	0.0583518	-0.96908	1.22296	1.23091	-1.10625	1.23091	1
113	-1.03463	-1.10625	0.098142	0.0583518	-0.96908	1.22296	1.23091	1.22296	-1.03463	1
114	-1.03463	1.22296	-1.03463	-1.10625	-0.96908	1.22296	-1.03463	1.22296	1.23091	1
115	-1.03463	1.22296	-1.03463	-1.10625	-0.96908	1.22296	1.23091	1.22296	-1.03463	1
116	-1.03463	1.22296	-1.03463	-1.10625	1.24135	1.22296	-1.03463	-1.10625	1.23091	1
117	-1.03463	1.22296	-1.03463	-1.10625	1.24135	1.22296	-1.03463	0.0583518	0.098142	1
118	-1.03463	1.22296	-1.03463	-1.10625	1.24135	0.0583518	-1.03463	0.0583518	1.23091	1
119	-1.03463	1.22296	-1.03463	-1.10625	0.136133	1.22296	-1.03463	1.22296	0.098142	1
120	-1.03463	1.22296	-1.03463	-1.10625	0.136133	1.22296	-1.03463	0.0583518	1.23091	1
121	-1.03463	1.22296	-1.03463	-1.10625	0.136133	0.0583518	-1.03463	1.22296	1.23091	1
122	-1.03463	1.22296	-1.03463	1.22296	-0.96908	-1.10625	-1.03463	1.22296	1.23091	1
123	-1.03463	1.22296	-1.03463	1.22296	-0.96908	-1.10625	1.23091	1.22296	-1.03463	1
124	-1.03463	1.22296	-1.03463	1.22296	-0.96908	1.22296	-1.03463	-1.10625	1.23091	1
125	-1.03463	1.22296	-1.03463	1.22296	-0.96908	1.22296	-1.03463	1.22296	-1.03463	1
126	-1.03463	1.22296	-1.03463	1.22296	-0.96908	1.22296	-1.03463	0.0583518	0.098142	1
127	-1.03463	1.22296	-1.03463	1.22296	-0.96908	1.22296	1.23091	-1.10625	-1.03463	1
128	-1.03463	1.22296	-1.03463	1.22296	-0.96908	1.22296	0.098142	0.0583518	-1.03463	1
129	-1.03463	1.22296	-1.03463	1.22296	-0.96908	0.0583518	-1.03463	1.22296	0.098142	1
130	-1.03463	1.22296	-1.03463	1.22296	-0.96908	0.0583518	-1.03463	0.0583518	1.23091	1
131	-1.03463	1.22296	-1.03463	1.22296	-0.96908	0.0583518	1.23091	0.0583518	-1.03463	1
132	-1.03463	1.22296	-1.03463	1.22296	-0.96908	0.0583518	0.098142	1.22296	-1.03463	1
133	-1.03463	1.22296	-1.03463	1.22296	1.24135	-1.10625	1.23091	-1.10625	-1.03463	1
134	-1.03463	1.22296	-1.03463	1.22296	1.24135	-1.10625	0.098142	0.0583518	-1.03463	1
135	-1.03463	1.22296	-1.03463	1.22296	0.136133	-1.10625	1.23091	0.0583518	-1.03463	1
136	-1.03463	1.22296	-1.03463	1.22296	0.136133	-1.10625	0.098142	1.22296	-1.03463	1
137	-1.03463	1.22296	-1.03463	0.0583518	-0.96908	1.22296	-1.03463	1.22296	0.098142	1
138	-1.03463	1.22296	-1.03463	0.0583518	-0.96908	1.22296	-1.03463	0.0583518	1.23091	1
139	-1.03463	1.22296	-1.03463	0.0583518	-0.96908	1.22296	1.23091	0.0583518	-1.03463	1
140	-1.03463	1.22296	-1.03463	0.0583518	-0.96908	1.22296	0.098142	1.22296	-1.03463	1
141	-1.03463	1.22296	-1.03463	0.0583518	-0.96908	0.0583518	-1.03463	1.22296	1.23091	1
142	-1.03463	1.22296	-1.03463	0.0583518	-0.96908	0.0583518	1.23091	1.22296	-1.03463	1
143	-1.03463	1.22296	-1.03463	0.0583518	1.24135	-1.10625	1.23091	0.0583518	-1.03463	1
144	-1.03463	1.22296	-1.03463	0.0583518	0.136133	-1.10625	1.23091	1.22296	-1.03463	1
145	-1.03463	1.22296	1.23091	-1.10625	-0.96908	-1.10625	-1.03463	1.22296	1.23091	1
146	-1.03463	1.22296	1.23091	-1.10625	-0.96908	-1.10625	1.23091	-1.10625	1.23091	1
147	-1.03463	1.22296	1.23091	-1.10625	-0.96908	-1.10625	1.23091	1.22296	-1.03463	1
148	-1.03463	1.22296	1.23091	-1.10625	-0.96908	-1.10625	1.23091	0.0583518	0.098142	1
149	-1.03463	1.22296	1.23091	-1.10625	-0.96908	-1.10625	0.098142	1.22296	0.098142	1
150	-1.03463	1.22296	1.23091	-1.10625	-0.96908	-1.10625	0.098142	0.0583518	1.23091	1
151	-1.03463	1.22296	1.23091	-1.10625	-0.96908	1.22296	-1.03463	1.22296	-1.03463	1
152	-1.03463	1.22296	1.23091	-1.10625	-0.96908	1.22296	-1.03463	0.0583518	0.098142	1
153	-1.03463	1.22296	1.23091	-1.10625	-0.96908	1.22296	1.23091	-1.10625	-1.03463	1
154	-1.03463	1.22296	1.23091	-1.10625	-0.96908	1.22296	0.098142	0.0583518	-1.03463	1
155	-1.03463	1.22296	1.23091	-1.10625	-0.96908	0.0583518	-1.03463	1.22296	0.098142	1
156	-1.03463	1.22296	1.23091	-1.10625	-0.96908	0.0583518	-1.03463	0.0583518	1.23091	1
157	-1.03463	1.22296	1.23091	-1.10625	-0.96908	0.0583518	1.23091	0.0583518	-1.03463	1
158	-1.03463	1.22296	1.23091	-1.10625	-0.96908	0.0583518	0.098142	1.22296	-1.03463	1
159	-1.03463	1.22296	1.23091	-1.10625	1.24135	-1.10625	-1.03463	-1.10625	1.23091	1
160	-1.03463	1.22296	1.23091	-1.10625	1.24135	-1.10625	-1.03463	0.0583518	0.098142	1
161	-1.03463	1.22296	1.23091	-1.10625	1.24135	1.22296	-1.03463	-1.10625	-1.03463	1
162	-1.03463	1.22296	1.23091	-1.10625	1.24135	0.0583518	-1.03463	-1.10625	0.098142	1
163	-1.03463	1.22296	1.23091	-1.10625	1.24135	0.0583518	-1.03463	0.0583518	-1.03463	1
164	-1.03463	1.22296	1.23091	-1.10625	0.136133	-1.10625	-1.03463	1.22296	0.098142	1
