	f1	f2	f3	clase
1	-1.00692	-1.00692	0.0479484	0
2	-1.00692	1.10281	0.0479484	1
3	-1.00692	2.15768	-1.00692	2
4	2.15768	0.0479484	0.0479484	2
5	-1.00692	1.10281	2.15768	2
6	-1.00692	1.10281	0.0479484	1
7	-1.00692	1.10281	0.0479484	1
8	2.15768	0.0479484	2.15768	2
9	0.0479484	-1.00692	-1.00692	0
10	0.0479484	-1.00692	-1.00692	0
11	0.0479484	-1.00692	-1.00692	0
12	0.0479484	1.10281	2.15768	2
13	-1.00692	0.0479484	-1.00692	0
14	-1.00692	0.0479484	0.0479484	1
15	2.15768	-1.00692	2.15768	2
16	-1.00692	1.10281	1.10281	0
17	0.0479484	-1.00692	0.0479484	1
18	0.0479484	-1.00692	-1.00692	0
19	1.10281	0.0479484	-1.00692	0
20	-1.00692	1.10281	0.0479484	0
21	0.0479484	0.0479484	-1.00692	1
22	0.0479484	-1.00692	1.10281	0
23	-1.00692	0.0479484	-1.00692	0
24	0.0479484	-1.00692	1.10281	0
25	1.10281	0.0479484	-1.00692	0
26	0.0479484	0.0479484	-1.00692	1
27	0.0479484	-1.00692	1.10281	1
28	-1.00692	0.0479484	0.0479484	1
29	-1.00692	1.10281	0.0479484	0
30	0.0479484	-1.00692	-1.00692	0
31	2.15768	-1.00692	-1.00692	2
32	0.0479484	-1.00692	1.10281	0
33	0.0479484	-1.00692	1.10281	1
34	-1.00692	-1.00692	0.0479484	0
35	2.15768	1.10281	-1.00692	2
36	-1.00692	0.0479484	0.0479484	1
37	-1.00692	0.0479484	0.0479484	1
38	0.0479484	0.0479484	-1.00692	1
39	0.0479484	-1.00692	0.0479484	1
40	2.15768	1.10281	0.0479484	2
41	0.0479484	0.0479484	-1.00692	1
42	0.0479484	-1.00692	0.0479484	1
43	0.0479484	-1.00692	1.10281	1
44	0.0479484	-1.00692	-1.00692	0
45	-1.00692	0.0479484	-1.00692	0
46	0.0479484	-1.00692	1.10281	1
47	-1.00692	-1.00692	0.0479484	0
48	-1.00692	-1.00692	0.0479484	0
49	0.0479484	0.0479484	1.10281	1
50	1.10281	-1.00692	-1.00692	0
51	1.10281	1.10281	-1.00692	0
52	0.0479484	-1.00692	0.0479484	1
53	0.0479484	-1.00692	0.0479484	1
54	-1.00692	0.0479484	-1.00692	0
55	-1.00692	-1.00692	0.0479484	0
56	-1.00692	1.10281	0.0479484	0
57	0.0479484	0.0479484	-1.00692	1
58	-1.00692	0.0479484	-1.00692	0
59	0.0479484	-1.00692	1.10281	0
60	-1.00692	0.0479484	0.0479484	1
61	0.0479484	2.15768	0.0479484	2
62	0.0479484	-1.00692	0.0479484	1
63	-1.00692	0.0479484	2.15768	2
64	1.10281	0.0479484	-1.00692	0
65	2.15768	2.15768	0.0479484	2
66	1.10281	0.0479484	-1.00692	0
67	-1.00692	0.0479484	0.0479484	1
68	-1.00692	0.0479484	0.0479484	1
69	1.10281	0.0479484	2.15768	2
70	-1.00692	0.0479484	0.0479484	1
71	-1.00692	2.15768	0.0479484	2
72	-1.00692	1.10281	0.0479484	1
73	-1.00692	1.10281	0.0479484	1
