	f1	f2	f3	f4	f5	f6	f7	f8	clase
1	2.04045	-1.78471	-0.561586	-1.46912	0.999349	-1.34077	-1.7593	-1.81339	0
2	2.04045	-1.78471	-0.561586	-1.46912	0.999349	-0.446922	-1.7593	-1.81339	0
3	2.04045	-1.78471	-0.561586	-1.46912	0.999349	0.446922	-1.7593	-1.81339	0
4	2.04045	-1.78471	-0.561586	-1.46912	0.999349	1.34077	-1.7593	-1.81339	0
5	1.28414	-1.22844	0	-1.1979	0.999349	-1.34077	-1.7593	-1.81339	1
6	1.28414	-1.22844	0	-1.1979	0.999349	-0.446922	-1.7593	-1.81339	1
7	1.28414	-1.22844	0	-1.1979	0.999349	0.446922	-1.7593	-1.81339	1
8	1.28414	-1.22844	0	-1.1979	0.999349	1.34077	-1.7593	-1.81339	1
9	0.90599	-0.950301	-0.561586	-0.655453	0.999349	-1.34077	-1.7593	-1.81339	1
10	0.90599	-0.950301	-0.561586	-0.655453	0.999349	-0.446922	-1.7593	-1.81339	1
11	0.90599	-0.950301	-0.561586	-0.655453	0.999349	0.446922	-1.7593	-1.81339	1
12	0.90599	-0.950301	-0.561586	-0.655453	0.999349	1.34077	-1.7593	-1.81339	1
13	0.527838	-0.672164	0	-0.655453	0.999349	-1.34077	-1.7593	-1.81339	0
14	0.527838	-0.672164	0	-0.655453	0.999349	-0.446922	-1.7593	-1.81339	1
15	0.527838	-0.672164	0	-0.655453	0.999349	0.446922	-1.7593	-1.81339	0
16	0.527838	-0.672164	0	-0.655453	0.999349	1.34077	-1.7593	-1.81339	0
17	0.244223	-0.394027	0.561586	-0.655453	0.999349	-1.34077	-1.7593	-1.81339	2
18	0.244223	-0.394027	0.561586	-0.655453	0.999349	-0.446922	-1.7593	-1.81339	2
19	0.244223	-0.394027	0.561586	-0.655453	0.999349	0.446922	-1.7593	-1.81339	2
20	0.244223	-0.394027	0.561586	-0.655453	0.999349	1.34077	-1.7593	-1.81339	2
21	-0.0393909	-0.11589	2.24634	-1.1979	0.999349	-1.34077	-1.7593	-1.81339	1
22	-0.0393909	-0.11589	2.24634	-1.1979	0.999349	-0.446922	-1.7593	-1.81339	1
23	-0.0393909	-0.11589	2.24634	-1.1979	0.999349	0.446922	-1.7593	-1.81339	1
24	-0.0393909	-0.11589	2.24634	-1.1979	0.999349	1.34077	-1.7593	-1.81339	1
25	-0.228467	0.162247	-1.68476	0.971879	-0.999349	-1.34077	-1.7593	-1.81339	0
26	-0.228467	0.162247	-1.68476	0.971879	-0.999349	-0.446922	-1.7593	-1.81339	0
27	-0.228467	0.162247	-1.68476	0.971879	-0.999349	0.446922	-1.7593	-1.81339	0
28	-0.228467	0.162247	-1.68476	0.971879	-0.999349	1.34077	-1.7593	-1.81339	0
29	-0.512081	0.440383	-1.12317	0.971879	-0.999349	-1.34077	-1.7593	-1.81339	0
30	-0.512081	0.440383	-1.12317	0.971879	-0.999349	-0.446922	-1.7593	-1.81339	0
